"plh0196","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Leute sind hilfsbereit","2003","17-34","maennlich","875","0.298758556134722","0.281688685983893","0.315828426285551"
"Leute sind hilfsbereit","2003","17-34","weiblich","944","0.304952392617819","0.288458694878332","0.321446090357306"
"Leute sind hilfsbereit","2003","35-65","maennlich","1984","0.308978744114749","0.297421918838135","0.320535569391363"
"Leute sind hilfsbereit","2003","35-65","weiblich","2203","0.33867882811234","0.327044096104935","0.350313560119744"
"Leute sind hilfsbereit","2003","66 +","maennlich","790","0.492351220506542","0.468147741448935","0.516554699564149"
"Leute sind hilfsbereit","2003","66 +","weiblich","1035","0.53779116994715","0.515628304320823","0.559954035573478"
"Leute verfolgen Eigeninteresse","2003","17-34","maennlich","1887","0.701241443865278","0.684171573714449","0.718311314016107"
"Leute verfolgen Eigeninteresse","2003","17-34","weiblich","2049","0.695047607382181","0.678553909642694","0.711541305121668"
"Leute verfolgen Eigeninteresse","2003","35-65","maennlich","4157","0.691021255885251","0.679464430608637","0.702578081161865"
"Leute verfolgen Eigeninteresse","2003","35-65","weiblich","4153","0.66132117188766","0.649686439880256","0.672955903895065"
"Leute verfolgen Eigeninteresse","2003","66 +","maennlich","849","0.507648779493458","0.483445300435851","0.531852258551065"
"Leute verfolgen Eigeninteresse","2003","66 +","weiblich","909","0.462208830052849","0.440045964426522","0.484371695679177"
"Leute sind hilfsbereit","2004","17-34","maennlich","","","",""
"Leute sind hilfsbereit","2004","17-34","weiblich","","","",""
"Leute sind hilfsbereit","2004","35-65","maennlich","","","",""
"Leute sind hilfsbereit","2004","35-65","weiblich","","","",""
"Leute sind hilfsbereit","2004","66 +","maennlich","","","",""
"Leute sind hilfsbereit","2004","66 +","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2004","17-34","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2004","17-34","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2004","35-65","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2004","35-65","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2004","66 +","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2004","66 +","weiblich","","","",""
"Leute sind hilfsbereit","2005","17-34","maennlich","","","",""
"Leute sind hilfsbereit","2005","17-34","weiblich","","","",""
"Leute sind hilfsbereit","2005","35-65","maennlich","","","",""
"Leute sind hilfsbereit","2005","35-65","weiblich","","","",""
"Leute sind hilfsbereit","2005","66 +","maennlich","","","",""
"Leute sind hilfsbereit","2005","66 +","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2005","17-34","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2005","17-34","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2005","35-65","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2005","35-65","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2005","66 +","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2005","66 +","weiblich","","","",""
"Leute sind hilfsbereit","2006","17-34","maennlich","","","",""
"Leute sind hilfsbereit","2006","17-34","weiblich","","","",""
"Leute sind hilfsbereit","2006","35-65","maennlich","","","",""
"Leute sind hilfsbereit","2006","35-65","weiblich","","","",""
"Leute sind hilfsbereit","2006","66 +","maennlich","","","",""
"Leute sind hilfsbereit","2006","66 +","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2006","17-34","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2006","17-34","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2006","35-65","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2006","35-65","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2006","66 +","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2006","66 +","weiblich","","","",""
