year,age_gr,pgisced97,plh0196,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,Pre-primary Level,People usually try to be helpful,0.38616,245,611,0.34752,0.42480
2003,17-29 y.,Pre-primary Level,People usually only pursue their own interests,0.60520,366,611,0.56641,0.64399
2003,17-29 y.,Lower Secondary Level,People usually try to be helpful,0.30796,268,812,0.27618,0.33973
2003,17-29 y.,Lower Secondary Level,People usually only pursue their own interests,0.67826,544,812,0.64611,0.71042
2003,17-29 y.,Upper Secondary Level,People usually try to be helpful,0.27654,510,1730,0.25546,0.29762
2003,17-29 y.,Upper Secondary Level,People usually only pursue their own interests,0.71048,1220,1730,0.68910,0.73186
2003,17-29 y.,Post-secondary Non-tertiary Level,People usually try to be helpful,0.24372,61,269,0.19232,0.29512
2003,17-29 y.,Post-secondary Non-tertiary Level,People usually only pursue their own interests,0.73504,208,269,0.68220,0.78787
2003,17-29 y.,First Stage of Tertiary Education,People usually only pursue their own interests,0.81484,75,75,0.72634,0.90334
2003,17-29 y.,Second Stage of Tertiary Education,People usually try to be helpful,0.31794,66,201,0.25340,0.38248
2003,17-29 y.,Second Stage of Tertiary Education,People usually only pursue their own interests,0.67804,135,201,0.61329,0.74280
2003,30-45 y.,Primary Level,People usually only pursue their own interests,0.70242,52,52,0.57694,0.82790
2003,30-45 y.,Lower Secondary Level,People usually try to be helpful,0.28181,129,424,0.23893,0.32468
2003,30-45 y.,Lower Secondary Level,People usually only pursue their own interests,0.67654,295,424,0.63196,0.72112
2003,30-45 y.,Upper Secondary Level,People usually try to be helpful,0.28700,1063,3532,0.27208,0.30192
2003,30-45 y.,Upper Secondary Level,People usually only pursue their own interests,0.69926,2469,3532,0.68414,0.71439
2003,30-45 y.,Post-secondary Non-tertiary Level,People usually try to be helpful,0.27421,150,534,0.23633,0.31208
2003,30-45 y.,Post-secondary Non-tertiary Level,People usually only pursue their own interests,0.70013,384,534,0.66123,0.73903
2003,30-45 y.,First Stage of Tertiary Education,People usually try to be helpful,0.27321,190,689,0.23991,0.30651
2003,30-45 y.,First Stage of Tertiary Education,People usually only pursue their own interests,0.71476,499,689,0.68102,0.74850
2003,30-45 y.,Second Stage of Tertiary Education,People usually try to be helpful,0.32780,540,1553,0.30445,0.35116
2003,30-45 y.,Second Stage of Tertiary Education,People usually only pursue their own interests,0.65091,1013,1553,0.62719,0.67462
2003,46-65 y.,Primary Level,People usually try to be helpful,0.34056,34,93,0.24372,0.43740
2003,46-65 y.,Primary Level,People usually only pursue their own interests,0.62865,59,93,0.52992,0.72738
2003,46-65 y.,Lower Secondary Level,People usually try to be helpful,0.34222,251,678,0.30648,0.37796
2003,46-65 y.,Lower Secondary Level,People usually only pursue their own interests,0.63923,427,678,0.60305,0.67540
2003,46-65 y.,Upper Secondary Level,People usually try to be helpful,0.31335,1262,3851,0.29869,0.32800
2003,46-65 y.,Upper Secondary Level,People usually only pursue their own interests,0.67348,2589,3851,0.65867,0.68830
2003,46-65 y.,Post-secondary Non-tertiary Level,People usually try to be helpful,0.34266,75,234,0.28172,0.40360
2003,46-65 y.,Post-secondary Non-tertiary Level,People usually only pursue their own interests,0.65544,159,234,0.59442,0.71646
2003,46-65 y.,First Stage of Tertiary Education,People usually try to be helpful,0.29317,198,632,0.25765,0.32869
2003,46-65 y.,First Stage of Tertiary Education,People usually only pursue their own interests,0.68455,434,632,0.64829,0.72081
2003,46-65 y.,Second Stage of Tertiary Education,People usually try to be helpful,0.41660,822,1969,0.39482,0.43839
2003,46-65 y.,Second Stage of Tertiary Education,People usually only pursue their own interests,0.56232,1147,1969,0.54040,0.58424
2003,66 and older,Lower Secondary Level,People usually try to be helpful,0.50801,394,771,0.47270,0.54332
2003,66 and older,Lower Secondary Level,People usually only pursue their own interests,0.46840,377,771,0.43315,0.50364
2003,66 and older,Upper Secondary Level,People usually try to be helpful,0.52201,976,1854,0.49926,0.54475
2003,66 and older,Upper Secondary Level,People usually only pursue their own interests,0.46002,878,1854,0.43733,0.48271
2003,66 and older,Post-secondary Non-tertiary Level,People usually try to be helpful,0.57738,52,97,0.47856,0.67619
2003,66 and older,Post-secondary Non-tertiary Level,People usually only pursue their own interests,0.40627,45,97,0.30802,0.50452
