year,bula_h,pgisced97,plh0196,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Schleswig-Holstein,Lower Secondary Level,People usually try to be helpful,0.42088,34,81,0.31270,0.52907
2003,Schleswig-Holstein,Lower Secondary Level,People usually only pursue their own interests,0.57912,47,81,0.47093,0.68730
2003,Schleswig-Holstein,Upper Secondary Level,People usually try to be helpful,0.44478,165,346,0.39234,0.49722
2003,Schleswig-Holstein,Upper Secondary Level,People usually only pursue their own interests,0.55522,181,346,0.50278,0.60766
2003,Schleswig-Holstein,Second Stage of Tertiary Education,People usually try to be helpful,0.40859,50,104,0.31365,0.50352
2003,Schleswig-Holstein,Second Stage of Tertiary Education,People usually only pursue their own interests,0.59141,54,104,0.49648,0.68635
2003,Hamburg,Upper Secondary Level,People usually try to be helpful,0.29110,51,139,0.21531,0.36689
2003,Hamburg,Upper Secondary Level,People usually only pursue their own interests,0.70890,88,139,0.63311,0.78469
2003,Hamburg,Second Stage of Tertiary Education,People usually try to be helpful,0.42753,34,73,0.31326,0.54181
2003,Hamburg,Second Stage of Tertiary Education,People usually only pursue their own interests,0.57247,39,73,0.45819,0.68674
2003,Lower Saxony,Pre-primary Level,People usually only pursue their own interests,0.71131,40,40,0.56908,0.85353
2003,Lower Saxony,Lower Secondary Level,People usually try to be helpful,0.36022,94,262,0.30197,0.41846
2003,Lower Saxony,Lower Secondary Level,People usually only pursue their own interests,0.63978,168,262,0.58154,0.69803
2003,Lower Saxony,Upper Secondary Level,People usually try to be helpful,0.35733,338,979,0.32729,0.38736
2003,Lower Saxony,Upper Secondary Level,People usually only pursue their own interests,0.64267,641,979,0.61264,0.67271
2003,Lower Saxony,Post-secondary Non-tertiary Level,People usually try to be helpful,0.37624,41,120,0.28920,0.46328
2003,Lower Saxony,Post-secondary Non-tertiary Level,People usually only pursue their own interests,0.62376,79,120,0.53672,0.71080
2003,Lower Saxony,First Stage of Tertiary Education,People usually try to be helpful,0.38647,39,121,0.29934,0.47359
2003,Lower Saxony,First Stage of Tertiary Education,People usually only pursue their own interests,0.61353,82,121,0.52641,0.70066
2003,Lower Saxony,Second Stage of Tertiary Education,People usually try to be helpful,0.40156,121,295,0.34553,0.45760
2003,Lower Saxony,Second Stage of Tertiary Education,People usually only pursue their own interests,0.59844,174,295,0.54240,0.65447
2003,Bremen,Upper Secondary Level,People usually only pursue their own interests,0.70619,56,56,0.58581,0.82658
2003,North Rhine-Westphalia,Pre-primary Level,People usually try to be helpful,0.44237,55,137,0.35889,0.52584
2003,North Rhine-Westphalia,Pre-primary Level,People usually only pursue their own interests,0.55763,82,137,0.47416,0.64111
2003,North Rhine-Westphalia,Primary Level,People usually try to be helpful,0.29802,36,99,0.20746,0.38858
2003,North Rhine-Westphalia,Primary Level,People usually only pursue their own interests,0.70198,63,99,0.61142,0.79254
2003,North Rhine-Westphalia,Lower Secondary Level,People usually try to be helpful,0.39354,230,580,0.35375,0.43334
2003,North Rhine-Westphalia,Lower Secondary Level,People usually only pursue their own interests,0.60646,350,580,0.56666,0.64625
2003,North Rhine-Westphalia,Upper Secondary Level,People usually try to be helpful,0.36550,824,2232,0.34551,0.38548
2003,North Rhine-Westphalia,Upper Secondary Level,People usually only pursue their own interests,0.63450,1408,2232,0.61452,0.65449
2003,North Rhine-Westphalia,Post-secondary Non-tertiary Level,People usually try to be helpful,0.32562,98,336,0.27544,0.37580
2003,North Rhine-Westphalia,Post-secondary Non-tertiary Level,People usually only pursue their own interests,0.67438,238,336,0.62420,0.72456
2003,North Rhine-Westphalia,First Stage of Tertiary Education,People usually try to be helpful,0.30923,92,325,0.25891,0.35956
2003,North Rhine-Westphalia,First Stage of Tertiary Education,People usually only pursue their own interests,0.69077,233,325,0.64044,0.74109
2003,North Rhine-Westphalia,Second Stage of Tertiary Education,People usually try to be helpful,0.42126,342,833,0.38770,0.45481
2003,North Rhine-Westphalia,Second Stage of Tertiary Education,People usually only pursue their own interests,0.57874,491,833,0.54519,0.61230
2003,Hesse,Lower Secondary Level,People usually try to be helpful,0.32754,70,205,0.26314,0.39194
2003,Hesse,Lower Secondary Level,People usually only pursue their own interests,0.67246,135,205,0.60806,0.73686
2003,Hesse,Upper Secondary Level,People usually try to be helpful,0.28911,193,684,0.25511,0.32311
2003,Hesse,Upper Secondary Level,People usually only pursue their own interests,0.71089,491,684,0.67689,0.74489
2003,Hesse,Post-secondary Non-tertiary Level,People usually only pursue their own interests,0.76120,83,83,0.66892,0.85348
2003,Hesse,First Stage of Tertiary Education,People usually only pursue their own interests,0.74515,69,69,0.64157,0.84873
2003,Hesse,Second Stage of Tertiary Education,People usually try to be helpful,0.34618,117,320,0.29397,0.39838
2003,Hesse,Second Stage of Tertiary Education,People usually only pursue their own interests,0.65382,203,320,0.60162,0.70603
2003,"Rhineland-Palatinate, Saarland",Lower Secondary Level,People usually try to be helpful,0.46526,98,228,0.40037,0.53015
2003,"Rhineland-Palatinate, Saarland",Lower Secondary Level,People usually only pursue their own interests,0.53474,130,228,0.46985,0.59963
2003,"Rhineland-Palatinate, Saarland",Upper Secondary Level,People usually try to be helpful,0.46137,293,692,0.42420,0.49853
2003,"Rhineland-Palatinate, Saarland",Upper Secondary Level,People usually only pursue their own interests,0.53863,399,692,0.50147,0.57580
2003,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,People usually only pursue their own interests,0.79798,40,40,0.67196,0.92399
2003,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,People usually try to be helpful,0.27116,33,105,0.18572,0.35661
2003,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,People usually only pursue their own interests,0.72884,72,105,0.64339,0.81428
2003,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,People usually try to be helpful,0.40398,82,182,0.33250,0.47547
2003,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,People usually only pursue their own interests,0.59602,100,182,0.52453,0.66750
2003,Baden-Wuerttemberg,Pre-primary Level,People usually try to be helpful,0.40519,37,76,0.29408,0.51629
2003,Baden-Wuerttemberg,Pre-primary Level,People usually only pursue their own interests,0.59481,39,76,0.48371,0.70592
2003,Baden-Wuerttemberg,Lower Secondary Level,People usually try to be helpful,0.43805,197,449,0.39211,0.48400
2003,Baden-Wuerttemberg,Lower Secondary Level,People usually only pursue their own interests,0.56195,252,449,0.51600,0.60789
2003,Baden-Wuerttemberg,Upper Secondary Level,People usually try to be helpful,0.37255,504,1242,0.34565,0.39945
2003,Baden-Wuerttemberg,Upper Secondary Level,People usually only pursue their own interests,0.62745,738,1242,0.60055,0.65435
2003,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,People usually try to be helpful,0.33706,49,138,0.25790,0.41621
2003,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,People usually only pursue their own interests,0.66294,89,138,0.58379,0.74210
2003,Baden-Wuerttemberg,First Stage of Tertiary Education,People usually try to be helpful,0.35111,67,208,0.28608,0.41613
