year,sampreg,sex,plh0196,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,West,male,People usually try to be helpful,0.35246,2891,7988,0.34198,0.36293
2003,West,male,People usually only pursue their own interests,0.64754,5097,7988,0.63707,0.65802
2003,West,female,People usually try to be helpful,0.39377,3344,8568,0.38342,0.40411
2003,West,female,People usually only pursue their own interests,0.60623,5224,8568,0.59589,0.61658
2003,East,male,People usually try to be helpful,0.28703,758,2554,0.26949,0.30458
2003,East,male,People usually only pursue their own interests,0.71297,1796,2554,0.69542,0.73051
2003,East,female,People usually try to be helpful,0.31396,838,2725,0.29653,0.33139
2003,East,female,People usually only pursue their own interests,0.68604,1887,2725,0.66861,0.70347
2008,West,male,People usually try to be helpful,0.35327,2548,6799,0.34191,0.36464
2008,West,male,People usually only pursue their own interests,0.64673,4251,6799,0.63536,0.65809
2008,West,female,People usually try to be helpful,0.39953,3107,7520,0.38846,0.41060
2008,West,female,People usually only pursue their own interests,0.60047,4413,7520,0.58940,0.61154
2008,East,male,People usually try to be helpful,0.30668,700,2279,0.28774,0.32561
2008,East,male,People usually only pursue their own interests,0.69332,1579,2279,0.67439,0.71226
2008,East,female,People usually try to be helpful,0.34947,861,2431,0.33051,0.36843
2008,East,female,People usually only pursue their own interests,0.65053,1570,2431,0.63157,0.66949
2013,West,male,People usually try to be helpful,0.41611,3759,8752,0.40578,0.42644
2013,West,male,People usually only pursue their own interests,0.58389,4993,8752,0.57356,0.59422
2013,West,female,People usually try to be helpful,0.45879,4911,10634,0.44932,0.46826
2013,West,female,People usually only pursue their own interests,0.54121,5723,10634,0.53174,0.55068
2013,East,male,People usually try to be helpful,0.38665,1021,2563,0.36779,0.40551
2013,East,male,People usually only pursue their own interests,0.61335,1542,2563,0.59449,0.63221
2013,East,female,People usually try to be helpful,0.41741,1306,3064,0.39994,0.43487
2013,East,female,People usually only pursue their own interests,0.58259,1758,3064,0.56513,0.60006
2018,West,male,People usually try to be helpful,0.45618,4975,10598,0.44669,0.46566
2018,West,male,People usually only pursue their own interests,0.54382,5623,10598,0.53434,0.55331
2018,West,female,People usually try to be helpful,0.47364,5583,11694,0.46459,0.48269
2018,West,female,People usually only pursue their own interests,0.52636,6111,11694,0.51731,0.53541
2018,East,male,People usually try to be helpful,0.43898,1190,2731,0.42036,0.45759
2018,East,male,People usually only pursue their own interests,0.56102,1541,2731,0.54241,0.57964
2018,East,female,People usually try to be helpful,0.48054,1467,3081,0.46290,0.49819
2018,East,female,People usually only pursue their own interests,0.51946,1614,3081,0.50181,0.53710
