year,quintil_oecd,sex,plh0196,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,1st Quintile,male,People usually try to be helpful,0.30730,435,1412,0.28322,0.33137
2003,1st Quintile,male,People usually only pursue their own interests,0.69270,977,1412,0.66863,0.71678
2003,1st Quintile,female,People usually try to be helpful,0.36549,664,1930,0.34400,0.38699
2003,1st Quintile,female,People usually only pursue their own interests,0.63451,1266,1930,0.61301,0.65600
2003,2nd Quintile,male,People usually try to be helpful,0.33505,601,1740,0.31287,0.35724
2003,2nd Quintile,male,People usually only pursue their own interests,0.66495,1139,1740,0.64276,0.68713
2003,2nd Quintile,female,People usually try to be helpful,0.38244,762,2067,0.36149,0.40340
2003,2nd Quintile,female,People usually only pursue their own interests,0.61756,1305,2067,0.59660,0.63851
2003,3rd Quintile,male,People usually try to be helpful,0.33899,655,1986,0.31817,0.35982
2003,3rd Quintile,male,People usually only pursue their own interests,0.66101,1331,1986,0.64018,0.68183
2003,3rd Quintile,female,People usually try to be helpful,0.39691,787,2029,0.37562,0.41821
2003,3rd Quintile,female,People usually only pursue their own interests,0.60309,1242,2029,0.58179,0.62438
2003,4th Quintile,male,People usually try to be helpful,0.34933,760,2202,0.32941,0.36925
2003,4th Quintile,male,People usually only pursue their own interests,0.65067,1442,2202,0.63075,0.67059
2003,4th Quintile,female,People usually try to be helpful,0.36449,775,2214,0.34443,0.38454
2003,4th Quintile,female,People usually only pursue their own interests,0.63551,1439,2214,0.61546,0.65557
2003,5th Quintile,male,People usually try to be helpful,0.35933,1198,3200,0.34270,0.37595
2003,5th Quintile,male,People usually only pursue their own interests,0.64067,2002,3200,0.62405,0.65730
2003,5th Quintile,female,People usually try to be helpful,0.38613,1192,3051,0.36886,0.40341
2003,5th Quintile,female,People usually only pursue their own interests,0.61387,1859,3051,0.59659,0.63114
2008,1st Quintile,male,People usually try to be helpful,0.31464,382,1218,0.28855,0.34073
2008,1st Quintile,male,People usually only pursue their own interests,0.68536,836,1218,0.65927,0.71145
2008,1st Quintile,female,People usually try to be helpful,0.37938,628,1704,0.35633,0.40243
2008,1st Quintile,female,People usually only pursue their own interests,0.62062,1076,1704,0.59757,0.64367
2008,2nd Quintile,male,People usually try to be helpful,0.33718,514,1521,0.31341,0.36094
2008,2nd Quintile,male,People usually only pursue their own interests,0.66282,1007,1521,0.63906,0.68659
2008,2nd Quintile,female,People usually try to be helpful,0.38443,694,1814,0.36204,0.40683
2008,2nd Quintile,female,People usually only pursue their own interests,0.61557,1120,1814,0.59317,0.63796
2008,3rd Quintile,male,People usually try to be helpful,0.33272,628,1823,0.31108,0.35436
2008,3rd Quintile,male,People usually only pursue their own interests,0.66728,1195,1823,0.64564,0.68892
2008,3rd Quintile,female,People usually try to be helpful,0.38157,751,1953,0.36002,0.40312
2008,3rd Quintile,female,People usually only pursue their own interests,0.61843,1202,1953,0.59688,0.63998
2008,4th Quintile,male,People usually try to be helpful,0.32797,662,1906,0.30689,0.34905
2008,4th Quintile,male,People usually only pursue their own interests,0.67203,1244,1906,0.65095,0.69311
2008,4th Quintile,female,People usually try to be helpful,0.39530,770,1917,0.37341,0.41720
2008,4th Quintile,female,People usually only pursue their own interests,0.60470,1147,1917,0.58280,0.62659
2008,5th Quintile,male,People usually try to be helpful,0.39621,1062,2610,0.37744,0.41497
2008,5th Quintile,male,People usually only pursue their own interests,0.60379,1548,2610,0.58503,0.62256
2008,5th Quintile,female,People usually try to be helpful,0.41363,1124,2561,0.39455,0.43271
2008,5th Quintile,female,People usually only pursue their own interests,0.58637,1437,2561,0.56729,0.60545
2013,1st Quintile,male,People usually try to be helpful,0.38204,707,1942,0.36042,0.40365
2013,1st Quintile,male,People usually only pursue their own interests,0.61796,1235,1942,0.59635,0.63958
2013,1st Quintile,female,People usually try to be helpful,0.41021,1226,3081,0.39283,0.42758
2013,1st Quintile,female,People usually only pursue their own interests,0.58979,1855,3081,0.57242,0.60717
2013,2nd Quintile,male,People usually try to be helpful,0.42573,922,2208,0.40511,0.44636
2013,2nd Quintile,male,People usually only pursue their own interests,0.57427,1286,2208,0.55364,0.59489
2013,2nd Quintile,female,People usually try to be helpful,0.45570,1305,2890,0.43754,0.47387
2013,2nd Quintile,female,People usually only pursue their own interests,0.54430,1585,2890,0.52613,0.56246
2013,3rd Quintile,male,People usually try to be helpful,0.39685,920,2213,0.37646,0.41724
2013,3rd Quintile,male,People usually only pursue their own interests,0.60315,1293,2213,0.58276,0.62354
2013,3rd Quintile,female,People usually try to be helpful,0.45453,1180,2556,0.43522,0.47383
2013,3rd Quintile,female,People usually only pursue their own interests,0.54547,1376,2556,0.52617,0.56478
2013,4th Quintile,male,People usually try to be helpful,0.39827,949,2275,0.37815,0.41839
2013,4th Quintile,male,People usually only pursue their own interests,0.60173,1326,2275,0.58161,0.62185
2013,4th Quintile,female,People usually try to be helpful,0.45416,1159,2477,0.43455,0.47378
2013,4th Quintile,female,People usually only pursue their own interests,0.54584,1318,2477,0.52622,0.56545
2013,5th Quintile,male,People usually try to be helpful,0.43967,1281,2675,0.42086,0.45848
2013,5th Quintile,male,People usually only pursue their own interests,0.56033,1394,2675,0.54152,0.57914
2013,5th Quintile,female,People usually try to be helpful,0.47828,1345,2691,0.45941,0.49716
2013,5th Quintile,female,People usually only pursue their own interests,0.52172,1346,2691,0.50284,0.54059
2018,1st Quintile,male,People usually try to be helpful,0.42038,1532,3296,0.40353,0.43724
2018,1st Quintile,male,People usually only pursue their own interests,0.57962,1764,3296,0.56276,0.59647
2018,1st Quintile,female,People usually try to be helpful,0.44518,1648,3607,0.42896,0.46141
2018,1st Quintile,female,People usually only pursue their own interests,0.55482,1959,3607,0.53859,0.57104
