"year","migback","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2006","direkter Migrationshintergrund","maennlich","7.49","7.5","1097","5","6","9","10","10","7.38","7.6","0","10","8","8"
"2006","direkter Migrationshintergrund","weiblich","7.56","7.5","1263","5","7","9","10","10","7.45","7.67","0","10","8","8"
"2006","indirekter Migrationshintergrund","maennlich","7.25","7.5","382","5","6","9","10","10","7.04","7.46","0","10","8","8"
"2006","indirekter Migrationshintergrund","weiblich","7.4","7.5","420","4","6","9","10","10","7.2","7.6","0","10","8","8"
"2006","kein Migrationshintergrund","maennlich","7.59","7.5","8812","5","7","9","10","10","7.55","7.63","0","10","8","8"
"2006","kein Migrationshintergrund","weiblich","7.58","7.5","9621","5","7","9","10","10","7.54","7.62","0","10","8","8"
"2006","Migrationshintergrund - n. w. differenzierbar","maennlich","","","","","","","","","","","","","",""
"2006","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2007","direkter Migrationshintergrund","maennlich","7.63","7.5","964","5","7","9","10","10","7.5","7.76","0","10","8","8"
"2007","direkter Migrationshintergrund","weiblich","7.58","7.5","1124","5","7","9","10","10","7.46","7.7","0","10","8","8"
"2007","indirekter Migrationshintergrund","maennlich","7.4","7.5","360","5","6","9","10","10","7.19","7.61","0","10","8","8"
"2007","indirekter Migrationshintergrund","weiblich","7.7","7.5","409","5","7","9","10","10","7.51","7.89","0","10","8","8"
"2007","kein Migrationshintergrund","maennlich","7.55","7.5","8287","5","7","9","10","10","7.51","7.59","0","10","8","8"
"2007","kein Migrationshintergrund","weiblich","7.54","7.5","9015","5","7","9","10","10","7.5","7.58","0","10","8","8"
"2007","Migrationshintergrund - n. w. differenzierbar","maennlich","","","","","","","","","","","","","",""
"2007","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2008","direkter Migrationshintergrund","maennlich","7.73","7.5","876","5","7","9","10","10","7.6","7.86","0","10","8","8"
"2008","direkter Migrationshintergrund","weiblich","7.7","7.5","1021","5","7","9","10","10","7.57","7.83","0","10","8","8"
"2008","indirekter Migrationshintergrund","maennlich","7.59","7.5","367","5","7","9","10","10","7.38","7.8","0","10","8","8"
"2008","indirekter Migrationshintergrund","weiblich","7.69","7.5","399","4","7","10","10","10","7.48","7.9","0","10","8","9"
"2008","kein Migrationshintergrund","maennlich","7.63","7.5","7887","5","7","9","10","10","7.59","7.67","0","10","8","8"
"2008","kein Migrationshintergrund","weiblich","7.67","7.5","8609","5","7","9","10","10","7.63","7.71","0","10","8","8"
"2008","Migrationshintergrund - n. w. differenzierbar","maennlich","","","","","","","","","","","","","",""
"2008","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2009","direkter Migrationshintergrund","maennlich","7.63","7.5","753","5","6","9","10","10","7.49","7.77","0","10","8","8"
"2009","direkter Migrationshintergrund","weiblich","7.73","7.5","893","5","7","9","10","10","7.59","7.87","0","10","8","8"
"2009","indirekter Migrationshintergrund","maennlich","7.38","7.5","338","4","7","9","10","10","7.18","7.58","0","10","8","8"
"2009","indirekter Migrationshintergrund","weiblich","7.82","7.5","367","5","7","9","10","10","7.62","8.02","0","10","8","8"
"2009","kein Migrationshintergrund","maennlich","7.58","7.5","7437","5","7","9","10","10","7.53","7.63","0","10","8","8"
"2009","kein Migrationshintergrund","weiblich","7.69","7.5","8099","5","7","9","10","10","7.65","7.73","0","10","8","8"
"2009","Migrationshintergrund - n. w. differenzierbar","maennlich","","","","","","","","","","","","","",""
"2009","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2010","direkter Migrationshintergrund","maennlich","7.87","7.5","1291","5","7","10","10","10","7.77","7.97","0","10","9","9"
"2010","direkter Migrationshintergrund","weiblich","7.94","7.5","1594","5","7","10","10","10","7.84","8.04","0","10","9","9"
"2010","indirekter Migrationshintergrund","maennlich","7.67","7.5","509","5","7","9","10","10","7.51","7.83","0","10","8","9"
"2010","indirekter Migrationshintergrund","weiblich","7.71","7.5","631","5","6","9","10","10","7.55","7.87","0","10","8","9"
"2010","kein Migrationshintergrund","maennlich","7.64","7.5","9033","5","7","9","10","10","7.6","7.68","0","10","8","8"
"2010","kein Migrationshintergrund","weiblich","7.68","7.5","10749","5","7","9","10","10","7.64","7.72","0","10","8","8"
"2010","Migrationshintergrund - n. w. differenzierbar","maennlich","","","","","","","","","","","","","",""
"2010","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2011","direkter Migrationshintergrund","maennlich","7.94","7.5","1275","5","7","10","10","10","7.84","8.04","0","10","9","9"
"2011","direkter Migrationshintergrund","weiblich","7.95","7.5","1607","5","7","9","10","10","7.86","8.04","0","10","9","9"
"2011","indirekter Migrationshintergrund","maennlich","7.67","7.5","536","4","7","9","10","10","7.51","7.83","0","10","8","9"
"2011","indirekter Migrationshintergrund","weiblich","7.81","7.5","666","5","7","9","10","10","7.65","7.97","0","10","8","9"
"2011","kein Migrationshintergrund","maennlich","7.75","7.5","9704","5","7","9","10","10","7.71","7.79","0","10","8","8"
"2011","kein Migrationshintergrund","weiblich","7.72","7.5","11754","5","7","9","10","10","7.68","7.76","0","10","8","8"
"2011","Migrationshintergrund - n. w. differenzierbar","maennlich","","","","","","","","","","","","","",""
"2011","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2012","direkter Migrationshintergrund","maennlich","8.01","7.5","1275","5","7","9","10","10","7.91","8.11","0","10","9","9"
