"year","bildungsniveau","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2006","(Fach-)Abitur","Ostdeutschland","7.36","7.5","404","7.17","7.55"
"2006","(Fach-)Abitur","Westdeutschland","7.48","7.5","2017","7.4","7.56"
"2006","(noch) kein Abschluss","Ostdeutschland","7.76","7.5","94","7.38","8.14"
"2006","(noch) kein Abschluss","Westdeutschland","7.46","7.5","547","7.29","7.63"
"2006","AkademikerIn","Ostdeutschland","7.39","7.5","1315","7.28","7.5"
"2006","AkademikerIn","Westdeutschland","7.59","7.5","3201","7.53","7.65"
"2006","Hauptschule","Ostdeutschland","7.39","7.5","1355","7.28","7.5"
"2006","Hauptschule","Westdeutschland","7.64","7.5","6595","7.59","7.69"
"2006","Realschule","Ostdeutschland","7.44","7.5","1918","7.35","7.53"
"2006","Realschule","Westdeutschland","7.64","7.5","3732","7.58","7.7"
"2007","(Fach-)Abitur","Ostdeutschland","7.1","7.5","384","6.89","7.31"
"2007","(Fach-)Abitur","Westdeutschland","7.37","7.5","1933","7.28","7.46"
"2007","(noch) kein Abschluss","Ostdeutschland","7.36","7.5","99","6.99","7.73"
"2007","(noch) kein Abschluss","Westdeutschland","7.34","7.5","445","7.15","7.53"
"2007","AkademikerIn","Ostdeutschland","7.38","7.5","1286","7.27","7.49"
"2007","AkademikerIn","Westdeutschland","7.65","7.5","3048","7.59","7.71"
"2007","Hauptschule","Ostdeutschland","7.52","7.5","1245","7.41","7.63"
"2007","Hauptschule","Westdeutschland","7.63","7.5","5955","7.58","7.68"
"2007","Realschule","Ostdeutschland","7.38","7.5","1800","7.29","7.47"
"2007","Realschule","Westdeutschland","7.63","7.5","3519","7.57","7.69"
"2008","(Fach-)Abitur","Ostdeutschland","7.31","7.5","361","7.1","7.52"
"2008","(Fach-)Abitur","Westdeutschland","7.57","7.5","1798","7.48","7.66"
"2008","(noch) kein Abschluss","Ostdeutschland","7.49","7.5","97","7.13","7.85"
"2008","(noch) kein Abschluss","Westdeutschland","7.54","7.5","441","7.35","7.73"
"2008","AkademikerIn","Ostdeutschland","7.54","7.5","1237","7.43","7.65"
"2008","AkademikerIn","Westdeutschland","7.63","7.5","2927","7.56","7.7"
"2008","Hauptschule","Ostdeutschland","7.69","7.5","1176","7.58","7.8"
"2008","Hauptschule","Westdeutschland","7.75","7.5","5569","7.7","7.8"
"2008","Realschule","Ostdeutschland","7.53","7.5","1740","7.44","7.62"
"2008","Realschule","Westdeutschland","7.65","7.5","3345","7.58","7.72"
"2009","(Fach-)Abitur","Ostdeutschland","7.32","7.5","341","7.1","7.54"
"2009","(Fach-)Abitur","Westdeutschland","7.52","7.5","1650","7.43","7.61"
"2009","(noch) kein Abschluss","Ostdeutschland","7.76","7.5","69","7.33","8.19"
"2009","(noch) kein Abschluss","Westdeutschland","7.22","7.5","406","7.02","7.42"
"2009","AkademikerIn","Ostdeutschland","7.6","7.5","1198","7.49","7.71"
"2009","AkademikerIn","Westdeutschland","7.71","7.5","2812","7.64","7.78"
"2009","Hauptschule","Ostdeutschland","7.56","7.5","1104","7.44","7.68"
"2009","Hauptschule","Westdeutschland","7.7","7.5","5058","7.64","7.76"
"2009","Realschule","Ostdeutschland","7.51","7.5","1659","7.41","7.61"
"2009","Realschule","Westdeutschland","7.64","7.5","3125","7.57","7.71"
"2010","(Fach-)Abitur","Ostdeutschland","7.35","7.5","495","7.18","7.52"
"2010","(Fach-)Abitur","Westdeutschland","7.68","7.5","2549","7.61","7.75"
"2010","(noch) kein Abschluss","Ostdeutschland","8.27","7.5","81","7.86","8.68"
"2010","(noch) kein Abschluss","Westdeutschland","7.78","7.5","687","7.64","7.92"
"2010","AkademikerIn","Ostdeutschland","7.45","7.5","1389","7.34","7.56"
"2010","AkademikerIn","Westdeutschland","7.76","7.5","3962","7.7","7.82"
"2010","Hauptschule","Ostdeutschland","7.58","7.5","1167","7.46","7.7"
"2010","Hauptschule","Westdeutschland","7.76","7.5","6269","7.71","7.81"
"2010","Realschule","Ostdeutschland","7.51","7.5","2188","7.42","7.6"
"2010","Realschule","Westdeutschland","7.71","7.5","4559","7.65","7.77"
"2011","(Fach-)Abitur","Ostdeutschland","7.58","7.5","527","7.41","7.75"
"2011","(Fach-)Abitur","Westdeutschland","7.81","7.5","2739","7.74","7.88"
"2011","(noch) kein Abschluss","Ostdeutschland","8.26","8.5","86","7.85","8.67"
"2011","(noch) kein Abschluss","Westdeutschland","7.7","7.5","709","7.56","7.84"
"2011","AkademikerIn","Ostdeutschland","7.56","7.5","1456","7.46","7.66"
"2011","AkademikerIn","Westdeutschland","7.8","7.5","4261","7.75","7.85"
"2011","Hauptschule","Ostdeutschland","7.71","7.5","1217","7.59","7.83"
"2011","Hauptschule","Westdeutschland","7.8","7.5","6614","7.75","7.85"
"2011","Realschule","Ostdeutschland","7.5","7.5","2304","7.42","7.58"
"2011","Realschule","Westdeutschland","7.82","7.5","4901","7.77","7.87"
"2012","(Fach-)Abitur","Ostdeutschland","7.4","7.5","528","7.23","7.57"
"2012","(Fach-)Abitur","Westdeutschland","7.88","7.5","2822","7.81","7.95"
"2012","(noch) kein Abschluss","Ostdeutschland","7.9","7.5","98","7.53","8.27"
"2012","(noch) kein Abschluss","Westdeutschland","7.77","7.5","734","7.63","7.91"
"2012","AkademikerIn","Ostdeutschland","7.73","7.5","1480","7.63","7.83"
"2012","AkademikerIn","Westdeutschland","7.91","7.5","4385","7.86","7.96"
"2012","Hauptschule","Ostdeutschland","7.73","7.5","1302","7.62","7.84"
"2012","Hauptschule","Westdeutschland","7.9","7.5","6768","7.85","7.95"
"2012","Realschule","Ostdeutschland","7.62","7.5","2359","7.54","7.7"
"2012","Realschule","Westdeutschland","7.85","7.5","5020","7.8","7.9"
"2013","(Fach-)Abitur","Ostdeutschland","7.79","7.5","487","7.64","7.94"
"2013","(Fach-)Abitur","Westdeutschland","7.79","7.5","2749","7.72","7.86"
"2013","(noch) kein Abschluss","Ostdeutschland","7.27","7.5","103","6.85","7.69"
"2013","(noch) kein Abschluss","Westdeutschland","7.53","7.5","695","7.38","7.68"
"2013","AkademikerIn","Ostdeutschland","7.6","7.5","1438","7.5","7.7"
"2013","AkademikerIn","Westdeutschland","7.94","7.5","4336","7.89","7.99"
"2013","Hauptschule","Ostdeutschland","7.69","7.5","1243","7.57","7.81"
"2013","Hauptschule","Westdeutschland","7.85","7.5","6393","7.8","7.9"
"2013","Realschule","Ostdeutschland","7.59","7.5","2267","7.51","7.67"
"2013","Realschule","Westdeutschland","7.91","7.5","4868","7.86","7.96"
"2014","(Fach-)Abitur","Ostdeutschland","7.77","7.5","516","7.61","7.93"
