year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,,,,,,,,,
1985,,,,,,,,,
1986,,,,,,,,,
1987,,,,,,,,,
1988,,,,,,,,,
1989,,,,,,,,,
1990,,,,,,,,,
1991,,,,,,,,,
1992,,,,,,,,,
1993,,,,,,,,,
1994,,,,,,,,,
1995,,,,,,,,,
1996,,,,,,,,,
1997,,,,,,,,,
1998,,,,,,,,,
1999,,,,,,,,,
2000,,,,,,,,,
2001,,,,,,,,,
2002,,,,,,,,,
2003,,,,,,,,,
2004,,,,,,,,,
2005,,,,,,,,,
2006,7.56572,7.53771,7.59374,7.00000,8.00000,9.00000,4.00000,10.00000,21595.00000
2007,7.54861,7.51989,7.57732,7.00000,8.00000,9.00000,4.00000,10.00000,20159.00000
2008,7.65513,7.62544,7.68481,7.00000,8.00000,9.00000,4.00000,10.00000,19159.00000
2009,7.63851,7.60766,7.66936,7.00000,8.00000,9.00000,4.00000,10.00000,17887.00000
2010,7.69450,7.66781,7.72119,7.00000,8.00000,9.00000,4.00000,10.00000,23807.00000
2011,7.76549,7.74056,7.79042,7.00000,8.00000,9.00000,4.00000,10.00000,25542.00000
2012,7.84016,7.81610,7.86421,7.00000,8.00000,9.00000,4.00000,10.00000,26085.00000
2013,7.81811,7.79342,7.84280,7.00000,8.00000,9.00000,4.00000,10.00000,25226.00000
2014,7.83852,7.81517,7.86188,7.00000,8.00000,9.00000,4.00000,10.00000,26769.00000
2015,7.80046,7.77581,7.82511,7.00000,8.00000,9.00000,4.00000,10.00000,24752.00000
2016,7.83976,7.81528,7.86424,7.00000,8.00000,9.00000,4.00000,10.00000,23876.00000
2017,7.84281,7.81946,7.86616,7.00000,8.00000,9.00000,4.00000,10.00000,26120.00000
2018,7.83603,7.81232,7.85974,7.00000,8.00000,9.00000,4.00000,10.00000,25290.00000
2019,7.86759,7.84375,7.89143,7.00000,8.00000,9.00000,4.00000,10.00000,25373.00000
2020,7.76246,7.73828,7.78664,7.00000,8.00000,9.00000,4.00000,10.00000,25202.00000
2021,7.90206,7.87441,7.92970,7.00000,8.00000,9.00000,4.00000,10.00000,16987.00000
2022,7.73532,7.71090,7.75974,7.00000,8.00000,9.00000,4.00000,10.00000,25665.00000
