year,migback,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1984,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1984,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1985,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1985,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1985,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1986,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1986,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1986,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1987,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1987,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1987,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1988,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1988,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1988,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1989,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1989,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1989,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1990,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1990,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1990,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1990,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1990,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1990,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1991,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1991,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1991,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1991,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1991,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1991,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1992,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1992,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1992,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1992,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1992,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1992,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1993,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1993,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1993,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1993,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1993,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1993,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1994,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1994,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1994,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1994,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1994,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1994,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1995,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1995,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1995,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1995,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1995,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1995,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1996,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1996,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1996,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1996,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1996,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1996,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1997,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1997,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1997,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1997,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1997,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1997,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1998,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1998,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1998,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1998,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1998,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1998,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1999,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1999,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1999,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1999,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
1999,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
1999,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2000,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2000,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2000,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2000,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2000,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2000,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2001,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2001,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2001,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2001,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2001,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2001,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2002,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2002,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2002,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2002,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2002,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2002,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2003,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2003,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2003,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2003,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2003,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2003,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2004,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2004,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2004,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2004,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2004,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2004,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2005,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2005,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2005,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2005,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2005,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2005,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2006,kein Migrationshintergrund,Westdeutschland,7.63049033425125,7.613504897057099,7.647475771445401,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,13401.0
2006,kein Migrationshintergrund,Ostdeutschland,7.412640138318643,7.3840443871218095,7.441235889515477,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,5017.0
2006,direkter Migrationshintergrund,Westdeutschland,7.529268533778793,7.486287965352065,7.572249102205521,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,2249.0
2006,direkter Migrationshintergrund,Ostdeutschland,7.43814858440852,7.241369069885677,7.634928098931362,6.135744644123962,8.0,9.0,1.839361610309905,10.0,8.0,8.0,8.0,109.0
2006,indirekter Migrationshintergrund,Westdeutschland,7.316381121137377,7.239021561559923,7.393740680714831,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,749.0
2006,indirekter Migrationshintergrund,Ostdeutschland,6.855631321452424,6.525483119442191,7.1857795234626565,5.332942895170137,7.0,8.0,3.0,10.0,7.0,6.0,8.0,38.0
2007,kein Migrationshintergrund,Westdeutschland,7.584738605589838,7.567159079685112,7.602318131494563,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,12512.0
2007,kein Migrationshintergrund,Ostdeutschland,7.391801669274017,7.36275445897516,7.4208488795728735,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,4797.0
2007,direkter Migrationshintergrund,Westdeutschland,7.606895106235538,7.5628746127489075,7.650915599722169,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,1999.0
2007,direkter Migrationshintergrund,Ostdeutschland,7.271171296665327,7.075786503609049,7.466556089721605,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0,89.0
2007,indirekter Migrationshintergrund,Westdeutschland,7.531090097934494,7.458081111486148,7.60409908438284,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,725.0
2007,indirekter Migrationshintergrund,Ostdeutschland,7.7282866191861554,7.3797508765328494,8.076822361839461,8.0,8.0,10.0,5.0,10.0,8.0,6.0,8.0,37.0
2008,kein Migrationshintergrund,Westdeutschland,7.6660910048459145,7.647977559118706,7.684204450573123,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,11891.0
2008,kein Migrationshintergrund,Ostdeutschland,7.585088949186592,7.556558985063205,7.613618913309979,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4609.0
2008,direkter Migrationshintergrund,Westdeutschland,7.740293945741831,7.692520532741388,7.788067358742274,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,1819.0
2008,direkter Migrationshintergrund,Ostdeutschland,6.700604396779816,6.452447381257333,6.9487614123023,5.0,7.0,8.0,1.0,10.0,7.0,6.0,8.0,78.0
2008,indirekter Migrationshintergrund,Westdeutschland,7.653452400063731,7.569744931178287,7.737159868949175,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,721.0
2008,indirekter Migrationshintergrund,Ostdeutschland,6.946800150108534,6.635066868264501,7.258533431952567,5.0,7.0,9.0,3.0,10.0,7.0,6.0,8.024999999999999,41.0
2009,kein Migrationshintergrund,Westdeutschland,7.65472785082393,7.635797473633734,7.6736582280141254,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,11155.0
2009,kein Migrationshintergrund,Ostdeutschland,7.557393902830553,7.5272145840894265,7.587573221571679,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4384.0
2009,direkter Migrationshintergrund,Westdeutschland,7.7018642930498755,7.651576739346648,7.752151846753103,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,1573.0
2009,direkter Migrationshintergrund,Ostdeutschland,7.004425607227883,6.707119965188839,7.301731249266928,5.0,8.0,9.0,1.0,10.0,8.0,7.0,9.0,73.0
2009,indirekter Migrationshintergrund,Westdeutschland,7.6496202404249205,7.574896132015397,7.724344348834444,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,665.0
2009,indirekter Migrationshintergrund,Ostdeutschland,6.659699355709027,6.231866967665382,7.087531743752673,5.0,8.0,8.39600897447368,0.0,10.0,8.0,8.0,10.024999999999999,37.0
2010,kein Migrationshintergrund,Westdeutschland,7.7056842891331945,7.689279173952635,7.722089404313754,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,14551.0
2010,kein Migrationshintergrund,Ostdeutschland,7.486806769440067,7.458164528498782,7.515449010381352,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,5226.0
2010,direkter Migrationshintergrund,Westdeutschland,7.9106798822940245,7.874147609504916,7.947212155083133,7.0,8.0,10.0,2.5,10.0,8.0,8.0,8.0,2805.0
2010,direkter Migrationshintergrund,Ostdeutschland,7.755990653540146,7.573574468603906,7.938406838476387,7.0,8.0,10.0,2.5,10.0,8.0,7.0,8.0,128.0
2010,indirekter Migrationshintergrund,Westdeutschland,7.702428056941449,7.638684147591282,7.766171966291616,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,1025.0
2010,indirekter Migrationshintergrund,Ostdeutschland,7.305534873498325,7.0656329770198685,7.5454367699767815,5.714667395364069,7.0,9.0,0.7866684884101725,10.0,7.0,5.0,7.0,72.0
2011,kein Migrationshintergrund,Westdeutschland,7.780366754834506,7.765176668119005,7.795556841550007,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,15928.0
