year,bula_h,regtyp,plh0034,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,Urban regions,Very concerned,0.31666,59,188,0.24999,0.38334
2009,Schleswig-Holstein,Urban regions,Somewhat concerned,0.43346,76,188,0.36244,0.50449
2009,Schleswig-Holstein,Urban regions,Not concerned at all,0.24987,53,188,0.18782,0.31193
2009,Schleswig-Holstein,Rural regions,Very concerned,0.41556,129,310,0.36061,0.47051
2009,Schleswig-Holstein,Rural regions,Somewhat concerned,0.45050,130,310,0.39502,0.50597
2009,Schleswig-Holstein,Rural regions,Not concerned at all,0.13394,51,310,0.09597,0.17192
2009,Hamburg,Urban regions,Very concerned,0.43248,112,265,0.37272,0.49224
2009,Hamburg,Urban regions,Somewhat concerned,0.46258,120,265,0.40243,0.52273
2009,Hamburg,Urban regions,Not concerned at all,0.10494,33,265,0.06797,0.14191
2009,Lower Saxony,Urban regions,Very concerned,0.48412,378,765,0.44868,0.51956
2009,Lower Saxony,Urban regions,Somewhat concerned,0.43303,325,765,0.39790,0.46817
2009,Lower Saxony,Urban regions,Not concerned at all,0.08285,62,765,0.06330,0.10239
2009,Lower Saxony,Rural regions,Very concerned,0.51365,434,855,0.48013,0.54717
2009,Lower Saxony,Rural regions,Somewhat concerned,0.42108,364,855,0.38796,0.45419
2009,Lower Saxony,Rural regions,Not concerned at all,0.06527,57,855,0.04871,0.08184
2009,Bremen,Urban regions,Very concerned,0.53587,52,97,0.43611,0.63563
2009,Bremen,Urban regions,Somewhat concerned,0.30884,45,97,0.21642,0.40127
2009,North Rhine-Westphalia,Urban regions,Very concerned,0.51026,1785,3488,0.49366,0.52685
2009,North Rhine-Westphalia,Urban regions,Somewhat concerned,0.40636,1430,3488,0.39006,0.42267
2009,North Rhine-Westphalia,Urban regions,Not concerned at all,0.08338,273,3488,0.07420,0.09256
2009,North Rhine-Westphalia,Rural regions,Very concerned,0.20709,38,89,0.12243,0.29176
2009,North Rhine-Westphalia,Rural regions,Somewhat concerned,0.54181,51,89,0.43771,0.64591
2009,Hesse,Urban regions,Very concerned,0.48098,452,985,0.44976,0.51220
2009,Hesse,Urban regions,Somewhat concerned,0.40624,428,985,0.37555,0.43692
2009,Hesse,Urban regions,Not concerned at all,0.11278,105,985,0.09302,0.13255
2009,Hesse,Rural regions,Very concerned,0.61196,124,208,0.54558,0.67835
2009,Hesse,Rural regions,Somewhat concerned,0.34670,84,208,0.28187,0.41154
2009,"Rhineland-Palatinate, Saarland",Urban regions,Very concerned,0.43154,338,773,0.39660,0.46648
2009,"Rhineland-Palatinate, Saarland",Urban regions,Somewhat concerned,0.42152,342,773,0.38669,0.45636
2009,"Rhineland-Palatinate, Saarland",Urban regions,Not concerned at all,0.14694,93,773,0.12196,0.17191
2009,"Rhineland-Palatinate, Saarland",Rural regions,Very concerned,0.49397,119,223,0.42820,0.55974
2009,"Rhineland-Palatinate, Saarland",Rural regions,Somewhat concerned,0.38128,104,223,0.31738,0.44517
2009,Baden-Wuerttemberg,Urban regions,Very concerned,0.51583,944,1885,0.49326,0.53839
2009,Baden-Wuerttemberg,Urban regions,Somewhat concerned,0.40458,792,1885,0.38241,0.42674
2009,Baden-Wuerttemberg,Urban regions,Not concerned at all,0.07960,149,1885,0.06738,0.09182
2009,Baden-Wuerttemberg,Rural regions,Very concerned,0.56316,102,174,0.48925,0.63708
2009,Baden-Wuerttemberg,Rural regions,Somewhat concerned,0.39145,72,174,0.31872,0.46419
2009,Bavaria,Urban regions,Very concerned,0.47486,623,1247,0.44714,0.50259
2009,Bavaria,Urban regions,Somewhat concerned,0.45933,546,1247,0.43166,0.48700
2009,Bavaria,Urban regions,Not concerned at all,0.06580,78,1247,0.05204,0.07957
2009,Bavaria,Rural regions,Very concerned,0.54604,714,1335,0.51932,0.57275
2009,Bavaria,Rural regions,Somewhat concerned,0.37594,531,1335,0.34995,0.40193
2009,Bavaria,Rural regions,Not concerned at all,0.07802,90,1335,0.06363,0.09242
2009,Berlin,Urban regions,Very concerned,0.46832,336,680,0.43079,0.50585
2009,Berlin,Urban regions,Somewhat concerned,0.43866,286,680,0.40133,0.47598
