"plh0034","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","2009","(noch) kein Abschluss","Westdeutschland","124","0.315350381153187","0.26981500160891","0.360885760697464"
"Grosse Sorgen","2009","(noch) kein Abschluss","Ostdeutschland","","","",""
"Grosse Sorgen","2009","Hauptschule","Westdeutschland","2627","0.518995844020547","0.505170294727168","0.532821393313927"
"Grosse Sorgen","2009","Hauptschule","Ostdeutschland","538","0.469228841558334","0.439949453151835","0.498508229964832"
"Grosse Sorgen","2009","Realschule","Westdeutschland","1519","0.491071457776102","0.473529763229274","0.508613152322931"
"Grosse Sorgen","2009","Realschule","Ostdeutschland","755","0.455878183974289","0.431933723516129","0.479822644432449"
"Grosse Sorgen","2009","(Fach-)Abitur","Westdeutschland","742","0.454042551318077","0.430019188830521","0.478065913805634"
"Grosse Sorgen","2009","(Fach-)Abitur","Ostdeutschland","137","0.41747532920703","0.365513717754974","0.469436940659086"
"Grosse Sorgen","2009","AkademikerIn","Westdeutschland","1460","0.523825106464242","0.505352595162465","0.54229761776602"
"Grosse Sorgen","2009","AkademikerIn","Ostdeutschland","664","0.533919495322396","0.505730237904211","0.56210875274058"
"Einige Sorgen","2009","(noch) kein Abschluss","Westdeutschland","189","0.507176282675397","0.458182230134328","0.556170335216466"
"Einige Sorgen","2009","(noch) kein Abschluss","Ostdeutschland","37","0.486646936064626","0.370385952546891","0.602907919582361"
"Einige Sorgen","2009","Hauptschule","Westdeutschland","1969","0.388696495262569","0.375208115164013","0.402184875361125"
"Einige Sorgen","2009","Hauptschule","Ostdeutschland","404","0.349501942441476","0.321527348416694","0.377476536466258"
"Einige Sorgen","2009","Realschule","Westdeutschland","1367","0.436293079400776","0.418891581261309","0.453694577540242"
"Einige Sorgen","2009","Realschule","Ostdeutschland","723","0.423849357502577","0.400091549343654","0.4476071656615"
"Einige Sorgen","2009","(Fach-)Abitur","Westdeutschland","741","0.449390019232566","0.425388437123032","0.4733916013421"
"Einige Sorgen","2009","(Fach-)Abitur","Ostdeutschland","164","0.461186350671318","0.408661169540869","0.513711531801766"
"Einige Sorgen","2009","AkademikerIn","Westdeutschland","1166","0.400265431608149","0.382143556936653","0.418387306279644"
"Einige Sorgen","2009","AkademikerIn","Ostdeutschland","443","0.378052996873921","0.350651877188279","0.405454116559562"
"Keine Sorgen","2009","(noch) kein Abschluss","Westdeutschland","87","0.177473336171416","0.140031283946915","0.214915388395917"
"Keine Sorgen","2009","(noch) kein Abschluss","Ostdeutschland","","","",""
"Keine Sorgen","2009","Hauptschule","Westdeutschland","421","0.0923076607168841","0.0842979976387956","0.100317323794973"
"Keine Sorgen","2009","Hauptschule","Ostdeutschland","174","0.18126921600019","0.158667126936412","0.203871305063969"
"Keine Sorgen","2009","Realschule","Westdeutschland","234","0.0726354628231219","0.0635285665459632","0.0817423591002806"
"Keine Sorgen","2009","Realschule","Ostdeutschland","184","0.120272458523134","0.104634150254106","0.135910766792162"
"Keine Sorgen","2009","(Fach-)Abitur","Westdeutschland","167","0.0965674294493571","0.0823156423422273","0.110819216556487"
"Keine Sorgen","2009","(Fach-)Abitur","Ostdeutschland","45","0.121338320121652","0.0869334538730105","0.155743186370293"
"Keine Sorgen","2009","AkademikerIn","Westdeutschland","182","0.0759094619276091","0.0661133270169994","0.0857055968382187"
"Keine Sorgen","2009","AkademikerIn","Ostdeutschland","96","0.0880275078036838","0.0720166223657566","0.104038393241611"
"Grosse Sorgen","2010","(noch) kein Abschluss","Westdeutschland","87","0.263444408309118","0.218191691569639","0.308697125048598"
"Grosse Sorgen","2010","(noch) kein Abschluss","Ostdeutschland","","","",""
"Grosse Sorgen","2010","Hauptschule","Westdeutschland","1906","0.415454415530468","0.401133822454646","0.429775008606291"
"Grosse Sorgen","2010","Hauptschule","Ostdeutschland","349","0.374164954037962","0.34377499561969","0.404554912456234"
"Grosse Sorgen","2010","Realschule","Westdeutschland","1188","0.402511115838421","0.384720749230293","0.420301482446549"
