year,bula_h,sex,plh0034,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,male,Very concerned,0.39751,94,242,0.33573,0.45930
2009,Schleswig-Holstein,male,Somewhat concerned,0.41515,94,242,0.35294,0.47737
2009,Schleswig-Holstein,male,Not concerned at all,0.18733,54,242,0.13807,0.23660
2009,Schleswig-Holstein,female,Very concerned,0.36818,94,256,0.30898,0.42738
2009,Schleswig-Holstein,female,Somewhat concerned,0.47254,112,256,0.41126,0.53382
2009,Schleswig-Holstein,female,Not concerned at all,0.15928,50,256,0.11437,0.20420
2009,Hamburg,male,Very concerned,0.41478,54,105,0.32009,0.50947
2009,Hamburg,male,Somewhat concerned,0.42620,51,105,0.33115,0.52124
2009,Hamburg,female,Very concerned,0.45007,58,127,0.36320,0.53694
2009,Hamburg,female,Somewhat concerned,0.49874,69,127,0.41143,0.58604
2009,Lower Saxony,male,Very concerned,0.50960,397,783,0.47457,0.54464
2009,Lower Saxony,male,Somewhat concerned,0.42362,329,783,0.38898,0.45825
2009,Lower Saxony,male,Not concerned at all,0.06678,57,783,0.04928,0.08427
2009,Lower Saxony,female,Very concerned,0.49009,415,837,0.45620,0.52398
2009,Lower Saxony,female,Somewhat concerned,0.42974,360,837,0.39618,0.46329
2009,Lower Saxony,female,Not concerned at all,0.08017,62,837,0.06176,0.09858
2009,North Rhine-Westphalia,male,Very concerned,0.51373,920,1730,0.49017,0.53729
2009,North Rhine-Westphalia,male,Somewhat concerned,0.39629,674,1730,0.37324,0.41935
2009,North Rhine-Westphalia,male,Not concerned at all,0.08998,136,1730,0.07649,0.10347
2009,North Rhine-Westphalia,female,Very concerned,0.48584,903,1864,0.46315,0.50854
2009,North Rhine-Westphalia,female,Somewhat concerned,0.42585,807,1864,0.40340,0.44831
2009,North Rhine-Westphalia,female,Not concerned at all,0.08830,154,1864,0.07542,0.10119
2009,Hesse,male,Very concerned,0.50390,282,579,0.46314,0.54466
2009,Hesse,male,Somewhat concerned,0.39458,238,579,0.35473,0.43442
2009,Hesse,male,Not concerned at all,0.10152,59,579,0.07690,0.12614
2009,Hesse,female,Very concerned,0.51015,294,623,0.47087,0.54944
2009,Hesse,female,Somewhat concerned,0.39430,274,623,0.35589,0.43270
2009,Hesse,female,Not concerned at all,0.09555,55,623,0.07245,0.11865
2009,"Rhineland-Palatinate, Saarland",male,Very concerned,0.46354,217,462,0.41802,0.50906
2009,"Rhineland-Palatinate, Saarland",male,Somewhat concerned,0.41363,196,462,0.36867,0.45858
2009,"Rhineland-Palatinate, Saarland",male,Not concerned at all,0.12283,49,462,0.09287,0.15280
2009,"Rhineland-Palatinate, Saarland",female,Very concerned,0.43400,240,559,0.39287,0.47512
2009,"Rhineland-Palatinate, Saarland",female,Somewhat concerned,0.41002,250,559,0.36921,0.45083
2009,"Rhineland-Palatinate, Saarland",female,Not concerned at all,0.15598,69,559,0.12588,0.18609
2009,Baden-Wuerttemberg,male,Very concerned,0.54458,530,997,0.51365,0.57551
2009,Baden-Wuerttemberg,male,Somewhat concerned,0.38261,394,997,0.35243,0.41280
2009,Baden-Wuerttemberg,male,Not concerned at all,0.07280,73,997,0.05667,0.08894
2009,Baden-Wuerttemberg,female,Very concerned,0.49868,516,1077,0.46880,0.52856
2009,Baden-Wuerttemberg,female,Somewhat concerned,0.42268,470,1077,0.39317,0.45220
2009,Baden-Wuerttemberg,female,Not concerned at all,0.07864,91,1077,0.06255,0.09472
2009,Bavaria,male,Very concerned,0.51443,659,1224,0.48641,0.54244
2009,Bavaria,male,Somewhat concerned,0.41037,486,1224,0.38280,0.43793
2009,Bavaria,male,Not concerned at all,0.07521,79,1224,0.06043,0.08999
2009,Bavaria,female,Very concerned,0.50785,678,1358,0.48125,0.53445
2009,Bavaria,female,Somewhat concerned,0.42302,591,1358,0.39673,0.44931
2009,Bavaria,female,Not concerned at all,0.06913,89,1358,0.05564,0.08263
2009,Berlin,male,Very concerned,0.48466,161,287,0.42674,0.54258
2009,Berlin,male,Somewhat concerned,0.40103,126,287,0.34423,0.45783
2009,Berlin,female,Very concerned,0.45375,175,335,0.40036,0.50714
2009,Berlin,female,Somewhat concerned,0.47220,160,335,0.41866,0.52574
2009,Brandenburg,male,Very concerned,0.45759,176,380,0.40743,0.50774
2009,Brandenburg,male,Somewhat concerned,0.42346,157,380,0.37371,0.47320
2009,Brandenburg,male,Not concerned at all,0.11896,47,380,0.08636,0.15155
2009,Brandenburg,female,Very concerned,0.44552,186,407,0.39718,0.49387
2009,Brandenburg,female,Somewhat concerned,0.41235,176,407,0.36447,0.46023
2009,Brandenburg,female,Not concerned at all,0.14213,45,407,0.10816,0.17609
2009,Mecklenburg-Western Pomerania,male,Very concerned,0.48770,111,194,0.41718,0.55822
2009,Mecklenburg-Western Pomerania,male,Somewhat concerned,0.36067,83,194,0.29292,0.42841
2009,Mecklenburg-Western Pomerania,female,Very concerned,0.53796,139,248,0.47578,0.60014
2009,Mecklenburg-Western Pomerania,female,Somewhat concerned,0.32848,76,248,0.26990,0.38705
2009,Mecklenburg-Western Pomerania,female,Not concerned at all,0.13356,33,248,0.09114,0.17599
2009,Saxony,male,Very concerned,0.42842,312,673,0.39100,0.46583
2009,Saxony,male,Somewhat concerned,0.41878,271,673,0.38148,0.45608
2009,Saxony,male,Not concerned at all,0.15280,90,673,0.12560,0.18000
2009,Saxony,female,Very concerned,0.42681,288,689,0.38985,0.46377
2009,Saxony,female,Somewhat concerned,0.41161,299,689,0.37483,0.44838
2009,Saxony,female,Not concerned at all,0.16158,102,689,0.13408,0.18908
2009,Saxony-Anhalt,male,Very concerned,0.54203,202,367,0.49099,0.59308
2009,Saxony-Anhalt,male,Somewhat concerned,0.33892,127,367,0.29042,0.38741
2009,Saxony-Anhalt,male,Not concerned at all,0.11905,38,367,0.08587,0.15223
2009,Saxony-Anhalt,female,Very concerned,0.52296,199,399,0.47389,0.57203
2009,Saxony-Anhalt,female,Somewhat concerned,0.36621,159,399,0.31888,0.41354
2009,Saxony-Anhalt,female,Not concerned at all,0.11083,41,399,0.07999,0.14167
2009,Thuringa,male,Very concerned,0.44137,179,390,0.39202,0.49071
2009,Thuringa,male,Somewhat concerned,0.43259,164,390,0.38336,0.48182
2009,Thuringa,male,Not concerned at all,0.12604,47,390,0.09306,0.15903
2009,Thuringa,female,Very concerned,0.40175,187,430,0.35536,0.44814
2009,Thuringa,female,Somewhat concerned,0.44623,190,430,0.39919,0.49327
2009,Thuringa,female,Not concerned at all,0.15202,53,430,0.11804,0.18599
2010,Schleswig-Holstein,male,Very concerned,0.34655,79,190,0.27871,0.41440
2010,Schleswig-Holstein,male,Somewhat concerned,0.53688,111,190,0.46579,0.60797
2010,Schleswig-Holstein,female,Very concerned,0.31388,77,195,0.24858,0.37918
2010,Schleswig-Holstein,female,Somewhat concerned,0.51506,118,195,0.44474,0.58539
2010,Hamburg,male,Very concerned,0.32558,47,114,0.23918,0.41198
2010,Hamburg,male,Somewhat concerned,0.57482,67,114,0.48367,0.66597
2010,Hamburg,female,Very concerned,0.29901,38,117,0.21569,0.38232
2010,Hamburg,female,Somewhat concerned,0.57675,79,117,0.48684,0.66666
2010,Lower Saxony,male,Very concerned,0.39745,278,709,0.36140,0.43350
2010,Lower Saxony,male,Somewhat concerned,0.45682,347,709,0.42013,0.49352
2010,Lower Saxony,male,Not concerned at all,0.14572,84,709,0.11973,0.17171
2010,Lower Saxony,female,Very concerned,0.37237,296,782,0.33847,0.40628
2010,Lower Saxony,female,Somewhat concerned,0.48530,391,782,0.45025,0.52035
2010,Lower Saxony,female,Not concerned at all,0.14233,95,782,0.11783,0.16683
2010,Bremen,female,Somewhat concerned,0.48126,31,31,0.30247,0.66006
2010,North Rhine-Westphalia,male,Very concerned,0.41257,693,1611,0.38853,0.43662
2010,North Rhine-Westphalia,male,Somewhat concerned,0.45531,739,1611,0.43099,0.47964
2010,North Rhine-Westphalia,male,Not concerned at all,0.13211,179,1611,0.11557,0.14865
2010,North Rhine-Westphalia,female,Very concerned,0.37880,676,1752,0.35608,0.40152
2010,North Rhine-Westphalia,female,Somewhat concerned,0.48274,831,1752,0.45933,0.50615
2010,North Rhine-Westphalia,female,Not concerned at all,0.13846,245,1752,0.12228,0.15463
2010,Hesse,male,Very concerned,0.38537,224,538,0.34421,0.42653
2010,Hesse,male,Somewhat concerned,0.46001,240,538,0.41785,0.50216
2010,Hesse,male,Not concerned at all,0.15463,74,538,0.12405,0.18521
2010,Hesse,female,Very concerned,0.34990,196,573,0.31081,0.38899
2010,Hesse,female,Somewhat concerned,0.49651,306,573,0.45554,0.53749
2010,Hesse,female,Not concerned at all,0.15359,71,573,0.12404,0.18313
2010,"Rhineland-Palatinate, Saarland",male,Very concerned,0.38093,167,433,0.33513,0.42672
2010,"Rhineland-Palatinate, Saarland",male,Somewhat concerned,0.51054,214,433,0.46340,0.55768
2010,"Rhineland-Palatinate, Saarland",male,Not concerned at all,0.10853,52,433,0.07920,0.13787
2010,"Rhineland-Palatinate, Saarland",female,Very concerned,0.32406,181,513,0.28352,0.36460
2010,"Rhineland-Palatinate, Saarland",female,Somewhat concerned,0.54721,261,513,0.50409,0.59033
2010,"Rhineland-Palatinate, Saarland",female,Not concerned at all,0.12873,71,513,0.09972,0.15773
2010,Baden-Wuerttemberg,male,Very concerned,0.38465,370,918,0.35316,0.41614
2010,Baden-Wuerttemberg,male,Somewhat concerned,0.48919,445,918,0.45684,0.52155
2010,Baden-Wuerttemberg,male,Not concerned at all,0.12616,103,918,0.10467,0.14765
2010,Baden-Wuerttemberg,female,Very concerned,0.42083,389,1004,0.39028,0.45139
2010,Baden-Wuerttemberg,female,Somewhat concerned,0.47608,501,1004,0.44517,0.50699
2010,Baden-Wuerttemberg,female,Not concerned at all,0.10309,114,1004,0.08427,0.12190
2010,Bavaria,male,Very concerned,0.45566,492,1148,0.42684,0.48449
2010,Bavaria,male,Somewhat concerned,0.44241,549,1148,0.41366,0.47115
2010,Bavaria,male,Not concerned at all,0.10193,107,1148,0.08442,0.11944
2010,Bavaria,female,Very concerned,0.39137,485,1251,0.36432,0.41843
2010,Bavaria,female,Somewhat concerned,0.52793,660,1251,0.50026,0.55561
2010,Bavaria,female,Not concerned at all,0.08069,106,1251,0.06559,0.09579
2010,Berlin,male,Very concerned,0.40369,120,299,0.34799,0.45940
2010,Berlin,male,Somewhat concerned,0.41046,134,299,0.35460,0.46631
2010,Berlin,male,Not concerned at all,0.18585,45,299,0.14168,0.23002
2010,Berlin,female,Very concerned,0.34500,122,348,0.29498,0.39502
2010,Berlin,female,Somewhat concerned,0.53173,181,348,0.47922,0.58423
2010,Berlin,female,Not concerned at all,0.12327,45,348,0.08868,0.15786
2010,Brandenburg,male,Very concerned,0.37835,130,342,0.32687,0.42982
2010,Brandenburg,male,Somewhat concerned,0.43975,163,342,0.38707,0.49243
2010,Brandenburg,male,Not concerned at all,0.18191,49,342,0.14096,0.22285
2010,Brandenburg,female,Very concerned,0.32048,125,367,0.27267,0.36829
2010,Brandenburg,female,Somewhat concerned,0.49632,176,367,0.44509,0.54754
2010,Brandenburg,female,Not concerned at all,0.18320,66,367,0.14357,0.22283
2010,Mecklenburg-Western Pomerania,male,Very concerned,0.42272,80,172,0.34868,0.49676
2010,Mecklenburg-Western Pomerania,male,Somewhat concerned,0.44617,92,172,0.37166,0.52068
2010,Mecklenburg-Western Pomerania,female,Very concerned,0.41303,88,223,0.34826,0.47780
2010,Mecklenburg-Western Pomerania,female,Somewhat concerned,0.39960,98,223,0.33516,0.46403
2010,Mecklenburg-Western Pomerania,female,Not concerned at all,0.18737,37,223,0.13604,0.23870
2010,Saxony,male,Very concerned,0.34673,224,616,0.30911,0.38434
2010,Saxony,male,Somewhat concerned,0.48185,287,616,0.44236,0.52134
2010,Saxony,male,Not concerned at all,0.17142,105,616,0.14164,0.20121
2010,Saxony,female,Very concerned,0.35410,212,618,0.31636,0.39183
2010,Saxony,female,Somewhat concerned,0.49079,309,618,0.45134,0.53023
2010,Saxony,female,Not concerned at all,0.15512,97,618,0.12655,0.18368
2010,Saxony-Anhalt,male,Very concerned,0.43462,143,334,0.38138,0.48787
2010,Saxony-Anhalt,male,Somewhat concerned,0.38333,142,334,0.33111,0.43556
2010,Saxony-Anhalt,male,Not concerned at all,0.18204,49,334,0.14060,0.22349
2010,Saxony-Anhalt,female,Very concerned,0.29437,117,378,0.24836,0.34037
2010,Saxony-Anhalt,female,Somewhat concerned,0.56623,200,378,0.51620,0.61626
2010,Saxony-Anhalt,female,Not concerned at all,0.13940,61,378,0.10444,0.17437
2010,Thuringa,male,Very concerned,0.32700,131,357,0.27826,0.37573
2010,Thuringa,male,Somewhat concerned,0.50043,171,357,0.44849,0.55237
2010,Thuringa,male,Not concerned at all,0.17257,55,357,0.13332,0.21183
2010,Thuringa,female,Very concerned,0.30719,131,395,0.26164,0.35275
2010,Thuringa,female,Somewhat concerned,0.49593,192,395,0.44656,0.54530
2010,Thuringa,female,Not concerned at all,0.19688,72,395,0.15762,0.23614
2011,Schleswig-Holstein,male,Very concerned,0.32547,98,301,0.27245,0.37850
2011,Schleswig-Holstein,male,Somewhat concerned,0.52252,152,301,0.46599,0.57904
2011,Schleswig-Holstein,male,Not concerned at all,0.15201,51,301,0.11138,0.19264
2011,Schleswig-Holstein,female,Very concerned,0.30141,101,338,0.25242,0.35040
2011,Schleswig-Holstein,female,Somewhat concerned,0.44971,173,338,0.39660,0.50283
2011,Schleswig-Holstein,female,Not concerned at all,0.24888,64,338,0.20272,0.29504
2011,Hamburg,male,Very concerned,0.29200,43,118,0.20961,0.37439
2011,Hamburg,male,Somewhat concerned,0.49196,75,118,0.40137,0.58255
2011,Hamburg,female,Very concerned,0.29900,43,151,0.22574,0.37227
2011,Hamburg,female,Somewhat concerned,0.47028,76,151,0.39041,0.55016
2011,Hamburg,female,Not concerned at all,0.23072,32,151,0.16329,0.29814
2011,Lower Saxony,male,Very concerned,0.30488,274,887,0.27456,0.33519
2011,Lower Saxony,male,Somewhat concerned,0.54852,490,887,0.51575,0.58129
2011,Lower Saxony,male,Not concerned at all,0.14660,123,887,0.12331,0.16989
