year,plh0034,proportion,n,lower_confidence,upper_confidence
2009,Very concerned,1.0,21983,1.0,1.0
2009,Somewhat concerned,1.0,21983,1.0,1.0
2009,Not concerned at all,1.0,21983,1.0,1.0
2010,Very concerned,1.0,35837,1.0,1.0
2010,Somewhat concerned,1.0,35837,1.0,1.0
2010,Not concerned at all,1.0,35837,1.0,1.0
2011,Very concerned,1.0,41903,1.0,1.0
2011,Somewhat concerned,1.0,41903,1.0,1.0
2011,Not concerned at all,1.0,41903,1.0,1.0
2012,Very concerned,1.0,40229,1.0,1.0
2012,Somewhat concerned,1.0,40229,1.0,1.0
2012,Not concerned at all,1.0,40229,1.0,1.0
2013,Very concerned,1.0,44486,1.0,1.0
2013,Somewhat concerned,1.0,44486,1.0,1.0
2013,Not concerned at all,1.0,44486,1.0,1.0
2014,Very concerned,1.0,38694,1.0,1.0
2014,Somewhat concerned,1.0,38694,1.0,1.0
2014,Not concerned at all,1.0,38694,1.0,1.0
2019,Very concerned,1.0,42417,1.0,1.0
2019,Somewhat concerned,1.0,42417,1.0,1.0
2019,Not concerned at all,1.0,42417,1.0,1.0
