year,bula_h,pgisced97,plh0034,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,Pre-primary Level,Very concerned,0.45454545454545453,21983,0.4479631111762264,0.46112779791468267
2009,Schleswig-Holstein,Pre-primary Level,Not concerned at all,0.36363636363636365,21983,0.3572772157939459,0.3699955114787814
2009,Schleswig-Holstein,Pre-primary Level,Somewhat concerned,0.18181818181818182,21983,0.17671952056857396,0.1869168430677897
2009,Schleswig-Holstein,Primary Level,Somewhat concerned,0.6666666666666666,21983,0.6604349695838125,0.6728983637495207
2009,Schleswig-Holstein,Primary Level,Not concerned at all,0.3333333333333333,21983,0.3271016362504793,0.33956503041618735
2009,Schleswig-Holstein,Lower Secondary Level,Very concerned,0.4166666666666667,21983,0.41014940185830046,0.4231839314750329
2009,Schleswig-Holstein,Lower Secondary Level,Somewhat concerned,0.3333333333333333,21983,0.3271016362504793,0.33956503041618735
2009,Schleswig-Holstein,Lower Secondary Level,Not concerned at all,0.25,21983,0.2442758207182814,0.2557241792817186
2009,Schleswig-Holstein,Upper Secondary Level,Somewhat concerned,0.4280442804428044,21983,0.42150337088328754,0.43458519000232126
2009,Schleswig-Holstein,Upper Secondary Level,Very concerned,0.34686346863468637,21983,0.3405713940715864,0.35315554319778636
2009,Schleswig-Holstein,Upper Secondary Level,Not concerned at all,0.22509225092250923,21983,0.21957124941909498,0.23061325242592348
2009,Schleswig-Holstein,Post-secondary Non-tertiary Level,Somewhat concerned,0.41935483870967744,21983,0.41283166676488686,0.425878010654468
2009,Schleswig-Holstein,Post-secondary Non-tertiary Level,Very concerned,0.3870967741935484,21983,0.38065777573581405,0.3935357726512827
2009,Schleswig-Holstein,Post-secondary Non-tertiary Level,Not concerned at all,0.1935483870967742,21983,0.18832566969441195,0.19877110449913643
2009,Schleswig-Holstein,First Stage of Tertiary Education,Very concerned,0.4186046511627907,21983,0.41208310770399,0.42512619462159146
2009,Schleswig-Holstein,First Stage of Tertiary Education,Somewhat concerned,0.4186046511627907,21983,0.41208310770399,0.42512619462159146
2009,Schleswig-Holstein,First Stage of Tertiary Education,Not concerned at all,0.16279069767441862,21983,0.15791042142326078,0.16767097392557645
2009,Schleswig-Holstein,Second Stage of Tertiary Education,Somewhat concerned,0.4444444444444444,21983,0.43787565895442915,0.4510132299344597
2009,Schleswig-Holstein,Second Stage of Tertiary Education,Very concerned,0.43209876543209874,21983,0.4255502853553951,0.4386472455088024
2009,Schleswig-Holstein,Second Stage of Tertiary Education,Not concerned at all,0.12345679012345678,21983,0.11910811717433663,0.12780546307257692
2009,Hamburg,Pre-primary Level,Very concerned,0.375,21983,0.36860017300534065,0.38139982699465935
2009,Hamburg,Pre-primary Level,Not concerned at all,0.375,21983,0.36860017300534065,0.38139982699465935
2009,Hamburg,Pre-primary Level,Somewhat concerned,0.25,21983,0.2442758207182814,0.2557241792817186
2009,Hamburg,Primary Level,Somewhat concerned,1.0,21983,1.0,1.0
2009,Hamburg,Lower Secondary Level,Very concerned,0.5,21983,0.4933902871016202,0.5066097128983797
2009,Hamburg,Lower Secondary Level,Somewhat concerned,0.3333333333333333,21983,0.3271016362504793,0.33956503041618735
2009,Hamburg,Lower Secondary Level,Not concerned at all,0.16666666666666666,21983,0.1617400775491552,0.1715932557841781
2009,Hamburg,Upper Secondary Level,Somewhat concerned,0.5,21983,0.4933902871016202,0.5066097128983797
2009,Hamburg,Upper Secondary Level,Very concerned,0.39655172413793105,21983,0.39008502675577805,0.40301842152008405
2009,Hamburg,Upper Secondary Level,Not concerned at all,0.10344827586206896,21983,0.09942238595078806,0.10747416577334987
2009,Hamburg,Post-secondary Non-tertiary Level,Somewhat concerned,0.56,21983,0.5534380496029929,0.5665619503970072
2009,Hamburg,Post-secondary Non-tertiary Level,Very concerned,0.36,21983,0.35365467561755537,0.3663453243824446
2009,Hamburg,Post-secondary Non-tertiary Level,Not concerned at all,0.08,21983,0.07641365968235751,0.08358634031764249
2009,Hamburg,First Stage of Tertiary Education,Very concerned,0.47619047619047616,21983,0.46958826155077604,0.4827926908301763
2009,Hamburg,First Stage of Tertiary Education,Somewhat concerned,0.38095238095238093,21983,0.37453275141941245,0.3873720104853494
2009,Hamburg,First Stage of Tertiary Education,Not concerned at all,0.14285714285714285,21983,0.138231307443622,0.1474829782706637
2009,Hamburg,Second Stage of Tertiary Education,Very concerned,0.48717948717948717,21983,0.4805719474565396,0.49378702690243476
2009,Hamburg,Second Stage of Tertiary Education,Somewhat concerned,0.3974358974358974,21983,0.3909667393420164,0.4039050555297784
2009,Hamburg,Second Stage of Tertiary Education,Not concerned at all,0.11538461538461539,21983,0.11116120008548315,0.11960803068374763
2009,Lower Saxony,Pre-primary Level,Somewhat concerned,0.5357142857142857,21983,0.5291214558904734,0.542307115538098
2009,Lower Saxony,Pre-primary Level,Very concerned,0.32142857142857145,21983,0.315254770592174,0.3276023722649689
2009,Lower Saxony,Pre-primary Level,Not concerned at all,0.14285714285714285,21983,0.138231307443622,0.1474829782706637
2009,Lower Saxony,Primary Level,Very concerned,0.5384615384615384,21983,0.5318714099407198,0.5450516669823571
2009,Lower Saxony,Primary Level,Somewhat concerned,0.38461538461538464,21983,0.3781840777111775,0.39104669151959176
2009,Lower Saxony,Primary Level,Not concerned at all,0.07692307692307693,21983,0.07340050505740396,0.0804456487887499
2009,Lower Saxony,Lower Secondary Level,Very concerned,0.5027027027027027,21983,0.496093086367671,0.5093123190377343
2009,Lower Saxony,Lower Secondary Level,Somewhat concerned,0.3783783783783784,21983,0.3719671860828876,0.3847895706738692
2009,Lower Saxony,Lower Secondary Level,Not concerned at all,0.11891891891891893,21983,0.11463988227505756,0.12319795556278029
2009,Lower Saxony,Upper Secondary Level,Very concerned,0.5104651162790698,21983,0.5038568513130655,0.5170733812450741
2009,Lower Saxony,Upper Secondary Level,Somewhat concerned,0.4197674418604651,21983,0.4132433808472074,0.4262915028737228
2009,Lower Saxony,Upper Secondary Level,Not concerned at all,0.06976744186046512,21983,0.06639973129946468,0.07313515242146555
2009,Lower Saxony,Post-secondary Non-tertiary Level,Somewhat concerned,0.5257731958762887,21983,0.519172269922979,0.5323741218295983
2009,Lower Saxony,Post-secondary Non-tertiary Level,Very concerned,0.4329896907216495,21983,0.4264396070602454,0.4395397743830536
2009,Lower Saxony,Post-secondary Non-tertiary Level,Not concerned at all,0.041237113402061855,21983,0.038608587100107,0.04386563970401671
2009,Lower Saxony,First Stage of Tertiary Education,Very concerned,0.5339805825242718,21983,0.5273861514984162,0.5405750135501275
2009,Lower Saxony,First Stage of Tertiary Education,Somewhat concerned,0.4174757281553398,21983,0.41095666453069557,0.423994791779984
2009,Lower Saxony,First Stage of Tertiary Education,Not concerned at all,0.04854368932038835,21983,0.04570267510542306,0.05138470353535364
2009,Lower Saxony,Second Stage of Tertiary Education,Very concerned,0.5196078431372549,21983,0.5130032146341648,0.5262124716403451
2009,Lower Saxony,Second Stage of Tertiary Education,Somewhat concerned,0.41830065359477125,21983,0.41177977445525477,0.42482153273428774
2009,Lower Saxony,Second Stage of Tertiary Education,Not concerned at all,0.06209150326797386,21983,0.05890136935611392,0.0652816371798338
2009,Bremen,Pre-primary Level,Not concerned at all,1.0,21983,1.0,1.0
2009,Bremen,Lower Secondary Level,Not concerned at all,0.4166666666666667,21983,0.41014940185830046,0.4231839314750329
2009,Bremen,Lower Secondary Level,Very concerned,0.4166666666666667,21983,0.41014940185830046,0.4231839314750329
2009,Bremen,Lower Secondary Level,Somewhat concerned,0.16666666666666666,21983,0.1617400775491552,0.1715932557841781
2009,Bremen,Upper Secondary Level,Very concerned,0.5084745762711864,21983,0.5018658128395785,0.5150833397027943
2009,Bremen,Upper Secondary Level,Somewhat concerned,0.3898305084745763,21983,0.3833832401061499,0.3962777768430027
2009,Bremen,Upper Secondary Level,Not concerned at all,0.1016949152542373,21983,0.09769938761048982,0.10569044289798477
2009,Bremen,Post-secondary Non-tertiary Level,Very concerned,0.5,21983,0.4933902871016202,0.5066097128983797
2009,Bremen,Post-secondary Non-tertiary Level,Not concerned at all,0.3,21983,0.2939420980642497,0.3060579019357503
2009,Bremen,Post-secondary Non-tertiary Level,Somewhat concerned,0.2,21983,0.19471222968129617,0.20528777031870385
2009,Bremen,First Stage of Tertiary Education,Somewhat concerned,0.5,21983,0.4933902871016202,0.5066097128983797
2009,Bremen,First Stage of Tertiary Education,Very concerned,0.5,21983,0.4933902871016202,0.5066097128983797
2009,Bremen,Second Stage of Tertiary Education,Somewhat concerned,0.5,21983,0.4933902871016202,0.5066097128983797
2009,Bremen,Second Stage of Tertiary Education,Very concerned,0.35714285714285715,21983,0.3508086711346281,0.3634770431510862
2009,Bremen,Second Stage of Tertiary Education,Not concerned at all,0.14285714285714285,21983,0.138231307443622,0.1474829782706637
2009,North Rhine-Westphalia,Pre-primary Level,Somewhat concerned,0.6197183098591549,21983,0.6133008603120496,0.6261357594062602
2009,North Rhine-Westphalia,Pre-primary Level,Very concerned,0.19718309859154928,21983,0.1919234626026265,0.20244273458047207
2009,North Rhine-Westphalia,Pre-primary Level,Not concerned at all,0.18309859154929578,21983,0.17798601391724334,0.18821116918134823
2009,North Rhine-Westphalia,Primary Level,Somewhat concerned,0.4528301886792453,21983,0.4462499546223614,0.4594104227361292
2009,North Rhine-Westphalia,Primary Level,Very concerned,0.3018867924528302,21983,0.29581806581821984,0.3079555190874405
2009,North Rhine-Westphalia,Primary Level,Not concerned at all,0.24528301886792453,21983,0.23959529644249553,0.25097074129335356
2009,North Rhine-Westphalia,Lower Secondary Level,Very concerned,0.43358395989974935,21983,0.4270328185978071,0.4401351012016916
2009,North Rhine-Westphalia,Lower Secondary Level,Somewhat concerned,0.42606516290726815,21983,0.41952811154045583,0.43260221427408047
2009,North Rhine-Westphalia,Lower Secondary Level,Not concerned at all,0.14035087719298245,21983,0.13575910039508998,0.14494265399087491
2009,North Rhine-Westphalia,Upper Secondary Level,Very concerned,0.5192639447958597,21983,0.512659139442561,0.5258687501491583
2009,North Rhine-Westphalia,Upper Secondary Level,Somewhat concerned,0.4151811385853939,21983,0.40866722362310987,0.42169505354767794
2009,North Rhine-Westphalia,Upper Secondary Level,Not concerned at all,0.0655549166187464,21983,0.06228307616566191,0.0688267570718309
2009,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Very concerned,0.4963235294117647,21983,0.48971399519532266,0.5029330636282068
2009,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Somewhat concerned,0.43014705882352944,21983,0.42360216708187465,0.43669195056518423
2009,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Not concerned at all,0.07352941176470588,21983,0.07007909510145316,0.07697972842795861
2009,North Rhine-Westphalia,First Stage of Tertiary Education,Very concerned,0.5098814229249012,21983,0.5032730009306157,0.5164898449191868
2009,North Rhine-Westphalia,First Stage of Tertiary Education,Somewhat concerned,0.4189723320158103,21983,0.41244998847087866,0.42549467556074194
2009,North Rhine-Westphalia,First Stage of Tertiary Education,Not concerned at all,0.07114624505928854,21983,0.0677479408462207,0.07454454927235639
2009,North Rhine-Westphalia,Second Stage of Tertiary Education,Very concerned,0.5813008130081301,21983,0.574779063480797,0.5878225625354632
2009,North Rhine-Westphalia,Second Stage of Tertiary Education,Somewhat concerned,0.3604336043360434,21983,0.35408661092864774,0.366780597743439
2009,North Rhine-Westphalia,Second Stage of Tertiary Education,Not concerned at all,0.058265582655826556,21983,0.055168998697186805,0.06136216661446631
2009,Hesse,Pre-primary Level,Somewhat concerned,0.47368421052631576,21983,0.4670836587035768,0.4802847623490547
2009,Hesse,Pre-primary Level,Very concerned,0.3157894736842105,21983,0.30964469434593966,0.32193425302248135
2009,Hesse,Pre-primary Level,Not concerned at all,0.21052631578947367,21983,0.20513698779397108,0.21591564378497627
2009,Hesse,Primary Level,Somewhat concerned,0.3333333333333333,21983,0.3271016362504793,0.33956503041618735
2009,Hesse,Primary Level,Very concerned,0.3333333333333333,21983,0.3271016362504793,0.33956503041618735
2009,Hesse,Primary Level,Not concerned at all,0.3333333333333333,21983,0.3271016362504793,0.33956503041618735
2009,Hesse,Lower Secondary Level,Somewhat concerned,0.4491525423728814,21983,0.4425770966501035,0.4557279880956593
2009,Hesse,Lower Secondary Level,Very concerned,0.4152542372881356,21983,0.4087401560640503,0.4217683185122209
2009,Hesse,Lower Secondary Level,Not concerned at all,0.13559322033898305,21983,0.13106746928418017,0.14011897139378593
