year,pgisced97,sampreg,plh0034,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No answer / don't know,West,Very concerned,0.35096,75,241,0.29058,0.41135
2009,No answer / don't know,West,Somewhat concerned,0.44339,114,241,0.38054,0.50624
2009,No answer / don't know,West,Not concerned at all,0.20565,52,241,0.15451,0.25678
2009,No answer / don't know,East,Somewhat concerned,0.56644,46,46,0.42164,0.71123
2009,Pre-primary Level,West,Very concerned,0.23241,64,249,0.17984,0.28498
2009,Pre-primary Level,West,Somewhat concerned,0.55262,126,249,0.49074,0.61451
2009,Pre-primary Level,West,Not concerned at all,0.21497,59,249,0.16384,0.26610
2009,Pre-primary Level,East,Somewhat concerned,0.55194,31,31,0.37398,0.72989
2009,Primary Level,West,Very concerned,0.42470,60,117,0.33475,0.51466
2009,Primary Level,West,Somewhat concerned,0.39732,57,117,0.30827,0.48637
2009,Lower Secondary Level,West,Very concerned,0.46442,658,1485,0.43904,0.48979
2009,Lower Secondary Level,West,Somewhat concerned,0.40625,632,1485,0.38126,0.43124
2009,Lower Secondary Level,West,Not concerned at all,0.12933,195,1485,0.11226,0.14641
2009,Lower Secondary Level,East,Very concerned,0.43828,102,262,0.37809,0.49848
2009,Lower Secondary Level,East,Somewhat concerned,0.31160,99,262,0.25541,0.36779
2009,Lower Secondary Level,East,Not concerned at all,0.25011,61,262,0.19757,0.30265
2009,Upper Secondary Level,West,Very concerned,0.49887,3347,6614,0.48682,0.51092
2009,Upper Secondary Level,West,Somewhat concerned,0.41879,2746,6614,0.40690,0.43068
2009,Upper Secondary Level,West,Not concerned at all,0.08234,521,6614,0.07571,0.08896
2009,Upper Secondary Level,East,Very concerned,0.44402,1064,2384,0.42408,0.46397
2009,Upper Secondary Level,East,Somewhat concerned,0.41312,1010,2384,0.39335,0.43289
2009,Upper Secondary Level,East,Not concerned at all,0.14286,310,2384,0.12881,0.15691
2009,Post-secondary Non-tertiary Level,West,Very concerned,0.49194,407,842,0.45815,0.52573
2009,Post-secondary Non-tertiary Level,West,Somewhat concerned,0.44431,375,842,0.41072,0.47789
2009,Post-secondary Non-tertiary Level,West,Not concerned at all,0.06376,60,842,0.04724,0.08027
