"plh0034","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","2009","(noch) kein Abschluss","maennlich","69","0.283326572639747","0.226197990489668","0.340455154789826"
"Grosse Sorgen","2009","(noch) kein Abschluss","weiblich","68","0.318733476286688","0.258771427590981","0.378695524982395"
"Grosse Sorgen","2009","Hauptschule","maennlich","1561","","",""
"Grosse Sorgen","2009","Hauptschule","weiblich","1604","","",""
"Grosse Sorgen","2009","Realschule","maennlich","980","0.494279208396597","0.472438446748989","0.516119970044206"
"Grosse Sorgen","2009","Realschule","weiblich","1294","","",""
"Grosse Sorgen","2009","(Fach-)Abitur","maennlich","409","0.471644058776943","0.438736744400545","0.50455137315334"
"Grosse Sorgen","2009","(Fach-)Abitur","weiblich","470","0.429684789250654","0.400589132488113","0.458780446013195"
"Grosse Sorgen","2009","AkademikerIn","maennlich","1220","","",""
"Grosse Sorgen","2009","AkademikerIn","weiblich","904","0.492622768330831","0.469748206476407","0.515497330185255"
"Einige Sorgen","2009","(noch) kein Abschluss","maennlich","123","","",""
"Einige Sorgen","2009","(noch) kein Abschluss","weiblich","103","","",""
"Einige Sorgen","2009","Hauptschule","maennlich","1134","","",""
"Einige Sorgen","2009","Hauptschule","weiblich","1239","","",""
"Einige Sorgen","2009","Realschule","maennlich","849","0.414872033525624","0.3933487408364","0.436395326214848"
"Einige Sorgen","2009","Realschule","weiblich","1241","","",""
"Einige Sorgen","2009","(Fach-)Abitur","maennlich","379","0.421644876225532","0.389091752724915","0.454197999726149"
"Einige Sorgen","2009","(Fach-)Abitur","weiblich","526","0.476746498264551","0.447390589788713","0.506102406740389"
"Einige Sorgen","2009","AkademikerIn","maennlich","809","0.371453351604499","0.351151317937345","0.391755385271653"
"Einige Sorgen","2009","AkademikerIn","weiblich","800","0.425265979489613","0.40264591545422","0.447886043525005"
"Keine Sorgen","2009","(noch) kein Abschluss","maennlich","47","0.170141384489748","0.12250309323052","0.217779675748977"
"Keine Sorgen","2009","(noch) kein Abschluss","weiblich","61","0.219575390237577","0.166308001408961","0.272842779066193"
"Keine Sorgen","2009","Hauptschule","maennlich","291","","",""
"Keine Sorgen","2009","Hauptschule","weiblich","304","0.104013747990299","0.0933478907751179","0.11467960520548"
"Keine Sorgen","2009","Realschule","maennlich","184","","",""
"Keine Sorgen","2009","Realschule","weiblich","234","","",""
"Keine Sorgen","2009","(Fach-)Abitur","maennlich","96","0.106711064997525","0.0863583353898897","0.127063794605161"
"Keine Sorgen","2009","(Fach-)Abitur","weiblich","116","","",""
"Keine Sorgen","2009","AkademikerIn","maennlich","147","","",""
"Keine Sorgen","2009","AkademikerIn","weiblich","131","","",""
"Grosse Sorgen","2010","(noch) kein Abschluss","maennlich","57","0.28457340267753","0.224260732598332","0.344886072756728"
"Grosse Sorgen","2010","(noch) kein Abschluss","weiblich","41","0.22909210427692","0.169802883290912","0.288381325262927"
"Grosse Sorgen","2010","Hauptschule","maennlich","1124","","",""
"Grosse Sorgen","2010","Hauptschule","weiblich","1131","","",""
"Grosse Sorgen","2010","Realschule","maennlich","735","0.385927967764172","0.363898984181406","0.407956951346938"
"Grosse Sorgen","2010","Realschule","weiblich","987","0.392354234151559","0.373491344261193","0.411217124041925"
"Grosse Sorgen","2010","(Fach-)Abitur","maennlich","311","0.364306126898178","0.331935471212879","0.396676782583477"
"Grosse Sorgen","2010","(Fach-)Abitur","weiblich","319","0.312222091097969","0.28411254926741","0.340331632928528"
"Grosse Sorgen","2010","AkademikerIn","maennlich","912","0.422833327357836","0.401495256847597","0.444171397868074"
"Grosse Sorgen","2010","AkademikerIn","weiblich","631","0.343064267681672","0.32087270726727","0.365255828096075"
"Einige Sorgen","2010","(noch) kein Abschluss","maennlich","95","0.483643378729596","0.416844932678391","0.550441824780801"
"Einige Sorgen","2010","(noch) kein Abschluss","weiblich","99","0.528972657563989","0.458550535529903","0.599394779598075"
"Einige Sorgen","2010","Hauptschule","maennlich","1234","","",""
"Einige Sorgen","2010","Hauptschule","weiblich","1357","","",""
"Einige Sorgen","2010","Realschule","maennlich","891","0.47259639389253","0.450004719336194","0.495188068448867"
"Einige Sorgen","2010","Realschule","weiblich","1289","","",""
"Einige Sorgen","2010","(Fach-)Abitur","maennlich","424","0.488132888276062","0.454509467634076","0.521756308918048"
"Einige Sorgen","2010","(Fach-)Abitur","weiblich","575","0.550175726631629","0.51999914804099","0.580352305222267"
"Einige Sorgen","2010","AkademikerIn","maennlich","983","0.46180304294092","0.440269329379749","0.483336756502091"
"Einige Sorgen","2010","AkademikerIn","weiblich","914","0.52129906613198","0.497947593905519","0.544650538358441"
"Keine Sorgen","2010","(noch) kein Abschluss","maennlich","63","0.231783218592874","0.175378978745684","0.288187458440064"
"Keine Sorgen","2010","(noch) kein Abschluss","weiblich","53","0.241935238159092","0.181516429809091","0.302354046509092"
"Keine Sorgen","2010","Hauptschule","maennlich","317","0.12523634820051","0.112693482851867","0.137779213549152"
"Keine Sorgen","2010","Hauptschule","weiblich","360","0.11915013743592","0.107252072966581","0.131048201905259"
"Keine Sorgen","2010","Realschule","maennlich","250","","",""
"Keine Sorgen","2010","Realschule","weiblich","298","","",""
"Keine Sorgen","2010","(Fach-)Abitur","maennlich","114","","",""
"Keine Sorgen","2010","(Fach-)Abitur","weiblich","150","","",""
"Keine Sorgen","2010","AkademikerIn","maennlich","164","","",""
"Keine Sorgen","2010","AkademikerIn","weiblich","213","","",""
"Grosse Sorgen","2011","(noch) kein Abschluss","maennlich","57","0.206992180082229","0.157839914384358","0.256144445780099"
"Grosse Sorgen","2011","(noch) kein Abschluss","weiblich","49","0.172648024576196","0.128220547247392","0.217075501905001"
"Grosse Sorgen","2011","Hauptschule","maennlich","1128","","",""
"Grosse Sorgen","2011","Hauptschule","weiblich","1104","","",""
"Grosse Sorgen","2011","Realschule","maennlich","732","0.337130454172816","0.317700763478729","0.356560144866903"
"Grosse Sorgen","2011","Realschule","weiblich","961","0.307670711157528","0.291616992182455","0.323724430132602"
"Grosse Sorgen","2011","(Fach-)Abitur","maennlich","328","0.32881273523514","0.300438113925619","0.357187356544662"
"Grosse Sorgen","2011","(Fach-)Abitur","weiblich","318","0.233939875237176","0.21140776840661","0.256471982067742"
"Grosse Sorgen","2011","AkademikerIn","maennlich","891","0.358603581114649","0.339628598426419","0.377578563802879"
"Grosse Sorgen","2011","AkademikerIn","weiblich","619","0.294638697481268","0.275173154122402","0.314104240840135"
"Einige Sorgen","2011","(noch) kein Abschluss","maennlich","122","","",""
"Einige Sorgen","2011","(noch) kein Abschluss","weiblich","135","","",""
"Einige Sorgen","2011","Hauptschule","maennlich","1647","","",""
"Einige Sorgen","2011","Hauptschule","weiblich","1827","","",""
"Einige Sorgen","2011","Realschule","maennlich","1165","","",""
"Einige Sorgen","2011","Realschule","weiblich","1726","","",""
