year,quintil_oecd,plh0034,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,Very concerned,0.43015,1208,17854,0.42988,0.43042
2009,1st Quintile,Somewhat concerned,0.42001,1203,17854,0.41974,0.42028
2009,1st Quintile,Not concerned at all,0.14984,430,17854,0.14965,0.15004
2009,2nd Quintile,Very concerned,0.46463,1445,17854,0.46436,0.46490
2009,2nd Quintile,Somewhat concerned,0.41595,1306,17854,0.41568,0.41622
2009,2nd Quintile,Not concerned at all,0.11942,373,17854,0.11924,0.11960
2009,3rd Quintile,Very concerned,0.48070,1626,17854,0.48043,0.48097
2009,3rd Quintile,Somewhat concerned,0.42294,1465,17854,0.42268,0.42321
2009,3rd Quintile,Not concerned at all,0.09635,312,17854,0.09620,0.09651
2009,4th Quintile,Very concerned,0.52028,1902,17854,0.52002,0.52055
2009,4th Quintile,Somewhat concerned,0.40489,1522,17854,0.40463,0.40515
2009,4th Quintile,Not concerned at all,0.07482,285,17854,0.07469,0.07496
2009,5th Quintile,Very concerned,0.53956,2533,17854,0.53930,0.53981
2009,5th Quintile,Somewhat concerned,0.39654,1931,17854,0.39629,0.39680
2009,5th Quintile,Not concerned at all,0.06390,313,17854,0.06377,0.06402
2010,1st Quintile,Very concerned,0.35001,857,16510,0.34973,0.35030
2010,1st Quintile,Somewhat concerned,0.44735,1219,16510,0.44705,0.44764
2010,1st Quintile,Not concerned at all,0.20264,532,16510,0.20240,0.20288
2010,2nd Quintile,Very concerned,0.37132,1112,16510,0.37104,0.37160
2010,2nd Quintile,Somewhat concerned,0.48371,1439,16510,0.48342,0.48400
2010,2nd Quintile,Not concerned at all,0.14497,412,16510,0.14477,0.14518
2010,3rd Quintile,Very concerned,0.39696,1204,16510,0.39669,0.39724
2010,3rd Quintile,Somewhat concerned,0.47448,1537,16510,0.47420,0.47476
2010,3rd Quintile,Not concerned at all,0.12856,412,16510,0.12837,0.12875
2010,4th Quintile,Very concerned,0.38255,1358,16510,0.38229,0.38282
2010,4th Quintile,Somewhat concerned,0.51193,1702,16510,0.51165,0.51220
2010,4th Quintile,Not concerned at all,0.10552,361,16510,0.10536,0.10569
2010,5th Quintile,Very concerned,0.40529,1814,16510,0.40503,0.40556
2010,5th Quintile,Somewhat concerned,0.49027,2159,16510,0.49000,0.49053
2010,5th Quintile,Not concerned at all,0.10444,392,16510,0.10428,0.10460
2011,1st Quintile,Very concerned,0.28271,641,15520,0.28239,0.28303
2011,1st Quintile,Somewhat concerned,0.50233,1248,15520,0.50198,0.50268
2011,1st Quintile,Not concerned at all,0.21496,520,15520,0.21468,0.21525
2011,2nd Quintile,Very concerned,0.28660,761,15520,0.28630,0.28691
2011,2nd Quintile,Somewhat concerned,0.53092,1433,15520,0.53058,0.53125
2011,2nd Quintile,Not concerned at all,0.18248,530,15520,0.18222,0.18274
2011,3rd Quintile,Very concerned,0.32170,958,15520,0.32140,0.32199
2011,3rd Quintile,Somewhat concerned,0.53243,1610,15520,0.53211,0.53275
2011,3rd Quintile,Not concerned at all,0.14587,487,15520,0.14565,0.14610
2011,4th Quintile,Very concerned,0.31012,985,15520,0.30983,0.31041
2011,4th Quintile,Somewhat concerned,0.54265,1763,15520,0.54233,0.54296
2011,4th Quintile,Not concerned at all,0.14724,451,15520,0.14701,0.14746
2011,5th Quintile,Very concerned,0.31250,1320,15520,0.31222,0.31278
2011,5th Quintile,Somewhat concerned,0.55209,2280,15520,0.55179,0.55239
2011,5th Quintile,Not concerned at all,0.13541,533,15520,0.13520,0.13562
2012,1st Quintile,Very concerned,0.32823,1003,17889,0.32793,0.32853
2012,1st Quintile,Somewhat concerned,0.47035,1356,17889,0.47004,0.47067
2012,1st Quintile,Not concerned at all,0.20141,633,17889,0.20116,0.20167
2012,2nd Quintile,Very concerned,0.35588,1159,17889,0.35559,0.35617
2012,2nd Quintile,Somewhat concerned,0.47933,1503,17889,0.47902,0.47963
2012,2nd Quintile,Not concerned at all,0.16479,498,17889,0.16457,0.16502
2012,3rd Quintile,Very concerned,0.39120,1361,17889,0.39091,0.39149
2012,3rd Quintile,Somewhat concerned,0.48904,1649,17889,0.48875,0.48934
2012,3rd Quintile,Not concerned at all,0.11976,467,17889,0.11957,0.11995
2012,4th Quintile,Very concerned,0.39893,1524,17889,0.39864,0.39921
2012,4th Quintile,Somewhat concerned,0.48573,1795,17889,0.48544,0.48602
2012,4th Quintile,Not concerned at all,0.11534,432,17889,0.11515,0.11553
2012,5th Quintile,Very concerned,0.40086,1825,17889,0.40058,0.40113
2012,5th Quintile,Somewhat concerned,0.49688,2248,17889,0.49660,0.49716
2012,5th Quintile,Not concerned at all,0.10226,436,17889,0.10209,0.10243
2013,1st Quintile,Very concerned,0.29187,847,18716,0.29157,0.29216
2013,1st Quintile,Somewhat concerned,0.47300,1488,18716,0.47268,0.47332
2013,1st Quintile,Not concerned at all,0.23513,724,18716,0.23486,0.23541
2013,2nd Quintile,Very concerned,0.30792,1051,18716,0.30763,0.30820
2013,2nd Quintile,Somewhat concerned,0.48499,1674,18716,0.48469,0.48530
2013,2nd Quintile,Not concerned at all,0.20709,679,18716,0.20684,0.20734
2013,3rd Quintile,Very concerned,0.30681,1072,18716,0.30654,0.30709
2013,3rd Quintile,Somewhat concerned,0.52004,1854,18716,0.51974,0.52033
2013,3rd Quintile,Not concerned at all,0.17315,636,18716,0.17293,0.17337
2013,4th Quintile,Very concerned,0.33145,1309,18716,0.33119,0.33171
2013,4th Quintile,Somewhat concerned,0.52436,2037,18716,0.52408,0.52464
2013,4th Quintile,Not concerned at all,0.14419,573,18716,0.14400,0.14439
2013,5th Quintile,Very concerned,0.32574,1557,18716,0.32549,0.32600
2013,5th Quintile,Somewhat concerned,0.54872,2629,18716,0.54845,0.54899
2013,5th Quintile,Not concerned at all,0.12554,586,18716,0.12536,0.12572
2014,1st Quintile,Very concerned,0.19730,1107,26687,0.19708,0.19752
2014,1st Quintile,Somewhat concerned,0.47959,2721,26687,0.47931,0.47987
2014,1st Quintile,Not concerned at all,0.32311,1817,26687,0.32285,0.32337
2014,2nd Quintile,Very concerned,0.23468,1164,26687,0.23445,0.23491
2014,2nd Quintile,Somewhat concerned,0.52711,2823,26687,0.52683,0.52738
2014,2nd Quintile,Not concerned at all,0.23821,1426,26687,0.23798,0.23844
2014,3rd Quintile,Very concerned,0.22061,1077,26687,0.22039,0.22083
2014,3rd Quintile,Somewhat concerned,0.55190,2757,26687,0.55164,0.55217
2014,3rd Quintile,Not concerned at all,0.22749,1282,26687,0.22726,0.22771
2014,4th Quintile,Very concerned,0.22668,1131,26687,0.22645,0.22690
2014,4th Quintile,Somewhat concerned,0.55432,2856,26687,0.55406,0.55458
2014,4th Quintile,Not concerned at all,0.21900,1135,26687,0.21878,0.21922
2014,5th Quintile,Very concerned,0.22385,1252,26687,0.22363,0.22406
2014,5th Quintile,Somewhat concerned,0.57014,3097,26687,0.56988,0.57040
2014,5th Quintile,Not concerned at all,0.20601,1042,26687,0.20580,0.20622
2019,1st Quintile,Very concerned,0.20525,782,22318,0.20502,0.20548
2019,1st Quintile,Somewhat concerned,0.47879,2083,22318,0.47850,0.47907
2019,1st Quintile,Not concerned at all,0.31597,1389,22318,0.31570,0.31623
2019,2nd Quintile,Very concerned,0.20959,932,22318,0.20937,0.20981
2019,2nd Quintile,Somewhat concerned,0.52430,2398,22318,0.52403,0.52458
2019,2nd Quintile,Not concerned at all,0.26611,1330,22318,0.26587,0.26635
2019,3rd Quintile,Very concerned,0.20908,866,22318,0.20886,0.20930
2019,3rd Quintile,Somewhat concerned,0.53999,2407,22318,0.53972,0.54026
