year,regtyp,rentown,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Urban regions,Owner,Yes,0.01542,47,3142,0.01112,0.01973
2001,Urban regions,Owner,No,0.98458,3095,3142,0.98027,0.98888
2001,Urban regions,Tenant,No,0.99597,4623,4623,0.99415,0.99780
2001,Rural regions,Owner,Yes,0.02380,51,2125,0.01732,0.03028
2001,Rural regions,Owner,No,0.97620,2074,2125,0.96972,0.98268
2001,Rural regions,Tenant,No,0.99023,1754,1754,0.98563,0.99484
2006,Urban regions,Owner,Yes,0.01300,53,3709,0.00936,0.01665
2006,Urban regions,Owner,No,0.98700,3656,3709,0.98335,0.99064
2006,Urban regions,Tenant,No,0.99664,4441,4441,0.99494,0.99834
2006,Rural regions,Owner,Yes,0.03238,66,2294,0.02514,0.03963
2006,Rural regions,Owner,No,0.96762,2228,2294,0.96037,0.97486
2006,Rural regions,Tenant,No,0.99069,1784,1784,0.98623,0.99515
2011,Urban regions,Owner,Yes,0.00814,40,3595,0.00520,0.01108
2011,Urban regions,Owner,No,0.93437,3555,3595,0.92627,0.94247
2011,Urban regions,Tenant,No,0.90495,4248,4248,0.89613,0.91377
2011,Rural regions,Owner,Yes,0.02605,52,2349,0.01961,0.03250
2011,Rural regions,Owner,No,0.90678,2297,2349,0.89502,0.91854
2011,Rural regions,Tenant,No,0.90344,1850,1850,0.88998,0.91690
2016,Urban regions,Owner,Yes,0.01222,58,3771,0.00871,0.01572
2016,Urban regions,Owner,No,0.98778,3713,3771,0.98428,0.99129
2016,Urban regions,Tenant,No,0.99458,5580,5580,0.99265,0.99650
2016,Rural regions,Owner,Yes,0.02747,62,2531,0.02110,0.03383
2016,Rural regions,Owner,No,0.97253,2469,2531,0.96617,0.97890
2016,Rural regions,Tenant,No,0.99577,2377,2377,0.99316,0.99838
2021,Urban regions,Owner,Yes,0.01475,54,3126,0.01052,0.01897
2021,Urban regions,Owner,No,0.98513,3072,3126,0.98089,0.98937
2021,Urban regions,Tenant,No,0.97204,4256,4256,0.96709,0.97700
2021,Rural regions,Owner,Yes,0.03026,56,1954,0.02266,0.03786
2021,Rural regions,Owner,No,0.96716,1898,1954,0.95926,0.97507
2021,Rural regions,Tenant,No,0.97950,1679,1679,0.97272,0.98628
