year,hhtyp,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Single-person household,Yes,0.00974,43,3020,0.00624,0.01324
2007,Single-person household,No,0.99026,2977,3020,0.98676,0.99376
2007,Couple without children,Yes,0.03919,176,3760,0.03298,0.04539
2007,Couple without children,No,0.96081,3584,3760,0.95461,0.96702
2007,Single parent,No,0.97923,677,677,0.96848,0.98998
2007,Couple with children,Yes,0.07341,280,3439,0.06470,0.08213
2007,Couple with children,No,0.92659,3159,3439,0.91787,0.93530
2007,Multi-generational household,No,0.94667,84,84,0.89833,0.99501
2007,Other Combinations,No,0.91126,83,83,0.84971,0.97281
2008,Single-person household,Yes,0.01606,54,2954,0.01153,0.02060
2008,Single-person household,No,0.98394,2900,2954,0.97940,0.98847
2008,Couple without children,Yes,0.05059,204,3698,0.04353,0.05766
2008,Couple without children,No,0.94941,3494,3698,0.94234,0.95647
2008,Single parent,No,0.98361,655,655,0.97388,0.99334
2008,Couple with children,Yes,0.08078,288,3218,0.07136,0.09019
2008,Couple with children,No,0.91922,2930,3218,0.90981,0.92864
2008,Multi-generational household,No,0.93788,72,72,0.88174,0.99403
2008,Other Combinations,No,0.90636,68,68,0.83661,0.97612
2009,Single-person household,Yes,0.01696,61,2835,0.01221,0.02172
2009,Single-person household,No,0.98304,2774,2835,0.97828,0.98779
2009,Couple without children,Yes,0.06334,239,3533,0.05531,0.07138
2009,Couple without children,No,0.93666,3294,3533,0.92862,0.94469
2009,Single parent,No,0.97563,612,612,0.96340,0.98786
2009,Couple with children,Yes,0.09115,307,2993,0.08084,0.10146
2009,Couple with children,No,0.90885,2686,2993,0.89854,0.91916
2009,Multi-generational household,No,0.95984,62,62,0.91058,1.00911
2009,Other Combinations,No,0.90357,64,64,0.83068,0.97646
2010,Single-person household,Yes,0.02230,73,2682,0.01671,0.02789
2010,Single-person household,No,0.97770,2609,2682,0.97211,0.98329
2010,Couple without children,Yes,0.07084,257,3358,0.06216,0.07952
2010,Couple without children,No,0.92916,3101,3358,0.92048,0.93784
2010,Single parent,Yes,0.02765,53,1843,0.02016,0.03513
2010,Single parent,No,0.97235,1790,1843,0.96487,0.97984
2010,Couple with children,Yes,0.10687,631,5700,0.09885,0.11490
2010,Couple with children,No,0.89313,5069,5700,0.88510,0.90115
2010,Multi-generational household,No,0.95539,95,95,0.91365,0.99712
2010,Other Combinations,No,0.96117,62,62,0.91268,1.00965
2011,Single-person household,Yes,0.03083,128,3526,0.02513,0.03654
2011,Single-person household,No,0.96917,3398,3526,0.96346,0.97487
