year,quintil_oecd_hh,regtyp,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,1st Quintile,Urban regions,No,0.99158,1193,1193,0.98639,0.99676
2007,1st Quintile,Rural regions,No,0.98675,691,691,0.97822,0.99528
2007,2nd Quintile,Urban regions,No,0.98357,1229,1229,0.97646,0.99068
2007,2nd Quintile,Rural regions,No,0.96400,756,756,0.95071,0.97729
2007,3rd Quintile,Urban regions,Yes,0.03331,56,1338,0.02369,0.04293
2007,3rd Quintile,Urban regions,No,0.96669,1282,1338,0.95707,0.97631
2007,3rd Quintile,Rural regions,Yes,0.05540,53,807,0.03960,0.07119
2007,3rd Quintile,Rural regions,No,0.94460,754,807,0.92881,0.96040
2007,4th Quintile,Urban regions,Yes,0.03996,74,1502,0.03005,0.04986
2007,4th Quintile,Urban regions,No,0.96004,1428,1502,0.95014,0.96995
2007,4th Quintile,Rural regions,Yes,0.06434,56,754,0.04681,0.08186
2007,4th Quintile,Rural regions,No,0.93566,698,754,0.91814,0.95319
2007,5th Quintile,Urban regions,Yes,0.04326,128,2068,0.03449,0.05203
2007,5th Quintile,Urban regions,No,0.95674,1940,2068,0.94797,0.96551
2007,5th Quintile,Rural regions,Yes,0.08954,77,667,0.06785,0.11122
2007,5th Quintile,Rural regions,No,0.91046,590,667,0.88878,0.93215
2008,1st Quintile,Urban regions,No,0.98876,1152,1152,0.98267,0.99485
2008,1st Quintile,Rural regions,No,0.98480,666,666,0.97551,0.99410
2008,2nd Quintile,Urban regions,Yes,0.02348,45,1197,0.01490,0.03206
2008,2nd Quintile,Urban regions,No,0.97652,1152,1197,0.96794,0.98510
2008,2nd Quintile,Rural regions,Yes,0.03746,31,746,0.02383,0.05110
2008,2nd Quintile,Rural regions,No,0.96254,715,746,0.94890,0.97617
2008,3rd Quintile,Urban regions,Yes,0.04418,60,1318,0.03308,0.05528
2008,3rd Quintile,Urban regions,No,0.95582,1258,1318,0.94472,0.96692
2008,3rd Quintile,Rural regions,Yes,0.04860,47,827,0.03394,0.06326
2008,3rd Quintile,Rural regions,No,0.95140,780,827,0.93674,0.96606
2008,4th Quintile,Urban regions,Yes,0.04940,80,1411,0.03809,0.06071
2008,4th Quintile,Urban regions,No,0.95060,1331,1411,0.93929,0.96191
2008,4th Quintile,Rural regions,Yes,0.06857,51,678,0.04953,0.08761
2008,4th Quintile,Rural regions,No,0.93143,627,678,0.91239,0.95047
2008,5th Quintile,Urban regions,Yes,0.05668,144,2003,0.04655,0.06681
2008,5th Quintile,Urban regions,No,0.94332,1859,2003,0.93319,0.95345
2008,5th Quintile,Rural regions,Yes,0.10790,82,659,0.08419,0.13160
2008,5th Quintile,Rural regions,No,0.89210,577,659,0.86840,0.91581
2009,1st Quintile,Urban regions,No,0.99088,1122,1122,0.98531,0.99644
2009,1st Quintile,Rural regions,No,0.97336,635,635,0.96083,0.98590
2009,2nd Quintile,Urban regions,Yes,0.02679,34,1137,0.01740,0.03617
2009,2nd Quintile,Urban regions,No,0.97321,1103,1137,0.96383,0.98260
2009,2nd Quintile,Rural regions,Yes,0.04696,39,738,0.03169,0.06224
2009,2nd Quintile,Rural regions,No,0.95304,699,738,0.93776,0.96831
2009,3rd Quintile,Urban regions,Yes,0.04257,66,1185,0.03107,0.05407
2009,3rd Quintile,Urban regions,No,0.95743,1119,1185,0.94593,0.96893
2009,3rd Quintile,Rural regions,Yes,0.06173,50,755,0.04456,0.07891
2009,3rd Quintile,Rural regions,No,0.93827,705,755,0.92109,0.95544
2009,4th Quintile,Urban regions,Yes,0.06659,100,1365,0.05336,0.07982
2009,4th Quintile,Urban regions,No,0.93341,1265,1365,0.92018,0.94664
2009,4th Quintile,Rural regions,Yes,0.07405,60,692,0.05453,0.09358
2009,4th Quintile,Rural regions,No,0.92595,632,692,0.90642,0.94547
2009,5th Quintile,Urban regions,Yes,0.06103,158,1841,0.05009,0.07197
2009,5th Quintile,Urban regions,No,0.93897,1683,1841,0.92803,0.94991
2009,5th Quintile,Rural regions,Yes,0.13287,100,625,0.10624,0.15950
2009,5th Quintile,Rural regions,No,0.86713,525,625,0.84050,0.89376
2010,1st Quintile,Urban regions,Yes,0.01705,40,1997,0.01137,0.02272
2010,1st Quintile,Urban regions,No,0.98295,1957,1997,0.97728,0.98863
2010,1st Quintile,Rural regions,Yes,0.03531,44,1142,0.02460,0.04602
2010,1st Quintile,Rural regions,No,0.96469,1098,1142,0.95398,0.97540
2010,2nd Quintile,Urban regions,Yes,0.03557,77,1752,0.02690,0.04425
2010,2nd Quintile,Urban regions,No,0.96443,1675,1752,0.95575,0.97310
2010,2nd Quintile,Rural regions,Yes,0.04676,87,1161,0.03461,0.05891
2010,2nd Quintile,Rural regions,No,0.95324,1074,1161,0.94109,0.96539
2010,3rd Quintile,Urban regions,Yes,0.04985,104,1546,0.03900,0.06070
2010,3rd Quintile,Urban regions,No,0.95015,1442,1546,0.93930,0.96100
2010,3rd Quintile,Rural regions,Yes,0.07517,97,1002,0.05883,0.09150
2010,3rd Quintile,Rural regions,No,0.92483,905,1002,0.90850,0.94117
2010,4th Quintile,Urban regions,Yes,0.06777,132,1661,0.05568,0.07986
2010,4th Quintile,Urban regions,No,0.93223,1529,1661,0.92014,0.94432
2010,4th Quintile,Rural regions,Yes,0.09498,108,788,0.07449,0.11546
2010,4th Quintile,Rural regions,No,0.90502,680,788,0.88454,0.92551
2010,5th Quintile,Urban regions,Yes,0.06941,217,2090,0.05851,0.08031
2010,5th Quintile,Urban regions,No,0.93059,1873,2090,0.91969,0.94149
2010,5th Quintile,Rural regions,Yes,0.14752,119,608,0.11931,0.17573
2010,5th Quintile,Rural regions,No,0.85248,489,608,0.82427,0.88069
2011,1st Quintile,Urban regions,Yes,0.01476,53,2279,0.00981,0.01971
2011,1st Quintile,Urban regions,No,0.98524,2226,2279,0.98029,0.99019
2011,1st Quintile,Rural regions,Yes,0.04660,63,1420,0.03564,0.05757
2011,1st Quintile,Rural regions,No,0.95340,1357,1420,0.94243,0.96436
2011,2nd Quintile,Urban regions,Yes,0.04884,120,2022,0.03945,0.05824
2011,2nd Quintile,Urban regions,No,0.95116,1902,2022,0.94176,0.96055
2011,2nd Quintile,Rural regions,Yes,0.06095,112,1384,0.04834,0.07355
2011,2nd Quintile,Rural regions,No,0.93905,1272,1384,0.92645,0.95166
2011,3rd Quintile,Urban regions,Yes,0.05451,146,1980,0.04451,0.06452
2011,3rd Quintile,Urban regions,No,0.94549,1834,1980,0.93548,0.95549
2011,3rd Quintile,Rural regions,Yes,0.08714,146,1239,0.07143,0.10285
2011,3rd Quintile,Rural regions,No,0.91286,1093,1239,0.89715,0.92857
2011,4th Quintile,Urban regions,Yes,0.08070,214,2069,0.06896,0.09243
2011,4th Quintile,Urban regions,No,0.91930,1855,2069,0.90757,0.93104
2011,4th Quintile,Rural regions,Yes,0.10765,147,989,0.08832,0.12698
