year,regtyp,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Urban regions,Yes,0.02883,302,7377,0.02501,0.03265
2007,Urban regions,No,0.97117,7075,7377,0.96735,0.97499
2007,Rural regions,Yes,0.04884,225,3714,0.04191,0.05578
2007,Rural regions,No,0.95116,3489,3714,0.94422,0.95809
2008,Urban regions,Yes,0.03781,347,7100,0.03337,0.04224
2008,Urban regions,No,0.96219,6753,7100,0.95776,0.96663
2008,Rural regions,Yes,0.05162,226,3592,0.04438,0.05886
2008,Rural regions,No,0.94838,3366,3592,0.94114,0.95562
2009,Urban regions,Yes,0.04190,372,6666,0.03709,0.04671
2009,Urban regions,No,0.95810,6294,6666,0.95329,0.96291
2009,Rural regions,Yes,0.06452,264,3462,0.05633,0.07270
2009,Rural regions,No,0.93548,3198,3462,0.92730,0.94367
2010,Urban regions,Yes,0.04890,570,9048,0.04446,0.05334
2010,Urban regions,No,0.95110,8478,9048,0.94666,0.95554
2010,Rural regions,Yes,0.07370,455,4703,0.06623,0.08117
2010,Rural regions,No,0.92630,4248,4703,0.91883,0.93377
2011,Urban regions,Yes,0.05741,791,10737,0.05301,0.06181
2011,Urban regions,No,0.94259,9946,10737,0.93819,0.94699
2011,Rural regions,Yes,0.08816,632,5835,0.08089,0.09544
2011,Rural regions,No,0.91184,5203,5835,0.90456,0.91911
2012,Urban regions,Yes,0.06281,842,10439,0.05816,0.06747
2012,Urban regions,No,0.93719,9597,10439,0.93253,0.94184
2012,Rural regions,Yes,0.09458,676,5852,0.08708,0.10207
2012,Rural regions,No,0.90542,5176,5852,0.89793,0.91292
2013,Urban regions,Yes,0.06763,875,11846,0.06311,0.07216
2013,Urban regions,No,0.93237,10971,11846,0.92784,0.93689
2013,Rural regions,Yes,0.10279,688,6017,0.09512,0.11047
2013,Rural regions,No,0.89721,5329,6017,0.88953,0.90488
2014,Urban regions,Yes,0.07624,863,10392,0.07113,0.08134
2014,Urban regions,No,0.92376,9529,10392,0.91866,0.92887
2014,Rural regions,Yes,0.10846,678,5424,0.10018,0.11673
2014,Rural regions,No,0.89154,4746,5424,0.88327,0.89982
2015,Urban regions,Yes,0.07633,859,10370,0.07122,0.08144
2015,Urban regions,No,0.92367,9511,10370,0.91856,0.92878
2015,Rural regions,Yes,0.12017,709,5375,0.11148,0.12887
2015,Rural regions,No,0.87983,4666,5375,0.87113,0.88852
2016,Urban regions,Yes,0.07434,788,9367,0.06902,0.07965
2016,Urban regions,No,0.92566,8579,9367,0.92035,0.93098
2016,Rural regions,Yes,0.11943,635,4920,0.11036,0.12849
2016,Rural regions,No,0.88057,4285,4920,0.87151,0.88964
2017,Urban regions,Yes,0.07906,937,10230,0.07383,0.08429
2017,Urban regions,No,0.92094,9293,10230,0.91571,0.92617
2017,Rural regions,Yes,0.12911,747,5424,0.12019,0.13804
2017,Rural regions,No,0.87089,4677,5424,0.86196,0.87981
2018,Urban regions,Yes,0.08169,907,10160,0.07636,0.08701
2018,Urban regions,No,0.91831,9253,10160,0.91299,0.92364
2018,Rural regions,Yes,0.12665,731,5264,0.11767,0.13564
2018,Rural regions,No,0.87335,4533,5264,0.86436,0.88233
2019,Urban regions,Yes,0.08517,777,8235,0.07914,0.09120
2019,Urban regions,No,0.91483,7458,8235,0.90880,0.92086
2019,Rural regions,Yes,0.13366,646,4372,0.12358,0.14375
2019,Rural regions,No,0.86634,3726,4372,0.85625,0.87642
2020,Urban regions,Yes,0.09308,1102,10972,0.08764,0.09852
2020,Urban regions,No,0.90692,9870,10972,0.90148,0.91236
2020,Rural regions,Yes,0.14407,837,5276,0.13459,0.15354
2020,Rural regions,No,0.85593,4439,5276,0.84646,0.86541
2021,Urban regions,Yes,0.09174,719,6615,0.08478,0.09869
2021,Urban regions,No,0.90826,5896,6615,0.90131,0.91522
2021,Rural regions,Yes,0.14198,546,3330,0.13012,0.15383
2021,Rural regions,No,0.85802,2784,3330,0.84617,0.86988
2022,Urban regions,Yes,0.11764,1671,13143,0.11213,0.12315
2022,Urban regions,No,0.88236,11472,13143,0.87685,0.88787
2022,Rural regions,Yes,0.18524,1291,6068,0.17547,0.19502
2022,Rural regions,No,0.81476,4777,6068,0.80498,0.82453
