year,bula_h,hhtyp,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Schleswig-Holstein,Single-person household,No,0.99697,98,98,0.98604,1.00791
2007,Schleswig-Holstein,Couple without children,No,0.97140,123,123,0.94183,1.00098
2007,Schleswig-Holstein,Couple with children,No,0.93616,91,91,0.88565,0.98667
2007,Hamburg,Couple with children,No,0.95447,38,38,0.88730,1.02164
2007,Lower Saxony,Single-person household,No,0.99501,233,233,0.98594,1.00408
2007,Lower Saxony,Couple without children,No,0.95685,323,323,0.93465,0.97904
2007,Lower Saxony,Single parent,No,0.98259,56,56,0.94802,1.01716
2007,Lower Saxony,Couple with children,No,0.94108,299,299,0.91434,0.96781
2007,North Rhine-Westphalia,Single-person household,No,0.99551,573,573,0.99003,1.00099
2007,North Rhine-Westphalia,Couple without children,No,0.98272,777,777,0.97355,0.99189
2007,North Rhine-Westphalia,Couple with children,Yes,0.04130,35,728,0.02683,0.05576
2007,North Rhine-Westphalia,Couple with children,No,0.95870,693,728,0.94424,0.97317
2007,Hesse,Single-person household,No,0.99395,184,184,0.98271,1.00519
2007,Hesse,Couple without children,No,0.96238,258,258,0.93912,0.98565
2007,Hesse,Single parent,No,0.91845,39,39,0.83143,1.00547
2007,Hesse,Couple with children,No,0.91979,217,217,0.88357,0.95602
2007,"Rhineland-Palatinate, Saarland",Single-person household,No,0.98552,189,189,0.96844,1.00259
2007,"Rhineland-Palatinate, Saarland",Couple without children,No,0.95282,171,171,0.92095,0.98469
2007,"Rhineland-Palatinate, Saarland",Couple with children,No,0.93524,198,198,0.90087,0.96961
2007,Baden-Wuerttemberg,Single-person household,No,0.99475,352,352,0.98719,1.00231
2007,Baden-Wuerttemberg,Couple without children,No,0.94488,389,389,0.92217,0.96759
2007,Baden-Wuerttemberg,Single parent,No,0.95930,79,79,0.91545,1.00315
2007,Baden-Wuerttemberg,Couple with children,Yes,0.10615,52,444,0.07747,0.13484
2007,Baden-Wuerttemberg,Couple with children,No,0.89385,392,444,0.86516,0.92253
2007,Bavaria,Single-person household,No,0.97638,409,409,0.96164,0.99112
2007,Bavaria,Couple without children,Yes,0.08648,49,511,0.06208,0.11087
2007,Bavaria,Couple without children,No,0.91352,462,511,0.88913,0.93792
2007,Bavaria,Single parent,No,0.94761,88,88,0.90080,0.99443
2007,Bavaria,Couple with children,Yes,0.12508,87,534,0.09700,0.15317
2007,Bavaria,Couple with children,No,0.87492,447,534,0.84683,0.90300
2007,Berlin,Single-person household,No,0.99650,161,161,0.98735,1.00565
2007,Berlin,Couple without children,No,0.98636,137,137,0.96686,1.00585
2007,Berlin,Single parent,No,0.99657,36,36,0.97719,1.01594
2007,Berlin,Couple with children,No,0.98855,102,102,0.96779,1.00930
2007,Brandenburg,Single-person household,No,0.99311,133,133,0.97900,1.00722
2007,Brandenburg,Couple without children,No,0.95519,158,158,0.92282,0.98755
2007,Brandenburg,Couple with children,No,0.94218,122,122,0.90059,0.98377
2007,Mecklenburg-Western Pomerania,Couple without children,No,0.98966,100,100,0.96973,1.00959
2007,Mecklenburg-Western Pomerania,Couple with children,No,0.92182,71,71,0.85893,0.98471
2007,Saxony,Single-person household,No,0.97655,222,222,0.95659,0.99650
2007,Saxony,Couple without children,No,0.96746,281,281,0.94667,0.98824
2007,Saxony,Single parent,No,0.97978,52,52,0.94115,1.01841
2007,Saxony,Couple with children,No,0.90239,200,200,0.86115,0.94362
2007,Saxony-Anhalt,Single-person household,No,0.97536,116,116,0.94702,1.00369
2007,Saxony-Anhalt,Couple without children,No,0.98210,163,163,0.96169,1.00252
2007,Saxony-Anhalt,Couple with children,No,0.93585,133,133,0.89405,0.97765
2007,Thuringa,Single-person household,No,0.98953,125,125,0.97162,1.00745
2007,Thuringa,Couple without children,No,0.97777,156,156,0.95455,1.00098
2007,Thuringa,Couple with children,No,0.98493,139,139,0.96460,1.00526
2008,Schleswig-Holstein,Single-person household,No,0.98245,92,92,0.95548,1.00943
2008,Schleswig-Holstein,Couple without children,No,0.97140,113,113,0.94053,1.00227
2008,Schleswig-Holstein,Couple with children,No,0.92093,81,81,0.86180,0.98006
2008,Hamburg,Couple with children,No,0.95115,37,37,0.88073,1.02156
2008,Lower Saxony,Single-person household,No,0.99562,244,244,0.98732,1.00392
2008,Lower Saxony,Couple without children,No,0.95593,315,315,0.93323,0.97863
2008,Lower Saxony,Couple with children,No,0.95227,284,284,0.92743,0.97711
2008,North Rhine-Westphalia,Single-person household,No,0.98389,541,541,0.97328,0.99451
2008,North Rhine-Westphalia,Couple without children,No,0.96707,731,731,0.95412,0.98001
2008,North Rhine-Westphalia,Single parent,No,0.99370,128,128,0.97995,1.00746
2008,North Rhine-Westphalia,Couple with children,Yes,0.03996,35,675,0.02517,0.05475
2008,North Rhine-Westphalia,Couple with children,No,0.96004,640,675,0.94525,0.97483
2008,Hesse,Single-person household,No,0.98943,173,173,0.97415,1.00471
2008,Hesse,Couple without children,No,0.93530,244,244,0.90437,0.96623
2008,Hesse,Single parent,No,0.88908,35,35,0.78352,0.99464
2008,Hesse,Couple with children,No,0.91497,209,209,0.87706,0.95287
2008,"Rhineland-Palatinate, Saarland",Single-person household,No,0.97609,188,188,0.95420,0.99799
2008,"Rhineland-Palatinate, Saarland",Couple without children,No,0.94316,172,172,0.90845,0.97786
2008,"Rhineland-Palatinate, Saarland",Couple with children,No,0.92917,174,174,0.89095,0.96740
2008,Baden-Wuerttemberg,Single-person household,No,0.99053,339,339,0.98020,1.00085
2008,Baden-Wuerttemberg,Couple without children,Yes,0.08024,31,412,0.05397,0.10650
2008,Baden-Wuerttemberg,Couple without children,No,0.91976,381,412,0.89350,0.94603
2008,Baden-Wuerttemberg,Single parent,No,0.96077,77,77,0.91711,1.00442
2008,Baden-Wuerttemberg,Couple with children,Yes,0.14237,62,417,0.10879,0.17595
2008,Baden-Wuerttemberg,Couple with children,No,0.85763,355,417,0.82405,0.89121
2008,Bavaria,Single-person household,No,0.95644,381,381,0.93591,0.97696
2008,Bavaria,Couple without children,Yes,0.09523,54,500,0.06947,0.12098
2008,Bavaria,Couple without children,No,0.90477,446,500,0.87902,0.93053
2008,Bavaria,Single parent,No,0.98628,85,85,0.96140,1.01116
2008,Bavaria,Couple with children,Yes,0.14019,89,506,0.10991,0.17047
2008,Bavaria,Couple with children,No,0.85981,417,506,0.82953,0.89009
2008,Berlin,Single-person household,No,0.98782,165,165,0.97103,1.00461
2008,Berlin,Couple without children,No,0.98670,138,138,0.96751,1.00588
2008,Berlin,Couple with children,No,0.99177,93,93,0.97330,1.01023
2008,Brandenburg,Single-person household,No,0.99595,133,133,0.98512,1.00678
2008,Brandenburg,Couple without children,No,0.95611,158,158,0.92406,0.98815
2008,Brandenburg,Couple with children,No,0.95116,119,119,0.91227,0.99005
2008,Mecklenburg-Western Pomerania,Single-person household,No,0.98641,80,80,0.96088,1.01194
2008,Mecklenburg-Western Pomerania,Couple without children,No,0.98679,102,102,0.96452,1.00906
2008,Mecklenburg-Western Pomerania,Couple with children,No,0.95196,65,65,0.89956,1.00435
2008,Saxony,Single-person household,No,0.98419,223,223,0.96779,1.00060
2008,Saxony,Couple without children,No,0.96317,282,282,0.94115,0.98519
2008,Saxony,Single parent,No,0.97727,44,44,0.93272,1.02182
2008,Saxony,Couple with children,No,0.88709,193,193,0.84232,0.93186
2008,Saxony-Anhalt,Couple without children,No,0.97961,159,159,0.95757,1.00165
