year,hhtyp,regtyp,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Single-person household,Urban regions,No,0.99317,2043,2043,0.98960,0.99674
2007,Single-person household,Rural regions,No,0.98310,934,934,0.97483,0.99137
2007,Couple without children,Urban regions,Yes,0.03410,98,2503,0.02698,0.04121
2007,Couple without children,Urban regions,No,0.96590,2405,2503,0.95879,0.97302
2007,Couple without children,Rural regions,Yes,0.04985,78,1257,0.03781,0.06188
2007,Couple without children,Rural regions,No,0.95015,1179,1257,0.93812,0.96219
2007,Single parent,Urban regions,No,0.98032,433,433,0.96722,0.99341
2007,Single parent,Rural regions,No,0.97710,244,244,0.95830,0.99591
2007,Couple with children,Urban regions,Yes,0.06037,162,2254,0.05054,0.07021
2007,Couple with children,Urban regions,No,0.93963,2092,2254,0.92979,0.94946
2007,Couple with children,Rural regions,Yes,0.10082,118,1185,0.08367,0.11797
2007,Couple with children,Rural regions,No,0.89918,1067,1185,0.88203,0.91633
2007,Multi-generational household,Urban regions,No,0.97779,51,51,0.93695,1.01864
2007,Multi-generational household,Rural regions,No,0.91291,33,33,0.81521,1.01061
2007,Other Combinations,Urban regions,No,0.86390,51,51,0.76885,0.95894
2007,Other Combinations,Rural regions,No,0.97606,32,32,0.92224,1.02987
2008,Single-person household,Urban regions,Yes,0.01435,33,2033,0.00918,0.01953
2008,Single-person household,Urban regions,No,0.98565,2000,2033,0.98047,0.99082
2008,Single-person household,Rural regions,No,0.97957,900,900,0.97032,0.98882
2008,Couple without children,Urban regions,Yes,0.04741,120,2446,0.03898,0.05583
2008,Couple without children,Urban regions,No,0.95259,2326,2446,0.94417,0.96102
2008,Couple without children,Rural regions,Yes,0.05704,84,1252,0.04419,0.06990
2008,Couple without children,Rural regions,No,0.94296,1168,1252,0.93010,0.95581
2008,Single parent,Urban regions,No,0.98199,414,414,0.96916,0.99481
2008,Single parent,Rural regions,No,0.98681,241,241,0.97237,1.00124
2008,Couple with children,Urban regions,Yes,0.07172,176,2108,0.06070,0.08274
2008,Couple with children,Urban regions,No,0.92828,1932,2108,0.91726,0.93930
2008,Couple with children,Rural regions,Yes,0.09961,112,1110,0.08198,0.11724
2008,Couple with children,Rural regions,No,0.90039,998,1110,0.88276,0.91802
2008,Multi-generational household,Urban regions,No,0.99594,40,40,0.97599,1.01589
2008,Multi-generational household,Rural regions,No,0.88748,32,32,0.77624,0.99872
2008,Other Combinations,Urban regions,No,0.85160,41,41,0.74143,0.96177
2009,Single-person household,Urban regions,Yes,0.01184,34,1955,0.00705,0.01664
2009,Single-person household,Urban regions,No,0.98816,1921,1955,0.98336,0.99295
2009,Single-person household,Rural regions,No,0.96979,853,853,0.95830,0.98128
2009,Couple without children,Urban regions,Yes,0.05592,138,2305,0.04654,0.06530
2009,Couple without children,Urban regions,No,0.94408,2167,2305,0.93470,0.95346
2009,Couple without children,Rural regions,Yes,0.07790,101,1228,0.06290,0.09289
2009,Couple without children,Rural regions,No,0.92210,1127,1228,0.90711,0.93710
