year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,0.23159,0.21469,0.24849,0.00000,0.00000,0.00000,0.00000,0.00000,12159.00000
1985,0.24789,0.23181,0.26397,0.00000,0.00000,0.00000,0.00000,0.00000,11026.00000
1986,0.24574,0.22931,0.26218,0.00000,0.00000,0.00000,0.00000,0.00000,10582.00000
1987,0.26487,0.24767,0.28206,0.00000,0.00000,0.00000,0.00000,0.00000,10452.00000
1988,0.26564,0.24783,0.28344,0.00000,0.00000,0.00000,0.00000,0.00000,9970.00000
1989,0.28677,0.26780,0.30573,0.00000,0.00000,0.00000,0.00000,0.00000,9660.00000
1990,0.11265,0.10234,0.12296,0.00000,0.00000,0.00000,0.00000,0.00000,13872.00000
1991,,,,,,,,,
1992,0.26948,0.25504,0.28391,0.00000,0.00000,0.00000,0.00000,0.00000,13301.00000
1993,0.21461,0.20118,0.22804,0.00000,0.00000,0.00000,0.00000,0.00000,13085.00000
1994,,,,,,,,,
1995,0.20782,0.19559,0.22006,0.00000,0.00000,0.00000,0.00000,0.00000,13250.00000
1996,,,,,,,,,
1997,0.19964,0.18743,0.21185,0.00000,0.00000,0.00000,0.00000,0.00000,12821.00000
1998,,,,,,,,,
1999,0.19339,0.18125,0.20554,0.00000,0.00000,0.00000,0.00000,0.00000,13663.00000
2000,,,,,,,,,
2001,0.18776,0.17816,0.19737,0.00000,0.00000,0.00000,0.00000,0.00000,21915.00000
2002,,,,,,,,,
2003,0.18257,0.17336,0.19178,0.00000,0.00000,0.00000,0.00000,0.00000,22151.00000
2004,,,,,,,,,
2005,0.19319,0.18305,0.20333,0.00000,0.00000,0.00000,0.00000,0.00000,20691.00000
2006,,,,,,,,,
2007,0.19908,0.18806,0.21011,0.00000,0.00000,0.00000,0.00000,0.00000,20503.00000
2008,,,,,,,,,
2009,0.19618,0.18475,0.20760,0.00000,0.00000,0.00000,0.00000,0.00000,18001.00000
2010,,,,,,,,,
2011,0.18857,0.17922,0.19792,0.00000,0.00000,0.00000,0.00000,0.00000,28346.00000
2012,0.15625,0.14015,0.17236,0.00000,0.00000,0.00000,0.00000,0.00000,7145.00000
2013,0.19319,0.18326,0.20312,0.00000,0.00000,0.00000,0.00000,0.00000,25670.00000
2014,,,,,,,,,
2015,0.18280,0.17314,0.19246,0.00000,0.00000,0.00000,0.00000,0.00000,25017.00000
2016,,,,,,,,,
2017,0.17816,0.16916,0.18715,0.00000,0.00000,0.00000,0.00000,0.00000,26401.00000
2018,,,,,,,,,
2019,0.16146,0.15239,0.17053,0.00000,0.00000,0.00000,0.00000,0.00000,25700.00000
2020,,,,,,,,,
2021,0.21392,0.20165,0.22620,0.00000,0.00000,0.00000,0.00000,0.00000,18419.00000
2022,,,,,,,,,
