year,hhtyp,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,Yes,0.04573,67,1433,0.03491,0.05655
1996,Single-person household,No,0.95427,1366,1433,0.94345,0.96509
1996,Couple without children,Yes,0.07969,156,1841,0.06731,0.09206
1996,Couple without children,No,0.92031,1685,1841,0.90794,0.93269
1996,Single parent,Yes,0.15294,56,387,0.11703,0.18884
1996,Single parent,No,0.84706,331,387,0.81116,0.88297
1996,Couple with children,Yes,0.14113,389,2686,0.12796,0.15429
1996,Couple with children,No,0.85887,2297,2686,0.84571,0.87204
1996,Multi-generational household,No,0.83675,110,110,0.76737,0.90614
1996,Other Combinations,No,0.88276,142,142,0.82965,0.93586
2001,Single-person household,Yes,0.04625,134,2926,0.03864,0.05386
2001,Single-person household,No,0.95375,2792,2926,0.94614,0.96136
2001,Couple without children,Yes,0.06383,236,3589,0.05583,0.07183
2001,Couple without children,No,0.93617,3353,3589,0.92817,0.94417
2001,Single parent,Yes,0.07082,54,706,0.05189,0.08976
2001,Single parent,No,0.92918,652,706,0.91024,0.94811
2001,Couple with children,Yes,0.10506,454,4175,0.09576,0.11436
2001,Couple with children,No,0.89494,3721,4175,0.88564,0.90424
2001,Multi-generational household,No,0.89847,145,145,0.84914,0.94780
2001,Other Combinations,No,0.91029,116,116,0.85806,0.96252
2006,Single-person household,Yes,0.03136,99,3288,0.02540,0.03732
2006,Single-person household,No,0.96864,3189,3288,0.96268,0.97460
2006,Couple without children,Yes,0.04962,201,4158,0.04302,0.05622
2006,Couple without children,No,0.95038,3957,4158,0.94378,0.95698
2006,Single parent,Yes,0.06836,53,772,0.05054,0.08617
2006,Single parent,No,0.93164,719,772,0.91383,0.94946
2006,Couple with children,Yes,0.07931,303,3837,0.07075,0.08786
2006,Couple with children,No,0.92069,3534,3837,0.91214,0.92925
2006,Multi-generational household,No,0.89058,93,93,0.82679,0.95437
2006,Other Combinations,No,0.95938,101,101,0.92069,0.99807
2011,Single-person household,Yes,0.02696,94,3510,0.02160,0.03232
2011,Single-person household,No,0.97304,3416,3510,0.96768,0.97840
2011,Couple without children,Yes,0.03954,161,4371,0.03376,0.04532
2011,Couple without children,No,0.96046,4210,4371,0.95468,0.96624
2011,Single parent,Yes,0.04545,36,784,0.03086,0.06004
2011,Single parent,No,0.95455,748,784,0.93996,0.96914
2011,Couple with children,Yes,0.05496,189,3240,0.04711,0.06281
2011,Couple with children,No,0.94504,3051,3240,0.93719,0.95289
2011,Multi-generational household,No,0.91725,79,79,0.85611,0.97839
2011,Other Combinations,No,0.90912,91,91,0.84973,0.96851
2016,Single-person household,Yes,0.02110,64,3388,0.01626,0.02594
2016,Single-person household,No,0.97890,3324,3388,0.97406,0.98374
2016,Couple without children,Yes,0.02590,107,4097,0.02103,0.03076
2016,Couple without children,No,0.97410,3990,4097,0.96924,0.97897
2016,Single parent,Yes,0.03632,60,1524,0.02693,0.04572
2016,Single parent,No,0.96368,1464,1524,0.95428,0.97307
2016,Couple with children,Yes,0.03823,199,4990,0.03291,0.04355
2016,Couple with children,No,0.96177,4791,4990,0.95645,0.96709
2016,Multi-generational household,No,0.98225,104,104,0.95674,1.00775
2016,Other Combinations,No,0.94857,183,183,0.91648,0.98066
2021,No answer / don't know,No,0.98484,56,56,0.95255,1.01713
2021,Single-person household,Yes,0.01430,43,3188,0.01018,0.01842
2021,Single-person household,No,0.98570,3145,3188,0.98158,0.98982
2021,Couple without children,Yes,0.02483,75,3414,0.01961,0.03005
2021,Couple without children,No,0.97517,3339,3414,0.96995,0.98039
2021,Single parent,No,0.97863,873,873,0.96904,0.98823
2021,Couple with children,Yes,0.02816,111,3162,0.02239,0.03393
2021,Couple with children,No,0.97184,3051,3162,0.96607,0.97761
2021,Multi-generational household,No,0.96770,72,72,0.92658,1.00882
2021,Other Combinations,No,0.99238,260,260,0.98180,1.00297
