year,hhtyp,rentown,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,Owner,No,0.97579,287,287,0.95797,0.99360
1996,Single-person household,Tenant,Yes,0.05259,61,1140,0.03962,0.06555
1996,Single-person household,Tenant,No,0.94741,1079,1140,0.93445,0.96038
1996,Couple without children,Owner,Yes,0.07885,55,691,0.05874,0.09896
1996,Couple without children,Owner,No,0.92115,636,691,0.90104,0.94126
1996,Couple without children,Tenant,Yes,0.08041,101,1150,0.06468,0.09613
1996,Couple without children,Tenant,No,0.91959,1049,1150,0.90387,0.93532
1996,Single parent,Owner,No,0.95664,94,94,0.91525,0.99804
1996,Single parent,Tenant,Yes,0.20331,48,285,0.15650,0.25012
1996,Single parent,Tenant,No,0.79669,237,285,0.74988,0.84350
1996,Couple with children,Owner,Yes,0.12758,164,1173,0.10848,0.14668
1996,Couple with children,Owner,No,0.87242,1009,1173,0.85332,0.89152
1996,Couple with children,Tenant,Yes,0.15731,225,1513,0.13896,0.17566
1996,Couple with children,Tenant,No,0.84269,1288,1513,0.82434,0.86104
1996,Multi-generational household,Owner,No,0.84784,60,60,0.75619,0.93949
1996,Multi-generational household,Tenant,No,0.81083,50,50,0.70117,0.92049
1996,Other Combinations,Owner,No,0.84657,59,59,0.75382,0.93933
1996,Other Combinations,Tenant,No,0.91321,83,83,0.85227,0.97414
2001,Single-person household,Owner,Yes,0.04054,34,773,0.02662,0.05445
2001,Single-person household,Owner,No,0.95946,739,773,0.94555,0.97338
2001,Single-person household,Tenant,Yes,0.04829,100,2153,0.03924,0.05735
2001,Single-person household,Tenant,No,0.95171,2053,2153,0.94265,0.96076
2001,Couple without children,Owner,Yes,0.05437,93,1781,0.04383,0.06490
2001,Couple without children,Owner,No,0.94563,1688,1781,0.93510,0.95617
2001,Couple without children,Tenant,Yes,0.07388,143,1808,0.06182,0.08594
2001,Couple without children,Tenant,No,0.92612,1665,1808,0.91406,0.93818
2001,Single parent,Owner,No,0.95668,182,182,0.92702,0.98634
2001,Single parent,Tenant,Yes,0.08056,44,514,0.05701,0.10411
2001,Single parent,Tenant,No,0.91944,470,514,0.89589,0.94299
2001,Couple with children,Owner,Yes,0.09775,236,2339,0.08571,0.10979
2001,Couple with children,Owner,No,0.90225,2103,2339,0.89021,0.91429
2001,Couple with children,Tenant,Yes,0.11424,218,1836,0.09968,0.12879
2001,Couple with children,Tenant,No,0.88576,1618,1836,0.87121,0.90032
2001,Multi-generational household,Owner,No,0.86979,103,103,0.80448,0.93510
2001,Multi-generational household,Tenant,No,0.98006,42,42,0.93726,1.02285
2001,Other Combinations,Owner,No,0.86810,60,60,0.78175,0.95444
2001,Other Combinations,Tenant,No,0.95431,56,56,0.89913,1.00950
2006,Single-person household,Owner,No,0.96790,928,928,0.95655,0.97925
2006,Single-person household,Tenant,Yes,0.03109,71,2331,0.02404,0.03814
2006,Single-person household,Tenant,No,0.96891,2260,2331,0.96186,0.97596
2006,Couple without children,Owner,Yes,0.04683,104,2308,0.03821,0.05545
2006,Couple without children,Owner,No,0.95317,2204,2308,0.94455,0.96179
2006,Couple without children,Tenant,Yes,0.05258,97,1850,0.04241,0.06275
2006,Couple without children,Tenant,No,0.94742,1753,1850,0.93725,0.95759
2006,Single parent,Owner,No,0.94206,213,213,0.91060,0.97351
2006,Single parent,Tenant,Yes,0.07144,41,547,0.04984,0.09305
2006,Single parent,Tenant,No,0.92856,506,547,0.90695,0.95016
2006,Couple with children,Owner,Yes,0.08780,191,2375,0.07642,0.09918
2006,Couple with children,Owner,No,0.91220,2184,2375,0.90082,0.92358
2006,Couple with children,Tenant,Yes,0.06897,112,1461,0.05597,0.08197
2006,Couple with children,Tenant,No,0.93103,1349,1461,0.91803,0.94403
2006,Multi-generational household,Owner,No,0.82907,66,66,0.73756,0.92059
2006,Other Combinations,Owner,No,0.93546,59,59,0.87222,0.99869
2006,Other Combinations,Tenant,No,0.99185,42,42,0.96432,1.01937
2011,Single-person household,Owner,No,0.97080,1047,1047,0.96059,0.98100
2011,Single-person household,Tenant,Yes,0.02594,66,2435,0.01962,0.03225
2011,Single-person household,Tenant,No,0.97406,2369,2435,0.96775,0.98038
2011,Couple without children,Owner,Yes,0.03206,78,2514,0.02518,0.03895
2011,Couple without children,Owner,No,0.96794,2436,2514,0.96105,0.97482
2011,Couple without children,Tenant,Yes,0.04936,83,1857,0.03950,0.05921
2011,Couple without children,Tenant,No,0.95064,1774,1857,0.94079,0.96050
2011,Single parent,Owner,No,0.98320,216,216,0.96602,1.00038
2011,Single parent,Tenant,No,0.94018,532,532,0.92001,0.96035
2011,Couple with children,Owner,Yes,0.05813,109,2030,0.04795,0.06831
2011,Couple with children,Owner,No,0.94187,1921,2030,0.93169,0.95205
2011,Couple with children,Tenant,Yes,0.04919,80,1210,0.03700,0.06139
2011,Couple with children,Tenant,No,0.95081,1130,1210,0.93861,0.96300
2011,Multi-generational household,Owner,No,0.94822,55,55,0.88912,1.00732
2011,Other Combinations,Owner,No,0.81323,41,41,0.69246,0.93401
