year,hhtyp,sampreg,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,West,Yes,0.04439,50,1089,0.03215,0.05662
1996,Single-person household,West,No,0.95561,1039,1089,0.94338,0.96785
1996,Single-person household,East,No,0.94703,327,327,0.92271,0.97134
1996,Couple without children,West,Yes,0.07775,106,1306,0.06322,0.09228
1996,Couple without children,West,No,0.92225,1200,1306,0.90772,0.93678
1996,Couple without children,East,Yes,0.08763,50,535,0.06364,0.11161
1996,Couple without children,East,No,0.91237,485,535,0.88839,0.93636
1996,Single parent,West,Yes,0.15637,38,278,0.11360,0.19915
1996,Single parent,West,No,0.84363,240,278,0.80085,0.88640
1996,Single parent,East,No,0.86170,91,91,0.79037,0.93302
1996,Couple with children,West,Yes,0.13409,251,1922,0.11885,0.14932
1996,Couple with children,West,No,0.86591,1671,1922,0.85068,0.88115
1996,Couple with children,East,Yes,0.17115,138,764,0.14443,0.19788
1996,Couple with children,East,No,0.82885,626,764,0.80212,0.85557
1996,Multi-generational household,West,No,0.82200,85,85,0.74020,0.90380
1996,Other Combinations,West,No,0.88165,90,90,0.81453,0.94876
1996,Other Combinations,East,No,0.88510,52,52,0.79757,0.97262
2001,Single-person household,West,Yes,0.04307,91,2220,0.03462,0.05152
2001,Single-person household,West,No,0.95693,2129,2220,0.94848,0.96538
2001,Single-person household,East,Yes,0.05988,43,706,0.04236,0.07739
2001,Single-person household,East,No,0.94012,663,706,0.92261,0.95764
2001,Couple without children,West,Yes,0.05918,157,2664,0.05022,0.06814
2001,Couple without children,West,No,0.94082,2507,2664,0.93186,0.94978
2001,Couple without children,East,Yes,0.08368,79,925,0.06583,0.10154
2001,Couple without children,East,No,0.91632,846,925,0.89846,0.93417
2001,Single parent,West,Yes,0.06450,34,514,0.04324,0.08576
2001,Single parent,West,No,0.93550,480,514,0.91424,0.95676
2001,Single parent,East,No,0.90582,172,172,0.86204,0.94960
2001,Couple with children,West,Yes,0.09439,299,3208,0.08427,0.10451
2001,Couple with children,West,No,0.90561,2909,3208,0.89549,0.91573
2001,Couple with children,East,Yes,0.15487,155,967,0.13206,0.17769
2001,Couple with children,East,No,0.84513,812,967,0.82231,0.86794
2001,Multi-generational household,West,No,0.88899,121,121,0.83278,0.94519
2001,Other Combinations,West,No,0.89517,88,88,0.83080,0.95954
2006,Single-person household,West,Yes,0.02842,66,2472,0.02187,0.03497
2006,Single-person household,West,No,0.97158,2406,2472,0.96503,0.97813
2006,Single-person household,East,Yes,0.04355,33,816,0.02954,0.05756
2006,Single-person household,East,No,0.95645,783,816,0.94244,0.97046
2006,Couple without children,West,Yes,0.04402,130,3132,0.03684,0.05121
2006,Couple without children,West,No,0.95598,3002,3132,0.94879,0.96316
2006,Couple without children,East,Yes,0.07229,71,1026,0.05643,0.08814
2006,Couple without children,East,No,0.92771,955,1026,0.91186,0.94357
2006,Single parent,West,Yes,0.05634,31,582,0.03759,0.07509
2006,Single parent,West,No,0.94366,551,582,0.92491,0.96241
2006,Single parent,East,No,0.87922,168,168,0.82980,0.92865
2006,Couple with children,West,Yes,0.07156,202,2984,0.06231,0.08081
2006,Couple with children,West,No,0.92844,2782,2984,0.91919,0.93769
2006,Couple with children,East,Yes,0.11808,101,853,0.09641,0.13975
2006,Couple with children,East,No,0.88192,752,853,0.86025,0.90359
2006,Multi-generational household,West,No,0.88336,72,72,0.80870,0.95803
2006,Other Combinations,West,No,0.95528,81,81,0.90999,1.00057
2011,Single-person household,West,Yes,0.02712,65,2622,0.02090,0.03334
2011,Single-person household,West,No,0.97288,2557,2622,0.96666,0.97910
2011,Single-person household,East,No,0.97374,859,859,0.96304,0.98444
2011,Couple without children,West,Yes,0.03607,109,3281,0.02969,0.04245
2011,Couple without children,West,No,0.96393,3172,3281,0.95755,0.97031
2011,Couple without children,East,Yes,0.05422,52,1090,0.04077,0.06767
2011,Couple without children,East,No,0.94578,1038,1090,0.93233,0.95923
2011,Single parent,West,No,0.96334,564,564,0.94781,0.97886
2011,Single parent,East,No,0.91965,184,184,0.88027,0.95904
2011,Couple with children,West,Yes,0.04867,130,2566,0.04034,0.05700
2011,Couple with children,West,No,0.95133,2436,2566,0.94300,0.95966
2011,Couple with children,East,Yes,0.09040,59,674,0.06873,0.11206
2011,Couple with children,East,No,0.90960,615,674,0.88794,0.93127
2011,Multi-generational household,West,No,0.94294,61,61,0.88425,1.00163
2011,Other Combinations,West,No,0.94507,71,71,0.89170,0.99845
2016,Single-person household,West,Yes,0.01776,34,2535,0.01262,0.02291
2016,Single-person household,West,No,0.98224,2501,2535,0.97709,0.98738
2016,Single-person household,East,No,0.96540,823,823,0.95291,0.97790
2016,Couple without children,West,Yes,0.02198,65,3085,0.01680,0.02715
2016,Couple without children,West,No,0.97802,3020,3085,0.97285,0.98320
2016,Couple without children,East,Yes,0.04374,42,1012,0.03114,0.05635
2016,Couple without children,East,No,0.95626,970,1012,0.94365,0.96886
