year,hhtyp,quintil_oecd_hh,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,1st Quintile,No,0.94557,399,399,0.92329,0.96786
1996,Single-person household,2nd Quintile,No,0.95733,279,279,0.93357,0.98109
1996,Single-person household,3rd Quintile,No,0.95621,264,264,0.93148,0.98094
1996,Single-person household,4th Quintile,No,0.93723,234,234,0.90608,0.96837
1996,Single-person household,5th Quintile,No,0.98692,187,187,0.97059,1.00325
1996,Couple without children,1st Quintile,No,0.92193,207,207,0.88529,0.95856
1996,Couple without children,2nd Quintile,No,0.89781,287,287,0.86271,0.93292
1996,Couple without children,3rd Quintile,Yes,0.10405,44,385,0.07351,0.13459
1996,Couple without children,3rd Quintile,No,0.89595,341,385,0.86541,0.92649
1996,Couple without children,4th Quintile,Yes,0.08075,38,431,0.05500,0.10650
1996,Couple without children,4th Quintile,No,0.91925,393,431,0.89350,0.94500
1996,Couple without children,5th Quintile,No,0.94878,456,456,0.92853,0.96904
1996,Single parent,1st Quintile,No,0.81353,141,141,0.74901,0.87805
1996,Single parent,2nd Quintile,No,0.84433,65,65,0.75550,0.93315
1996,Single parent,3rd Quintile,No,0.86266,49,49,0.76529,0.96004
1996,Single parent,4th Quintile,No,0.85881,42,42,0.75222,0.96540
1996,Single parent,5th Quintile,No,0.93913,34,34,0.85755,1.02071
1996,Couple with children,1st Quintile,Yes,0.14882,79,541,0.11880,0.17884
1996,Couple with children,1st Quintile,No,0.85118,462,541,0.82116,0.88120
1996,Couple with children,2nd Quintile,Yes,0.17637,110,659,0.14725,0.20549
1996,Couple with children,2nd Quintile,No,0.82363,549,659,0.79451,0.85275
1996,Couple with children,3rd Quintile,Yes,0.15942,106,613,0.13042,0.18843
1996,Couple with children,3rd Quintile,No,0.84058,507,613,0.81157,0.86958
1996,Couple with children,4th Quintile,Yes,0.11946,60,505,0.09114,0.14777
1996,Couple with children,4th Quintile,No,0.88054,445,505,0.85223,0.90886
1996,Couple with children,5th Quintile,Yes,0.09080,34,368,0.06140,0.12019
1996,Couple with children,5th Quintile,No,0.90920,334,368,0.87981,0.93860
1996,Other Combinations,3rd Quintile,No,0.84819,35,35,0.72757,0.96881
1996,Other Combinations,4th Quintile,No,0.90500,35,35,0.80644,1.00356
2001,Single-person household,1st Quintile,Yes,0.05883,51,828,0.04279,0.07487
2001,Single-person household,1st Quintile,No,0.94117,777,828,0.92513,0.95721
2001,Single-person household,2nd Quintile,Yes,0.05304,32,603,0.03514,0.07095
2001,Single-person household,2nd Quintile,No,0.94696,571,603,0.92905,0.96486
2001,Single-person household,3rd Quintile,No,0.94741,518,518,0.92817,0.96665
2001,Single-person household,4th Quintile,No,0.96511,480,480,0.94867,0.98154
2001,Single-person household,5th Quintile,No,0.97753,443,443,0.96372,0.99135
2001,Couple without children,1st Quintile,Yes,0.08285,31,410,0.05613,0.10957
2001,Couple without children,1st Quintile,No,0.91715,379,410,0.89043,0.94387
2001,Couple without children,2nd Quintile,Yes,0.06306,44,624,0.04398,0.08215
2001,Couple without children,2nd Quintile,No,0.93694,580,624,0.91785,0.95602
2001,Couple without children,3rd Quintile,Yes,0.06438,45,732,0.04659,0.08217
2001,Couple without children,3rd Quintile,No,0.93562,687,732,0.91783,0.95341
2001,Couple without children,4th Quintile,Yes,0.07228,69,843,0.05479,0.08977
2001,Couple without children,4th Quintile,No,0.92772,774,843,0.91023,0.94521
2001,Couple without children,5th Quintile,Yes,0.05011,47,980,0.03644,0.06377
2001,Couple without children,5th Quintile,No,0.94989,933,980,0.93623,0.96356
2001,Single parent,1st Quintile,Yes,0.11345,34,298,0.07738,0.14952
