year,migback,plb0196_h,proportion,n,lower_confidence,upper_confidence
1986,kein Migrationshintergrund,Nein,0.6538913707970844,13742,0.6459372878431823,0.6618454537509865
1986,direkter Migrationshintergrund,Nein,0.3305901716435457,13742,0.3227247481609652,0.3384555951261262
1986,indirekter Migrationshintergrund,Nein,0.015518457559369857,13742,0.013451844522389119,0.017585070596350595
1988,kein Migrationshintergrund,Nein,0.6595045500505561,12817,0.6513005163879946,0.6677085837131176
1988,direkter Migrationshintergrund,Nein,0.3212841253791709,12817,0.3131996560720339,0.32936859468630786
1988,indirekter Migrationshintergrund,Nein,0.019211324570273004,12817,0.016834871429645272,0.021587777710900737
1989,kein Migrationshintergrund,Nein,0.6595800524934383,12393,0.6512373049230908,0.6679228000637858
1989,direkter Migrationshintergrund,Nein,0.31627296587926507,12393,0.30808567428806494,0.3244602574704652
1989,indirekter Migrationshintergrund,Nein,0.024146981627296588,12393,0.021444321234012104,0.02684964202058107
1990,kein Migrationshintergrund,Nein,0.7711291413116971,18165,0.7650197607668331,0.7772385218565611
1990,direkter Migrationshintergrund,Nein,0.21010818120351588,18165,0.20418379093669806,0.2160325714703337
1990,indirekter Migrationshintergrund,Nein,0.018762677484787018,18165,0.016789469762829447,0.02073588520674459
1991,kein Migrationshintergrund,Nein,0.755360972122945,17756,0.7490379653743189,0.761683978871571
1991,direkter Migrationshintergrund,Nein,0.2205146533238027,17756,0.21441638951550884,0.22661291713209658
1991,indirekter Migrationshintergrund,Nein,0.024124374553252323,17756,0.021867492984138794,0.026381256122365852
1992,kein Migrationshintergrund,Nein,0.7330789315123519,17350,0.7264967003812413,0.7396611626434626
1992,direkter Migrationshintergrund,Nein,0.23579031934123318,17350,0.2294738326630408,0.24210680601942555
1992,indirekter Migrationshintergrund,Nein,0.031130749146414942,17350,0.028546504030406226,0.03371499426242366
1993,kein Migrationshintergrund,Nein,0.7277187244480785,16993,0.7210258649861825,0.7344115839099745
1993,direkter Migrationshintergrund,Nein,0.2367130008176615,16993,0.23032189466802439,0.24310410696729862
1993,indirekter Migrationshintergrund,Nein,0.03556827473426002,16993,0.032783512076154694,0.03835303739236534
1994,kein Migrationshintergrund,Nein,0.7375356907533495,16642,0.7308510209333409,0.744220360573358
1994,direkter Migrationshintergrund,Nein,0.22029431144300463,16642,0.21399750555845848,0.22659111732755077
1994,indirekter Migrationshintergrund,Nein,0.04216999780364595,16642,0.0391164879914711,0.0452235076158208
1995,kein Migrationshintergrund,Nein,0.7252529696436427,17246,0.7185906856439702,0.7319152536433152
1995,direkter Migrationshintergrund,Nein,0.23427188737351518,17246,0.22795054570447645,0.2405932290425539
1995,indirekter Migrationshintergrund,Nein,0.040475142982842056,17246,0.037533877737769124,0.04341640822791499
1996,kein Migrationshintergrund,Nein,0.7341800861873441,16862,0.7275120709191512,0.740848101455537
1996,direkter Migrationshintergrund,Nein,0.22249943297799954,16862,0.21622150483653638,0.2287773611194627
1996,indirekter Migrationshintergrund,Nein,0.04332048083465639,16862,0.040247701302145104,0.04639326036716767
1997,kein Migrationshintergrund,Nein,0.7871740662438337,16487,0.7809261828587377,0.7934219496289296
