"plb0196_h","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Ja","1986","17-34","kein Migrationshintergrund","","","",""
"Ja","1986","17-34","direkter Migrationshintergrund","","","",""
"Ja","1986","17-34","indirekter Migrationshintergrund","","","",""
"Ja","1986","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","35-65","kein Migrationshintergrund","","","",""
"Ja","1986","35-65","direkter Migrationshintergrund","","","",""
"Ja","1986","35-65","indirekter Migrationshintergrund","","","",""
"Ja","1986","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","66 +","kein Migrationshintergrund","","","",""
"Ja","1986","66 +","direkter Migrationshintergrund","","","",""
"Ja","1986","66 +","indirekter Migrationshintergrund","","","",""
"Ja","1986","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","17-34","kein Migrationshintergrund","1230","1","1","1"
"Nein","1986","17-34","direkter Migrationshintergrund","517","1","1","1"
"Nein","1986","17-34","indirekter Migrationshintergrund","61","1","1","1"
"Nein","1986","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","35-65","kein Migrationshintergrund","1553","1","1","1"
"Nein","1986","35-65","direkter Migrationshintergrund","905","1","1","1"
"Nein","1986","35-65","indirekter Migrationshintergrund","9","","",""
"Nein","1986","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","66 +","kein Migrationshintergrund","29","","",""
"Nein","1986","66 +","direkter Migrationshintergrund","","","",""
"Nein","1986","66 +","indirekter Migrationshintergrund","","","",""
"Nein","1986","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1987","17-34","kein Migrationshintergrund","","","",""
"Ja","1987","17-34","direkter Migrationshintergrund","","","",""
"Ja","1987","17-34","indirekter Migrationshintergrund","","","",""
"Ja","1987","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1987","35-65","kein Migrationshintergrund","","","",""
"Ja","1987","35-65","direkter Migrationshintergrund","","","",""
"Ja","1987","35-65","indirekter Migrationshintergrund","","","",""
"Ja","1987","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1987","66 +","kein Migrationshintergrund","","","",""
"Ja","1987","66 +","direkter Migrationshintergrund","","","",""
"Ja","1987","66 +","indirekter Migrationshintergrund","","","",""
"Ja","1987","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1987","17-34","kein Migrationshintergrund","","","",""
"Nein","1987","17-34","direkter Migrationshintergrund","","","",""
"Nein","1987","17-34","indirekter Migrationshintergrund","","","",""
"Nein","1987","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1987","35-65","kein Migrationshintergrund","","","",""
"Nein","1987","35-65","direkter Migrationshintergrund","","","",""
"Nein","1987","35-65","indirekter Migrationshintergrund","","","",""
"Nein","1987","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1987","66 +","kein Migrationshintergrund","","","",""
"Nein","1987","66 +","direkter Migrationshintergrund","","","",""
"Nein","1987","66 +","indirekter Migrationshintergrund","","","",""
"Nein","1987","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1988","17-34","kein Migrationshintergrund","","","",""
"Ja","1988","17-34","direkter Migrationshintergrund","","","",""
"Ja","1988","17-34","indirekter Migrationshintergrund","","","",""
"Ja","1988","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1988","35-65","kein Migrationshintergrund","","","",""
"Ja","1988","35-65","direkter Migrationshintergrund","","","",""
"Ja","1988","35-65","indirekter Migrationshintergrund","","","",""
"Ja","1988","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1988","66 +","kein Migrationshintergrund","","","",""
"Ja","1988","66 +","direkter Migrationshintergrund","","","",""
"Ja","1988","66 +","indirekter Migrationshintergrund","","","",""
"Ja","1988","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1988","17-34","kein Migrationshintergrund","1108","1","1","1"
"Nein","1988","17-34","direkter Migrationshintergrund","474","1","1","1"
"Nein","1988","17-34","indirekter Migrationshintergrund","79","1","1","1"
"Nein","1988","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1988","35-65","kein Migrationshintergrund","1504","1","1","1"
"Nein","1988","35-65","direkter Migrationshintergrund","804","1","1","1"
"Nein","1988","35-65","indirekter Migrationshintergrund","10","","",""
"Nein","1988","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1988","66 +","kein Migrationshintergrund","31","1","1","1"
"Nein","1988","66 +","direkter Migrationshintergrund","","","",""
"Nein","1988","66 +","indirekter Migrationshintergrund","","","",""
"Nein","1988","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1989","17-34","kein Migrationshintergrund","","","",""
"Ja","1989","17-34","direkter Migrationshintergrund","","","",""
"Ja","1989","17-34","indirekter Migrationshintergrund","","","",""
"Ja","1989","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1989","35-65","kein Migrationshintergrund","","","",""
"Ja","1989","35-65","direkter Migrationshintergrund","","","",""
"Ja","1989","35-65","indirekter Migrationshintergrund","","","",""
"Ja","1989","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1989","66 +","kein Migrationshintergrund","","","",""
"Ja","1989","66 +","direkter Migrationshintergrund","","","",""
"Ja","1989","66 +","indirekter Migrationshintergrund","","","",""
"Ja","1989","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1989","17-34","kein Migrationshintergrund","1090","1","1","1"
"Nein","1989","17-34","direkter Migrationshintergrund","452","1","1","1"
"Nein","1989","17-34","indirekter Migrationshintergrund","88","1","1","1"
"Nein","1989","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1989","35-65","kein Migrationshintergrund","1409","1","1","1"
"Nein","1989","35-65","direkter Migrationshintergrund","758","1","1","1"
"Nein","1989","35-65","indirekter Migrationshintergrund","10","","",""
"Nein","1989","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1989","66 +","kein Migrationshintergrund","32","1","1","1"
"Nein","1989","66 +","direkter Migrationshintergrund","","","",""
"Nein","1989","66 +","indirekter Migrationshintergrund","","","",""
"Nein","1989","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1990","17-34","kein Migrationshintergrund","","","",""
"Ja","1990","17-34","direkter Migrationshintergrund","","","",""
"Ja","1990","17-34","indirekter Migrationshintergrund","","","",""
"Ja","1990","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1990","35-65","kein Migrationshintergrund","","","",""
"Ja","1990","35-65","direkter Migrationshintergrund","","","",""
"Ja","1990","35-65","indirekter Migrationshintergrund","","","",""
"Ja","1990","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1990","66 +","kein Migrationshintergrund","","","",""
"Ja","1990","66 +","direkter Migrationshintergrund","","","",""
"Ja","1990","66 +","indirekter Migrationshintergrund","","","",""
"Ja","1990","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1990","17-34","kein Migrationshintergrund","1029","1","1","1"
"Nein","1990","17-34","direkter Migrationshintergrund","427","1","1","1"
"Nein","1990","17-34","indirekter Migrationshintergrund","107","1","1","1"
"Nein","1990","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1990","35-65","kein Migrationshintergrund","1341","1","1","1"
"Nein","1990","35-65","direkter Migrationshintergrund","757","1","1","1"
"Nein","1990","35-65","indirekter Migrationshintergrund","11","","",""
"Nein","1990","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1990","66 +","kein Migrationshintergrund","27","","",""
"Nein","1990","66 +","direkter Migrationshintergrund","","","",""
"Nein","1990","66 +","indirekter Migrationshintergrund","","","",""
"Nein","1990","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1991","17-34","kein Migrationshintergrund","","","",""
"Ja","1991","17-34","direkter Migrationshintergrund","","","",""
"Ja","1991","17-34","indirekter Migrationshintergrund","","","",""
"Ja","1991","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1991","35-65","kein Migrationshintergrund","","","",""
"Ja","1991","35-65","direkter Migrationshintergrund","","","",""
"Ja","1991","35-65","indirekter Migrationshintergrund","","","",""
"Ja","1991","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1991","66 +","kein Migrationshintergrund","","","",""
"Ja","1991","66 +","direkter Migrationshintergrund","","","",""
"Ja","1991","66 +","indirekter Migrationshintergrund","","","",""
"Ja","1991","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1991","17-34","kein Migrationshintergrund","1781","1","1","1"
"Nein","1991","17-34","direkter Migrationshintergrund","421","1","1","1"
"Nein","1991","17-34","indirekter Migrationshintergrund","139","1","1","1"
"Nein","1991","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1991","35-65","kein Migrationshintergrund","2446","1","1","1"
"Nein","1991","35-65","direkter Migrationshintergrund","815","1","1","1"
"Nein","1991","35-65","indirekter Migrationshintergrund","9","","",""
"Nein","1991","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1991","66 +","kein Migrationshintergrund","32","1","1","1"
"Nein","1991","66 +","direkter Migrationshintergrund","4","","",""
"Nein","1991","66 +","indirekter Migrationshintergrund","","","",""
"Nein","1991","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1992","17-34","kein Migrationshintergrund","","","",""
"Ja","1992","17-34","direkter Migrationshintergrund","","","",""
"Ja","1992","17-34","indirekter Migrationshintergrund","","","",""
"Ja","1992","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1992","35-65","kein Migrationshintergrund","","","",""
"Ja","1992","35-65","direkter Migrationshintergrund","","","",""
"Ja","1992","35-65","indirekter Migrationshintergrund","","","",""
"Ja","1992","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1992","66 +","kein Migrationshintergrund","","","",""
"Ja","1992","66 +","direkter Migrationshintergrund","","","",""
"Ja","1992","66 +","indirekter Migrationshintergrund","","","",""
"Ja","1992","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1992","17-34","kein Migrationshintergrund","1458","1","1","1"
"Nein","1992","17-34","direkter Migrationshintergrund","405","1","1","1"
"Nein","1992","17-34","indirekter Migrationshintergrund","157","1","1","1"
"Nein","1992","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1992","35-65","kein Migrationshintergrund","2198","1","1","1"
