"plb0196_h","year","migback","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1995","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","kein Migrationshintergrund","2","","","",""
"Ja","1995","kein Migrationshintergrund","3","","","",""
"Ja","1995","kein Migrationshintergrund","4","","","",""
"Ja","1995","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","direkter Migrationshintergrund","2","","","",""
"Ja","1995","direkter Migrationshintergrund","3","","","",""
"Ja","1995","direkter Migrationshintergrund","4","","","",""
"Ja","1995","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","indirekter Migrationshintergrund","2","","","",""
"Ja","1995","indirekter Migrationshintergrund","3","","","",""
"Ja","1995","indirekter Migrationshintergrund","4","","","",""
"Ja","1995","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"Ja","1995","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"Ja","1995","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"Ja","1995","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","980","1","1","1"
"Nein","1995","kein Migrationshintergrund","2","967","1","1","1"
"Nein","1995","kein Migrationshintergrund","3","649","1","1","1"
"Nein","1995","kein Migrationshintergrund","4","456","1","1","1"
"Nein","1995","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","268","1","1","1"
"Nein","1995","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","446","1","1","1"
"Nein","1995","direkter Migrationshintergrund","2","333","1","1","1"
"Nein","1995","direkter Migrationshintergrund","3","160","1","1","1"
"Nein","1995","direkter Migrationshintergrund","4","91","1","1","1"
"Nein","1995","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","37","1","1","1"
"Nein","1995","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","80","1","1","1"
"Nein","1995","indirekter Migrationshintergrund","2","60","1","1","1"
"Nein","1995","indirekter Migrationshintergrund","3","29","","",""
"Nein","1995","indirekter Migrationshintergrund","4","20","","",""
"Nein","1995","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","6","","",""
"Nein","1995","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"Nein","1995","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"Nein","1995","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"Nein","1995","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","kein Migrationshintergrund","2","","","",""
"Ja","1996","kein Migrationshintergrund","3","","","",""
"Ja","1996","kein Migrationshintergrund","4","","","",""
"Ja","1996","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","direkter Migrationshintergrund","2","","","",""
"Ja","1996","direkter Migrationshintergrund","3","","","",""
"Ja","1996","direkter Migrationshintergrund","4","","","",""
"Ja","1996","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","indirekter Migrationshintergrund","2","","","",""
"Ja","1996","indirekter Migrationshintergrund","3","","","",""
"Ja","1996","indirekter Migrationshintergrund","4","","","",""
"Ja","1996","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"Ja","1996","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"Ja","1996","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"Ja","1996","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","861","1","1","1"
"Nein","1996","kein Migrationshintergrund","2","939","1","1","1"
"Nein","1996","kein Migrationshintergrund","3","703","1","1","1"
"Nein","1996","kein Migrationshintergrund","4","465","1","1","1"
"Nein","1996","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","300","1","1","1"
"Nein","1996","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","397","1","1","1"
"Nein","1996","direkter Migrationshintergrund","2","328","1","1","1"
"Nein","1996","direkter Migrationshintergrund","3","144","1","1","1"
"Nein","1996","direkter Migrationshintergrund","4","87","1","1","1"
"Nein","1996","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","26","","",""
"Nein","1996","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","77","1","1","1"
"Nein","1996","indirekter Migrationshintergrund","2","58","1","1","1"
"Nein","1996","indirekter Migrationshintergrund","3","36","1","1","1"
"Nein","1996","indirekter Migrationshintergrund","4","23","","",""
"Nein","1996","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","4","","",""
"Nein","1996","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"Nein","1996","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"Nein","1996","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"Nein","1996","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"Nein","1996","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","kein Migrationshintergrund","2","","","",""
"Ja","1997","kein Migrationshintergrund","3","","","",""
"Ja","1997","kein Migrationshintergrund","4","","","",""
"Ja","1997","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","direkter Migrationshintergrund","2","","","",""
"Ja","1997","direkter Migrationshintergrund","3","","","",""
"Ja","1997","direkter Migrationshintergrund","4","","","",""
"Ja","1997","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","indirekter Migrationshintergrund","2","","","",""
"Ja","1997","indirekter Migrationshintergrund","3","","","",""
"Ja","1997","indirekter Migrationshintergrund","4","","","",""
"Ja","1997","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"Ja","1997","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"Ja","1997","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"Ja","1997","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"Nein","1997","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","255","1","1","1"
"Nein","1997","kein Migrationshintergrund","2","358","1","1","1"
"Nein","1997","kein Migrationshintergrund","3","250","1","1","1"
"Nein","1997","kein Migrationshintergrund","4","181","1","1","1"
"Nein","1997","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","78","1","1","1"
"Nein","1997","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","92","1","1","1"
"Nein","1997","direkter Migrationshintergrund","2","78","1","1","1"
"Nein","1997","direkter Migrationshintergrund","3","44","1","1","1"
"Nein","1997","direkter Migrationshintergrund","4","20","","",""
"Nein","1997","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","6","","",""
"Nein","1997","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","19","","",""
"Nein","1997","indirekter Migrationshintergrund","2","19","","",""
"Nein","1997","indirekter Migrationshintergrund","3","12","","",""
"Nein","1997","indirekter Migrationshintergrund","4","11","","",""
"Nein","1997","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","2","","",""
"Nein","1997","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"Nein","1997","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"Nein","1997","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"Nein","1997","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"Nein","1997","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"Ja","1998","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","","","",""
"Ja","1998","kein Migrationshintergrund","2","","","",""
"Ja","1998","kein Migrationshintergrund","3","","","",""
"Ja","1998","kein Migrationshintergrund","4","","","",""
"Ja","1998","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","","","",""
"Ja","1998","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","","","",""
"Ja","1998","direkter Migrationshintergrund","2","","","",""
"Ja","1998","direkter Migrationshintergrund","3","","","",""
