"plb0196_h","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1986","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Ja","1986","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Ja","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Ja","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","Hauptschule","kein Migrationshintergrund","","","",""
"Ja","1986","Hauptschule","direkter Migrationshintergrund","","","",""
"Ja","1986","Hauptschule","indirekter Migrationshintergrund","","","",""
"Ja","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","Realschule","kein Migrationshintergrund","","","",""
"Ja","1986","Realschule","direkter Migrationshintergrund","","","",""
"Ja","1986","Realschule","indirekter Migrationshintergrund","","","",""
"Ja","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Ja","1986","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Ja","1986","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Ja","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","AkademikerIn","kein Migrationshintergrund","","","",""
"Ja","1986","AkademikerIn","direkter Migrationshintergrund","","","",""
"Ja","1986","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Ja","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","(noch) kein Abschluss","kein Migrationshintergrund","16","","",""
"Nein","1986","(noch) kein Abschluss","direkter Migrationshintergrund","368","1","1","1"
"Nein","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","4","1","1","1"
"Nein","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","Hauptschule","kein Migrationshintergrund","1688","","",""
"Nein","1986","Hauptschule","direkter Migrationshintergrund","791","1","1","1"
"Nein","1986","Hauptschule","indirekter Migrationshintergrund","43","1","1","1"
"Nein","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","Realschule","kein Migrationshintergrund","638","1","1","1"
"Nein","1986","Realschule","direkter Migrationshintergrund","61","1","1","1"
"Nein","1986","Realschule","indirekter Migrationshintergrund","14","","",""
"Nein","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","(Fach-)Abitur","kein Migrationshintergrund","176","","",""
"Nein","1986","(Fach-)Abitur","direkter Migrationshintergrund","110","","",""
"Nein","1986","(Fach-)Abitur","indirekter Migrationshintergrund","3","","",""
"Nein","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","AkademikerIn","kein Migrationshintergrund","267","","",""
"Nein","1986","AkademikerIn","direkter Migrationshintergrund","54","1","1","1"
"Nein","1986","AkademikerIn","indirekter Migrationshintergrund","3","","",""
"Nein","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1987","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
