year,migback,pgisced97,plb0196_h,proportion,n,lower_confidence,upper_confidence
1986,kein Migrationshintergrund,middle vocational,Nein,0.38083889418493805,13742,0.3727198747576828,0.3889579136121933
1986,kein Migrationshintergrund,general elemantary,Nein,0.14180171591992374,13742,0.1359690693205463,0.14763436251930118
1986,direkter Migrationshintergrund,middle vocational,Nein,0.11344137273593899,13742,0.1081389961862174,0.11874374928566057
1986,direkter Migrationshintergrund,general elemantary,Nein,0.1055767397521449,13742,0.10043882652804335,0.11071465297624646
1986,direkter Migrationshintergrund,inadequately,Nein,0.0776930409914204,13742,0.07321735198133895,0.08216873000150184
1986,kein Migrationshintergrund,higher education,Nein,0.06363203050524309,13742,0.059550789280534915,0.06771327172995126
1986,kein Migrationshintergrund,higher vocational,Nein,0.05052430886558627,13742,0.04686226775812826,0.054186349973044286
1986,kein Migrationshintergrund,vocational + Abi,Nein,0.014537654909437559,13742,0.012536418967369676,0.01653889085150544
1986,direkter Migrationshintergrund,vocational + Abi,Nein,0.01334604385128694,13742,0.011427420155877277,0.015264667546696604
1986,direkter Migrationshintergrund,higher education,Nein,0.012869399428026692,13742,0.010984893330815614,0.014753905525237771
1986,indirekter Migrationshintergrund,middle vocational,Nein,0.008579599618684462,13742,0.007037567088883838,0.010121632148485086
1986,kein Migrationshintergrund,inadequately,Nein,0.005243088655862726,13742,0.0040355996575069065,0.0064505776542185455
1986,indirekter Migrationshintergrund,general elemantary,Nein,0.005004766444232603,13742,0.0038248982146260797,0.0061846346738391265
1986,direkter Migrationshintergrund,higher vocational,Nein,0.004528122020972355,13742,0.0034055746997409984,0.005650669342203711
1986,indirekter Migrationshintergrund,higher education,Nein,0.0007149666348903718,13742,0.0002680580695787394,0.001161875200202004
1986,indirekter Migrationshintergrund,higher vocational,Nein,0.00047664442326024784,13742,0.00011170159737381683,0.0008415872491466789
1986,indirekter Migrationshintergrund,inadequately,Nein,0.00047664442326024784,13742,0.00011170159737381683,0.0008415872491466789
1986,kein Migrationshintergrund,in school,Nein,0.00047664442326024784,13742,0.00011170159737381683,0.0008415872491466789
1986,direkter Migrationshintergrund,in school,Nein,0.00023832221163012392,13742,-1.9762098075716322e-05,0.0004964065213359642
1988,kein Migrationshintergrund,middle vocational,Nein,0.38390331704808434,12817,0.375483585462149,0.3923230486340197
1988,kein Migrationshintergrund,general elemantary,Nein,0.1391103111339676,12817,0.13311907698116163,0.14510154528677358
1988,direkter Migrationshintergrund,general elemantary,Nein,0.11442530213422474,12817,0.10891422470325048,0.119936379565199
1988,direkter Migrationshintergrund,middle vocational,Nein,0.1108254049884289,12817,0.10539069885743295,0.11626011111942484
1988,kein Migrationshintergrund,higher education,Nein,0.07019799434301877,12817,0.06577495838093585,0.07462103030510168
1988,direkter Migrationshintergrund,inadequately,Nein,0.0673695037284649,12817,0.06302990713609218,0.07170910032083762
1988,kein Migrationshintergrund,higher vocational,Nein,0.04705579840575984,12817,0.04338970784846671,0.05072188896305296
1988,kein Migrationshintergrund,vocational + Abi,Nein,0.016199537156081256,12817,0.014013952195131234,0.018385122117031277
1988,direkter Migrationshintergrund,vocational + Abi,Nein,0.01105682694780149,12817,0.009246471706151468,0.012867182189451513
1988,indirekter Migrationshintergrund,middle vocational,Nein,0.009256878374903575,12817,0.007598912104859526,0.010914844644947623
1988,direkter Migrationshintergrund,higher education,Nein,0.008999742864489586,12817,0.0073647539463405215,0.01063473178263865
1988,direkter Migrationshintergrund,higher vocational,Nein,0.006942658781177681,12817,0.0055051419019378715,0.00838017566041749
1988,indirekter Migrationshintergrund,general elemantary,Nein,0.005914116739521728,12817,0.004586661827401497,0.00724157165164196
1988,kein Migrationshintergrund,inadequately,Nein,0.005142710208279763,12817,0.0039043719267676264,0.0063810484897919
1988,indirekter Migrationshintergrund,inadequately,Nein,0.0012856775520699408,12817,0.0006653093220606224,0.0019060457820792593
1988,kein Migrationshintergrund,in school,Nein,0.0007714065312419646,12817,0.00029074766077543534,0.0012520654017084938
1988,indirekter Migrationshintergrund,higher vocational,Nein,0.0005142710208279763,12817,0.00012176420356593088,0.0009067778380900217
1988,indirekter Migrationshintergrund,higher education,Nein,0.0005142710208279763,12817,0.00012176420356593088,0.0009067778380900217
1988,indirekter Migrationshintergrund,vocational + Abi,Nein,0.0005142710208279763,12817,0.00012176420356593088,0.0009067778380900217
