"hlf0036","year","quintil","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2009","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2009","2","Westdeutschland","50","0.0153898674456851","0.0109150516222208","0.0198646832691493"
"Ja","2009","2","Ostdeutschland","21","","",""
"Ja","2009","3","Westdeutschland","78","0.018677283375328","0.0141446163233061","0.0232099504273498"
"Ja","2009","3","Ostdeutschland","25","","",""
"Ja","2009","4","Westdeutschland","116","","",""
"Ja","2009","4","Ostdeutschland","51","0.0278328991414744","0.0179675570927308","0.037698241190218"
"Ja","2009","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2009","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2009","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2009","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2009","2","Westdeutschland","2857","","",""
"Nein","2009","2","Ostdeutschland","1287","","",""
"Nein","2009","3","Westdeutschland","3349","0.981322716624672","0.97679004957265","0.985855383676694"
"Nein","2009","3","Ostdeutschland","1315","","",""
"Nein","2009","4","Westdeutschland","4007","0.972114396026785","0.967088770342574","0.977140021710995"
"Nein","2009","4","Ostdeutschland","1017","","",""
"Nein","2009","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2009","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2010","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2010","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2010","2","Westdeutschland","139","","",""
"Ja","2010","2","Ostdeutschland","49","0.0105117567430208","0.00602183019580551","0.0150016832902361"
"Ja","2010","3","Westdeutschland","267","","",""
"Ja","2010","3","Ostdeutschland","57","0.0225443864453864","0.0152432481512314","0.0298455247395414"
"Ja","2010","4","Westdeutschland","295","","",""
"Ja","2010","4","Ostdeutschland","43","0.0274384485250099","0.01862594204808","0.0362509550019398"
"Ja","2010","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2010","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2010","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2010","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2010","2","Westdeutschland","6130","0.98954935155303","0.98703202646153","0.992066676644531"
"Nein","2010","2","Ostdeutschland","1933","","",""
"Nein","2010","3","Westdeutschland","5237","0.976783372981012","0.972804981009846","0.980761764952177"
"Nein","2010","3","Ostdeutschland","1531","","",""
"Nein","2010","4","Westdeutschland","5501","0.968478701732584","0.963980582242496","0.972976821222671"
"Nein","2010","4","Ostdeutschland","1277","","",""
"Nein","2010","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2010","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2011","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2011","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2011","2","Westdeutschland","236","","",""
"Ja","2011","2","Ostdeutschland","52","0.0234188217281292","0.0168961614704124","0.0299414819858461"
"Ja","2011","3","Westdeutschland","288","","",""
"Ja","2011","3","Ostdeutschland","59","0.0195590751042943","0.0134032703972837","0.0257148798113048"
"Ja","2011","4","Westdeutschland","473","0.0418121584429563","0.0372900329977214","0.0463342838881911"
"Ja","2011","4","Ostdeutschland","54","0.0313368867249574","0.0229277373300637","0.039746036119851"
"Ja","2011","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2011","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2011","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2011","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2011","2","Westdeutschland","6832","0.97506182391152","0.9714264570779","0.978697190745139"
"Nein","2011","2","Ostdeutschland","2013","","",""
"Nein","2011","3","Westdeutschland","6403","0.971096148200592","0.967081832234569","0.975110464166615"
"Nein","2011","3","Ostdeutschland","1885","","",""
"Nein","2011","4","Westdeutschland","7053","0.958187841557044","0.953665716111809","0.962709967002279"
"Nein","2011","4","Ostdeutschland","1595","","",""
"Nein","2011","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2011","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2012","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2012","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2012","2","Westdeutschland","199","","",""
"Ja","2012","2","Ostdeutschland","38","0.0130436749454364","0.00809576989109871","0.0179915799997741"
"Ja","2012","3","Westdeutschland","262","","",""
"Ja","2012","3","Ostdeutschland","55","0.0234168485296923","0.016777686333137","0.0300560107262477"
"Ja","2012","4","Westdeutschland","500","0.0496956954585","0.0448015578619839","0.0545898330550162"
"Ja","2012","4","Ostdeutschland","68","0.0467888790346924","0.0365710255488852","0.0570067325204996"
"Ja","2012","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2012","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2012","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2012","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2012","2","Westdeutschland","6291","0.967218992732804","0.962886884508179","0.971551100957429"
"Nein","2012","2","Ostdeutschland","1982","","",""
"Nein","2012","3","Westdeutschland","6509","0.976013408253277","0.972368942715861","0.979657873790692"
"Nein","2012","3","Ostdeutschland","1938","","",""
"Nein","2012","4","Westdeutschland","7074","0.9503043045415","0.945410166944984","0.955198442138016"
"Nein","2012","4","Ostdeutschland","1573","","",""
"Nein","2012","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2012","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2013","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2013","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2013","2","Westdeutschland","203","","",""
"Ja","2013","2","Ostdeutschland","43","0.020095770245992","0.013980800760445","0.0262107397315389"
"Ja","2013","3","Westdeutschland","287","","",""
