"year","regtyp","sex","mean","median","n","lower_confidence","upper_confidence"
"2002","Laendlicher Raum","maennlich","81.91","79.5","3778","81.49","82.33"
"2002","Laendlicher Raum","weiblich","68.32","66.5","3935","67.92","68.72"
"2002","Staedtischer Raum","maennlich","81.91","79.5","7307","81.6","82.22"
"2002","Staedtischer Raum","weiblich","67.42","64.5","7811","67.14","67.7"
"2003","Laendlicher Raum","maennlich","","","","",""
"2003","Laendlicher Raum","weiblich","","","","",""
"2003","Staedtischer Raum","maennlich","","","","",""
"2003","Staedtischer Raum","weiblich","","","","",""
"2004","Laendlicher Raum","maennlich","82.48","79.5","3509","82.02","82.94"
"2004","Laendlicher Raum","weiblich","69.29","67.5","3705","68.86","69.72"
"2004","Staedtischer Raum","maennlich","82.39","79.5","6808","82.06","82.72"
"2004","Staedtischer Raum","weiblich","68.05","65.5","7355","67.76","68.34"
"2005","Laendlicher Raum","maennlich","","","","",""
"2005","Laendlicher Raum","weiblich","","","","",""
"2005","Staedtischer Raum","maennlich","","","","",""
"2005","Staedtischer Raum","weiblich","","","","",""
"2006","Laendlicher Raum","maennlich","84","81.5","3593","83.53","84.47"
"2006","Laendlicher Raum","weiblich","70.15","67.5","3895","69.72","70.58"
"2006","Staedtischer Raum","maennlich","83.23","80.5","6826","82.9","83.56"
"2006","Staedtischer Raum","weiblich","68.45","65.5","7447","68.14","68.76"
"2007","Laendlicher Raum","maennlich","","","","",""
"2007","Laendlicher Raum","weiblich","","","","",""
"2007","Staedtischer Raum","maennlich","","","","",""
"2007","Staedtischer Raum","weiblich","","","","",""
"2008","Laendlicher Raum","maennlich","85","82.5","3210","84.51","85.49"
"2008","Laendlicher Raum","weiblich","70.45","68.5","3411","69.98","70.92"
"2008","Staedtischer Raum","maennlich","84.14","81.5","5958","83.77","84.51"
"2008","Staedtischer Raum","weiblich","68.95","66.5","6535","68.62","69.28"
"2009","Laendlicher Raum","maennlich","","","","",""
"2009","Laendlicher Raum","weiblich","","","","",""
"2009","Staedtischer Raum","maennlich","","","","",""
"2009","Staedtischer Raum","weiblich","","","","",""
"2010","Laendlicher Raum","maennlich","85.72","83.5","2772","85.18","86.26"
"2010","Laendlicher Raum","weiblich","70.72","68.5","2938","70.21","71.23"
"2010","Staedtischer Raum","maennlich","84.82","81.5","5121","84.4","85.24"
"2010","Staedtischer Raum","weiblich","69.58","66.5","5646","69.22","69.94"
"2011","Laendlicher Raum","maennlich","","","","",""
"2011","Laendlicher Raum","weiblich","","","","",""
"2011","Staedtischer Raum","maennlich","","","","",""
"2011","Staedtischer Raum","weiblich","","","","",""
"2012","Laendlicher Raum","maennlich","86.07","84.5","3528","85.58","86.56"
"2012","Laendlicher Raum","weiblich","71.33","69.5","3817","70.87","71.79"
"2012","Staedtischer Raum","maennlich","84.8","82.5","6076","84.42","85.18"
"2012","Staedtischer Raum","weiblich","69.41","66.5","6803","69.07","69.75"
"2013","Laendlicher Raum","maennlich","","","","",""
"2013","Laendlicher Raum","weiblich","","","","",""
"2013","Staedtischer Raum","maennlich","","","","",""
"2013","Staedtischer Raum","weiblich","","","","",""
"2014","Laendlicher Raum","maennlich","86.27","84.5","4368","85.81","86.73"
"2014","Laendlicher Raum","weiblich","71.49","69.5","4978","71.06","71.92"
"2014","Staedtischer Raum","maennlich","85.31","82.5","7998","84.98","85.64"
"2014","Staedtischer Raum","weiblich","69.71","66.5","9369","69.41","70.01"
"2015","Laendlicher Raum","maennlich","","","","",""
"2015","Laendlicher Raum","weiblich","","","","",""
"2015","Staedtischer Raum","maennlich","","","","",""
"2015","Staedtischer Raum","weiblich","","","","",""
"2016","Laendlicher Raum","maennlich","87.01","84.5","3914","86.51","87.51"
"2016","Laendlicher Raum","weiblich","71.82","69.5","4472","71.35","72.29"
"2016","Staedtischer Raum","maennlich","85.82","83.5","7068","85.45","86.19"
"2016","Staedtischer Raum","weiblich","70.4","67.5","8318","70.06","70.74"
"2017","Laendlicher Raum","maennlich","","","","",""
"2017","Laendlicher Raum","weiblich","","","","",""
"2017","Staedtischer Raum","maennlich","","","","",""
"2017","Staedtischer Raum","weiblich","","","","",""
"2018","Laendlicher Raum","maennlich","87.72","84.5","4650","87.25","88.19"
"2018","Laendlicher Raum","weiblich","72.6","69.5","5010","72.16","73.04"
"2018","Staedtischer Raum","maennlich","86.06","83.5","8935","85.72","86.4"
"2018","Staedtischer Raum","weiblich","70.62","67.5","9620","70.3","70.94"
"2019","Laendlicher Raum","maennlich","","","","",""
"2019","Laendlicher Raum","weiblich","","","","",""
"2019","Staedtischer Raum","maennlich","","","","",""
"2019","Staedtischer Raum","weiblich","","","","",""
"2020","Laendlicher Raum","maennlich","87.77","84.5","4155","87.26","88.28"
"2020","Laendlicher Raum","weiblich","73.21","69.5","4422","72.72","73.7"
"2020","Staedtischer Raum","maennlich","86.94","84.5","8068","86.58","87.3"
"2020","Staedtischer Raum","weiblich","71.5","68.5","8724","71.16","71.84"
