"year","migback","sampreg","mean","median","n","lower_confidence","upper_confidence"
"2002","direkter Migrationshintergrund","Ostdeutschland","73.5","72","115","71.16","75.84"
"2002","direkter Migrationshintergrund","Westdeutschland","73.41","72.5","2669","72.87","73.95"
"2002","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2002","indirekter Migrationshintergrund","Westdeutschland","69.62","68.5","744","68.57","70.67"
"2002","kein Migrationshintergrund","Ostdeutschland","74.87","73.5","5258","74.47","75.27"
"2002","kein Migrationshintergrund","Westdeutschland","75.02","73.5","14022","74.77","75.27"
"2003","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2003","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2003","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2003","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2003","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2003","kein Migrationshintergrund","Westdeutschland","","","","",""
"2004","direkter Migrationshintergrund","Ostdeutschland","75.38","74.5","99","72.72","78.04"
"2004","direkter Migrationshintergrund","Westdeutschland","74.13","73.5","2410","73.55","74.71"
"2004","indirekter Migrationshintergrund","Ostdeutschland","71.62","69","33","65.26","77.98"
"2004","indirekter Migrationshintergrund","Westdeutschland","71.29","69.5","753","70.32","72.26"
"2004","kein Migrationshintergrund","Ostdeutschland","75.31","74.5","5055","74.89","75.73"
"2004","kein Migrationshintergrund","Westdeutschland","75.7","74.5","13027","75.43","75.97"
"2005","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2005","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2005","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2005","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2005","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2005","kein Migrationshintergrund","Westdeutschland","","","","",""
"2006","direkter Migrationshintergrund","Ostdeutschland","74.03","74.5","109","71.17","76.89"
"2006","direkter Migrationshintergrund","Westdeutschland","74.71","74.5","2259","74.1","75.32"
"2006","indirekter Migrationshintergrund","Ostdeutschland","79.91","74.5","39","73.34","86.48"
"2006","indirekter Migrationshintergrund","Westdeutschland","72.87","70.5","772","71.76","73.98"
"2006","kein Migrationshintergrund","Ostdeutschland","76.23","74.5","5094","75.81","76.65"
"2006","kein Migrationshintergrund","Westdeutschland","76.49","74.5","13488","76.22","76.76"
"2007","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2007","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2007","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2007","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2007","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2007","kein Migrationshintergrund","Westdeutschland","","","","",""
"2008","direkter Migrationshintergrund","Ostdeutschland","73.76","74.5","79","70.19","77.33"
"2008","direkter Migrationshintergrund","Westdeutschland","75.42","74.5","1814","74.71","76.13"
"2008","indirekter Migrationshintergrund","Ostdeutschland","75.09","72.5","42","69.33","80.85"
"2008","indirekter Migrationshintergrund","Westdeutschland","73.32","71.5","720","72.21","74.43"
"2008","kein Migrationshintergrund","Ostdeutschland","76.69","74.5","4621","76.25","77.13"
"2008","kein Migrationshintergrund","Westdeutschland","77.31","74.5","11838","77.01","77.61"
"2009","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2009","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2009","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2009","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2009","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2009","kein Migrationshintergrund","Westdeutschland","","","","",""
"2010","direkter Migrationshintergrund","Ostdeutschland","71.54","69.5","62","68.18","74.9"
"2010","direkter Migrationshintergrund","Westdeutschland","75.83","74.5","1396","74.99","76.67"
"2010","indirekter Migrationshintergrund","Ostdeutschland","79.46","75.5","37","73.51","85.41"
"2010","indirekter Migrationshintergrund","Westdeutschland","75.06","72.5","612","73.81","76.31"
"2010","kein Migrationshintergrund","Ostdeutschland","77.68","75.5","3998","77.2","78.16"
"2010","kein Migrationshintergrund","Westdeutschland","77.85","74.5","10372","77.53","78.17"
"2011","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2011","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2011","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2011","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2011","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2011","kein Migrationshintergrund","Westdeutschland","","","","",""
"2012","direkter Migrationshintergrund","Ostdeutschland","75.66","74.5","98","72.73","78.59"
"2012","direkter Migrationshintergrund","Westdeutschland","75.39","74.5","1827","74.68","76.1"
"2012","indirekter Migrationshintergrund","Ostdeutschland","77.64","71.5","45","71.99","83.29"
