syear,quintil_oecd,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,1. Quintil,West,,,,,,,,,,,,
1984,2. Quintil,West,,,,,,,,,,,,
1985,1. Quintil,West,,,,,,,,,,,,
1985,2. Quintil,West,,,,,,,,,,,,
1986,1. Quintil,West,,,,,,,,,,,,
1986,2. Quintil,West,,,,,,,,,,,,
1987,1. Quintil,West,,,,,,,,,,,,
1987,2. Quintil,West,,,,,,,,,,,,
1988,1. Quintil,West,,,,,,,,,,,,
1988,2. Quintil,West,,,,,,,,,,,,
1989,1. Quintil,West,,,,,,,,,,,,
1989,2. Quintil,West,,,,,,,,,,,,
1990,1. Quintil,West,,,,,,,,,,,,
1990,1. Quintil,East,,,,,,,,,,,,
1990,2. Quintil,West,,,,,,,,,,,,
1990,2. Quintil,East,,,,,,,,,,,,
1991,1. Quintil,West,,,,,,,,,,,,
1991,1. Quintil,East,,,,,,,,,,,,
1991,2. Quintil,West,,,,,,,,,,,,
1991,2. Quintil,East,,,,,,,,,,,,
1992,1. Quintil,West,,,,,,,,,,,,
1992,1. Quintil,East,,,,,,,,,,,,
1992,2. Quintil,West,,,,,,,,,,,,
1992,2. Quintil,East,,,,,,,,,,,,
1993,1. Quintil,West,,,,,,,,,,,,
1993,1. Quintil,East,,,,,,,,,,,,
1993,2. Quintil,West,,,,,,,,,,,,
1993,2. Quintil,East,,,,,,,,,,,,
1994,1. Quintil,West,,,,,,,,,,,,
1994,1. Quintil,East,,,,,,,,,,,,
1994,2. Quintil,West,,,,,,,,,,,,
1994,2. Quintil,East,,,,,,,,,,,,
1995,2. Quintil,West,,,,,,,,,,,,
1995,2. Quintil,East,,,,,,,,,,,,
1995,3. Quintil,West,,,,,,,,,,,,
1995,3. Quintil,East,,,,,,,,,,,,
1995,4. Quintil,West,,,,,,,,,,,,
1995,4. Quintil,East,,,,,,,,,,,,
1995,5. Quintil,West,,,,,,,,,,,,
1995,5. Quintil,East,,,,,,,,,,,,
1996,2. Quintil,West,,,,,,,,,,,,
1996,2. Quintil,East,,,,,,,,,,,,
1996,3. Quintil,West,,,,,,,,,,,,
1996,3. Quintil,East,,,,,,,,,,,,
1996,4. Quintil,West,,,,,,,,,,,,
1996,4. Quintil,East,,,,,,,,,,,,
1996,5. Quintil,West,,,,,,,,,,,,
1996,5. Quintil,East,,,,,,,,,,,,
1997,2. Quintil,West,,,,,,,,,,,,
1997,2. Quintil,East,,,,,,,,,,,,
1997,3. Quintil,West,,,,,,,,,,,,
1997,3. Quintil,East,,,,,,,,,,,,
1997,4. Quintil,West,,,,,,,,,,,,
1997,4. Quintil,East,,,,,,,,,,,,
1997,5. Quintil,West,,,,,,,,,,,,
1997,5. Quintil,East,,,,,,,,,,,,
1998,2. Quintil,West,,,,,,,,,,,,
1998,2. Quintil,East,,,,,,,,,,,,
1998,3. Quintil,West,,,,,,,,,,,,
1998,3. Quintil,East,,,,,,,,,,,,
1998,4. Quintil,West,,,,,,,,,,,,
1998,4. Quintil,East,,,,,,,,,,,,
1998,5. Quintil,West,,,,,,,,,,,,
1998,5. Quintil,East,,,,,,,,,,,,
1999,2. Quintil,West,,,,,,,,,,,,
1999,2. Quintil,East,,,,,,,,,,,,
1999,3. Quintil,West,,,,,,,,,,,,
1999,3. Quintil,East,,,,,,,,,,,,
1999,4. Quintil,West,,,,,,,,,,,,
1999,4. Quintil,East,,,,,,,,,,,,
1999,5. Quintil,West,,,,,,,,,,,,
1999,5. Quintil,East,,,,,,,,,,,,
2000,2. Quintil,West,,,,,,,,,,,,
2000,2. Quintil,East,,,,,,,,,,,,
2000,3. Quintil,West,,,,,,,,,,,,
2000,3. Quintil,East,,,,,,,,,,,,
2000,4. Quintil,West,,,,,,,,,,,,
2000,4. Quintil,East,,,,,,,,,,,,
2000,5. Quintil,West,,,,,,,,,,,,
2000,5. Quintil,East,,,,,,,,,,,,
2001,2. Quintil,West,,,,,,,,,,,,
2001,2. Quintil,East,,,,,,,,,,,,
2001,3. Quintil,West,,,,,,,,,,,,
2001,3. Quintil,East,,,,,,,,,,,,
2001,4. Quintil,West,,,,,,,,,,,,
2001,4. Quintil,East,,,,,,,,,,,,
2001,5. Quintil,West,,,,,,,,,,,,
2001,5. Quintil,East,,,,,,,,,,,,
2002,2. Quintil,West,73.5393679040051,73.27540490524956,73.80333090276065,63.0,72.0,82.0,39.0,110.5,72.0,71.0,73.0,2938.0
2002,2. Quintil,East,74.37734593428586,73.98136550874945,74.77332635982226,64.0,74.0,83.0,36.0,111.5,74.0,73.0,76.0,1366.0
2002,3. Quintil,West,74.49766663458989,74.28961124742118,74.7057220217586,64.0,74.0,83.0,39.0,111.5,74.0,73.0,75.0,4656.0
2002,3. Quintil,East,74.72569988498593,74.42300950357645,75.0283902663954,65.0,74.0,84.0,40.0,112.5,74.0,73.0,75.0,2001.0
2002,4. Quintil,West,75.32104960498265,75.1125153314734,75.52958387849189,65.0,75.0,85.0,35.0,115.0,75.0,75.0,76.0,4616.0
2002,4. Quintil,East,75.48389145835343,75.11801321429466,75.84976970241219,65.0,75.0,84.0,41.0,112.5,75.0,75.0,76.0,1341.0
2002,5. Quintil,West,74.82673815038251,74.63176958686628,75.02170671389874,64.0,74.0,84.0,36.0,114.0,74.0,73.0,75.0,5225.0
2002,5. Quintil,East,74.87789821271565,74.34899936844154,75.40679705698976,64.0,74.0,84.0,43.0,114.0,74.0,73.0,76.0,688.0
2003,2. Quintil,West,,,,,,,,,,,,
2003,2. Quintil,East,,,,,,,,,,,,
2003,3. Quintil,West,,,,,,,,,,,,
2003,3. Quintil,East,,,,,,,,,,,,
2003,4. Quintil,West,,,,,,,,,,,,
2003,4. Quintil,East,,,,,,,,,,,,
2003,5. Quintil,West,,,,,,,,,,,,
2003,5. Quintil,East,,,,,,,,,,,,
2004,2. Quintil,West,74.4923457963476,74.18869914030833,74.79599245238688,64.0,73.0,83.0,35.5,111.5,73.0,72.0,74.0,2546.0
2004,2. Quintil,East,74.99583288910152,74.56795386552825,75.42371191267479,64.0,73.0,85.0,37.0,116.5,73.0,71.0,74.0,1309.0
2004,3. Quintil,West,75.05480229013476,74.84003344485967,75.26957113540985,65.0,75.0,84.0,36.5,112.5,75.0,75.0,77.0,4433.0
2004,3. Quintil,East,75.04210344894902,74.72864942584664,75.3555574720514,65.0,75.0,85.0,38.0,115.0,75.0,75.0,77.0,1806.0
2004,4. Quintil,West,75.9213036963036,75.69907244182065,76.14353495078655,65.0,75.0,85.0,38.0,115.0,75.0,75.0,76.0,4355.0
2004,4. Quintil,East,75.96654934263235,75.588928004961,76.34417068030369,65.0,75.0,85.0,40.0,115.0,75.0,74.0,76.0,1384.0
2004,5. Quintil,West,75.49225535765697,75.28849882834464,75.6960118869693,65.0,74.0,85.0,38.0,115.0,74.0,73.0,74.025,4856.0
2004,5. Quintil,East,75.17615234329902,74.63738177345604,75.714922913142,65.0,74.0,85.0,44.0,115.0,74.0,72.0,76.0,688.0
2005,2. Quintil,West,,,,,,,,,,,,
2005,2. Quintil,East,,,,,,,,,,,,
2005,3. Quintil,West,,,,,,,,,,,,
2005,3. Quintil,East,,,,,,,,,,,,
2005,4. Quintil,West,,,,,,,,,,,,
2005,4. Quintil,East,,,,,,,,,,,,
2005,5. Quintil,West,,,,,,,,,,,,
2005,5. Quintil,East,,,,,,,,,,,,
2006,2. Quintil,West,74.81267239676016,74.51784929239605,75.10749550112428,64.0,73.0,84.0,35.0,114.0,73.0,72.0,74.0,2603.0
2006,2. Quintil,East,75.87392563895958,75.46022089602798,76.28763038189118,65.0,75.0,85.0,37.0,115.0,75.0,75.0,76.025,1346.0
2006,3. Quintil,West,76.06719099885495,75.83382525700158,76.30055674070833,65.0,75.0,85.0,35.0,115.0,75.0,75.0,75.0,4315.0
2006,3. Quintil,East,76.48771600833177,76.12847340261894,76.84695861404461,65.0,75.0,85.0,41.0,115.0,75.0,73.0,75.025,1738.0
2006,4. Quintil,West,76.5535750112092,76.33394103279727,76.77320898962114,65.0,75.0,85.0,41.0,115.0,75.0,75.0,75.0,4581.0
2006,4. Quintil,East,76.0703970358745,75.70254685978122,76.43824721196779,65.0,75.0,85.0,40.0,115.0,75.0,75.0,76.025,1520.0
2006,5. Quintil,West,76.39690035571103,76.1869528382631,76.60684787315896,65.0,75.0,85.0,40.0,115.0,75.0,74.0,75.0,5020.0
2006,5. Quintil,East,76.56672338173856,75.99962444167552,77.13382232180159,65.0,76.0,86.0,47.0,117.5,76.0,74.0,80.0,638.0
2007,1. Quintil,West,,,,,,,,,,,,
2007,1. Quintil,East,,,,,,,,,,,,
2007,2. Quintil,West,,,,,,,,,,,,
2007,2. Quintil,East,,,,,,,,,,,,
2007,3. Quintil,West,,,,,,,,,,,,
2007,3. Quintil,East,,,,,,,,,,,,
2007,4. Quintil,West,,,,,,,,,,,,
