"year","age_gr","migback","mean","median","n","lower_confidence","upper_confidence"
"2002","17-34","direkter Migrationshintergrund","69.84","69.5","732","68.83","70.85"
"2002","17-34","indirekter Migrationshintergrund","69.05","67.5","625","67.88","70.22"
"2002","17-34","kein Migrationshintergrund","72.1","69.5","4715","71.67","72.53"
"2002","35-65","direkter Migrationshintergrund","75.07","74.5","1706","74.4","75.74"
"2002","35-65","indirekter Migrationshintergrund","71.89","71","128","69.57","74.21"
"2002","35-65","kein Migrationshintergrund","76.75","74.5","11359","76.47","77.03"
"2002","66 +","direkter Migrationshintergrund","73.7","72.5","346","72.43","74.97"
"2002","66 +","indirekter Migrationshintergrund","","","","",""
"2002","66 +","kein Migrationshintergrund","73.63","72.5","3206","73.17","74.09"
"2003","17-34","direkter Migrationshintergrund","","","","",""
"2003","17-34","indirekter Migrationshintergrund","","","","",""
"2003","17-34","kein Migrationshintergrund","","","","",""
"2003","35-65","direkter Migrationshintergrund","","","","",""
"2003","35-65","indirekter Migrationshintergrund","","","","",""
"2003","35-65","kein Migrationshintergrund","","","","",""
"2003","66 +","direkter Migrationshintergrund","","","","",""
"2003","66 +","indirekter Migrationshintergrund","","","","",""
"2003","66 +","kein Migrationshintergrund","","","","",""
"2004","17-34","direkter Migrationshintergrund","70.12","69.5","618","69","71.24"
"2004","17-34","indirekter Migrationshintergrund","70.65","69.5","625","69.57","71.73"
"2004","17-34","kein Migrationshintergrund","72.48","69.5","4295","72.02","72.94"
"2004","35-65","direkter Migrationshintergrund","75.86","74.5","1534","75.13","76.59"
"2004","35-65","indirekter Migrationshintergrund","73.66","75.5","150","71.43","75.89"
"2004","35-65","kein Migrationshintergrund","77.45","75.5","10443","77.15","77.75"
"2004","66 +","direkter Migrationshintergrund","74.51","74.5","357","73.19","75.83"
"2004","66 +","indirekter Migrationshintergrund","","","","",""
"2004","66 +","kein Migrationshintergrund","74.33","73.5","3344","73.87","74.79"
"2005","17-34","direkter Migrationshintergrund","","","","",""
"2005","17-34","indirekter Migrationshintergrund","","","","",""
"2005","17-34","kein Migrationshintergrund","","","","",""
"2005","35-65","direkter Migrationshintergrund","","","","",""
"2005","35-65","indirekter Migrationshintergrund","","","","",""
"2005","35-65","kein Migrationshintergrund","","","","",""
"2005","66 +","direkter Migrationshintergrund","","","","",""
"2005","66 +","indirekter Migrationshintergrund","","","","",""
"2005","66 +","kein Migrationshintergrund","","","","",""
"2006","17-34","direkter Migrationshintergrund","71.23","69.5","534","69.98","72.48"
"2006","17-34","indirekter Migrationshintergrund","72.95","69.5","616","71.63","74.27"
"2006","17-34","kein Migrationshintergrund","73.41","71.5","3922","72.92","73.9"
"2006","35-65","direkter Migrationshintergrund","75.61","74.5","1449","74.85","76.37"
"2006","35-65","indirekter Migrationshintergrund","74.05","74.5","182","72.07","76.03"
"2006","35-65","kein Migrationshintergrund","78.26","76.5","10673","77.95","78.57"
"2006","66 +","direkter Migrationshintergrund","76.92","75.5","385","75.47","78.37"
"2006","66 +","indirekter Migrationshintergrund","","","","",""
"2006","66 +","kein Migrationshintergrund","75.02","74.5","3987","74.58","75.46"
"2007","17-34","direkter Migrationshintergrund","","","","",""
"2007","17-34","indirekter Migrationshintergrund","","","","",""
"2007","17-34","kein Migrationshintergrund","","","","",""
"2007","35-65","direkter Migrationshintergrund","","","","",""
"2007","35-65","indirekter Migrationshintergrund","","","","",""
"2007","35-65","kein Migrationshintergrund","","","","",""
"2007","66 +","direkter Migrationshintergrund","","","","",""
"2007","66 +","indirekter Migrationshintergrund","","","","",""
"2007","66 +","kein Migrationshintergrund","","","","",""
"2008","17-34","direkter Migrationshintergrund","71.54","69.5","365","70","73.08"
"2008","17-34","indirekter Migrationshintergrund","72.53","71.5","559","71.22","73.84"
"2008","17-34","kein Migrationshintergrund","73.67","71.5","3367","73.14","74.2"
"2008","35-65","direkter Migrationshintergrund","76.3","74.5","1161","75.4","77.2"
"2008","35-65","indirekter Migrationshintergrund","76.58","76.5","192","74.62","78.54"
"2008","35-65","kein Migrationshintergrund","79.18","77.5","9215","78.84","79.52"
"2008","66 +","direkter Migrationshintergrund","76.93","74.5","367","75.5","78.36"
"2008","66 +","indirekter Migrationshintergrund","","","","",""
"2008","66 +","kein Migrationshintergrund","75.84","74.5","3877","75.39","76.29"
"2009","17-34","direkter Migrationshintergrund","","","","",""
"2009","17-34","indirekter Migrationshintergrund","","","","",""
"2009","17-34","kein Migrationshintergrund","","","","",""
"2009","35-65","direkter Migrationshintergrund","","","","",""
"2009","35-65","indirekter Migrationshintergrund","","","","",""
"2009","35-65","kein Migrationshintergrund","","","","",""
"2009","66 +","direkter Migrationshintergrund","","","","",""
"2009","66 +","indirekter Migrationshintergrund","","","","",""
"2009","66 +","kein Migrationshintergrund","","","","",""
"2010","17-34","direkter Migrationshintergrund","72.53","72.5","237","70.56","74.5"
"2010","17-34","indirekter Migrationshintergrund","74.78","71.5","440","73.25","76.31"
"2010","17-34","kein Migrationshintergrund","74.43","71.5","2839","73.83","75.03"
"2010","35-65","direkter Migrationshintergrund","76.74","74.5","909","75.68","77.8"
"2010","35-65","indirekter Migrationshintergrund","76.94","77","203","74.92","78.96"
"2010","35-65","kein Migrationshintergrund","80.24","77.5","7873","79.86","80.62"
"2010","66 +","direkter Migrationshintergrund","75.25","73.5","312","73.65","76.85"
"2010","66 +","indirekter Migrationshintergrund","","","","",""
"2010","66 +","kein Migrationshintergrund","75.78","74.5","3658","75.31","76.25"
"2011","17-34","direkter Migrationshintergrund","","","","",""
"2011","17-34","indirekter Migrationshintergrund","","","","",""
"2011","17-34","kein Migrationshintergrund","","","","",""
"2011","35-65","direkter Migrationshintergrund","","","","",""
"2011","35-65","indirekter Migrationshintergrund","","","","",""
"2011","35-65","kein Migrationshintergrund","","","","",""
"2011","66 +","direkter Migrationshintergrund","","","","",""
"2011","66 +","indirekter Migrationshintergrund","","","","",""
"2011","66 +","kein Migrationshintergrund","","","","",""
