"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median","NA"
"2002","direkter Migrationshintergrund","73.41","72.5","2784","56","63","82","90","110","72.89","73.93","39","175","72","74",""
"2002","indirekter Migrationshintergrund","69.7","68.5","767","53","60","79","88","105","68.66","70.74","36","172","67","70",""
"2002","kein Migrationshintergrund","74.99","73.5","19280","57","64","84","95","117","74.78","75.2","34","180","74","74",""
"2002","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","","",""
"2003","direkter Migrationshintergrund","","","","","","","","","","","","","","",""
"2003","indirekter Migrationshintergrund","","","","","","","","","","","","","","",""
"2003","kein Migrationshintergrund","","","","","","","","","","","","","","",""
"2003","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","","",""
"2004","direkter Migrationshintergrund","74.17","73.5","2509","56","64","83","92","112","73.6","74.74","32","163","73","75",""
"2004","indirekter Migrationshintergrund","71.3","69.5","786","54","60","80","90","105","70.34","72.26","38","120","68","70",""
"2004","kein Migrationshintergrund","75.62","74.5","18082","57","65","85","95","120","75.39","75.85","32","210","74","75",""
"2004","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","","",""
"2005","direkter Migrationshintergrund","","","","","","","","","","","","","","",""
"2005","indirekter Migrationshintergrund","","","","","","","","","","","","","","",""
"2005","kein Migrationshintergrund","","","","","","","","","","","","","","",""
"2005","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","","",""
"2006","direkter Migrationshintergrund","74.68","74.5","2368","57","64","84","93","119","74.08","75.28","35","155","74","75",""
"2006","indirekter Migrationshintergrund","73.1","71.5","811","54","61","82","92","115","72","74.2","37","200","70","72",""
"2006","kein Migrationshintergrund","76.44","74.5","18582","58","65","85","97","122","76.21","76.67","33","200","75","75",""
"2006","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","","",""
"2007","direkter Migrationshintergrund","","","","","","","","","","","","","","",""
"2007","indirekter Migrationshintergrund","","","","","","","","","","","","","","",""
"2007","kein Migrationshintergrund","","","","","","","","","","","","","","",""
"2007","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","","",""
"2008","direkter Migrationshintergrund","75.37","74.5","1893","57","65","84","95","120","74.68","76.06","35","180","74","75",""
"2008","indirekter Migrationshintergrund","73.39","71.5","762","53","62","84","95","110","72.3","74.48","38","158","70","74",""
"2008","kein Migrationshintergrund","77.18","74.5","16459","58","65","86","98","125","76.93","77.43","35","230","75","75",""
"2008","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","","",""
"2009","direkter Migrationshintergrund","","","","","","","","","","","","","","",""
"2009","indirekter Migrationshintergrund","","","","","","","","","","","","","","",""
"2009","kein Migrationshintergrund","","","","","","","","","","","","","","",""
"2009","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","","",""
"2010","direkter Migrationshintergrund","75.71","74.5","1458","56","65","85","93","125","74.9","76.52","35","175","74","75",""
"2010","indirekter Migrationshintergrund","75.27","72.5","649","54","63","85","100","120","74.05","76.49","39","125","70","75",""
"2010","kein Migrationshintergrund","77.81","74.5","14370","58","65","87","100","130","77.54","78.08","36","250","75","76",""
"2010","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","","",""
"2011","direkter Migrationshintergrund","","","","","","","","","","","","","","",""
"2011","indirekter Migrationshintergrund","","","","","","","","","","","","","","",""
"2011","kein Migrationshintergrund","","","","","","","","","","","","","","",""
"2011","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","","",""
"2012","direkter Migrationshintergrund","75.4","74.5","1925","56","65","85","95","115","74.71","76.09","35","156","74","75",""
"2012","indirekter Migrationshintergrund","75.21","73.5","784","54","62","87","99","130","74.05","76.37","30","142","71","75",""
"2012","kein Migrationshintergrund","77.99","75.5","17515","58","65","88","100","130","77.74","78.24","30","225","76","76",""
"2012","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","","",""
"2013","direkter Migrationshintergrund","","","","","","","","","","","","","","",""
"2013","indirekter Migrationshintergrund","","","","","","","","","","","","","","",""
"2013","kein Migrationshintergrund","","","","","","","","","","","","","","",""
"2013","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","","",""
"2014","direkter Migrationshintergrund","75.47","74.5","5062","56","64","85","96","120","75.02","75.92","35","170","74","75",""
"2014","indirekter Migrationshintergrund","75.71","73.5","1750","55","63","87","98","120","74.89","76.53","30","200","73","75",""
"2014","kein Migrationshintergrund","78.37","76.5","19901","58","65","88","100","130","78.13","78.61","30","225","76","77",""
"2014","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","","",""
"2015","direkter Migrationshintergrund","","","","","","","","","","","","","","",""
"2015","indirekter Migrationshintergrund","","","","","","","","","","","","","","",""
"2015","kein Migrationshintergrund","","","","","","","","","","","","","","",""
