"year","age_gr","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2002","17-34","71.51","69.5","6072","71.14","71.88"
"2002","35-65","76.47","74.5","13193","76.21","76.73"
"2002","66 +","73.64","72.5","3566","73.21","74.07"
"2003","17-34","","","","",""
"2003","35-65","","","","",""
"2003","66 +","","","","",""
"2004","17-34","71.95","69.5","5538","71.56","72.34"
"2004","35-65","77.18","75.5","12127","76.9","77.46"
"2004","66 +","74.34","73.5","3712","73.9","74.78"
"2005","17-34","","","","",""
"2005","35-65","","","","",""
"2005","66 +","","","","",""
"2006","17-34","73.04","70.5","5072","72.61","73.47"
"2006","35-65","77.82","75.5","12304","77.54","78.1"
"2006","66 +","75.17","74.5","4385","74.75","75.59"
"2007","17-34","","","","",""
"2007","35-65","","","","",""
"2007","66 +","","","","",""
"2008","17-34","73.24","71.5","4291","72.77","73.71"
"2008","35-65","78.71","77.5","10568","78.4","79.02"
"2008","66 +","75.93","74.5","4255","75.5","76.36"
"2009","17-34","","","","",""
"2009","35-65","","","","",""
"2009","66 +","","","","",""
"2010","17-34","74.3","71.5","3516","73.76","74.84"
"2010","35-65","79.67","77.5","8985","79.32","80.02"
"2010","66 +","75.73","74.5","3976","75.28","76.18"
"2011","17-34","","","","",""
"2011","35-65","","","","",""
"2011","66 +","","","","",""
"2012","17-34","74.05","71.5","4056","73.54","74.56"
"2012","35-65","80.01","78.5","11032","79.69","80.33"
"2012","66 +","75.7","74.5","5136","75.31","76.09"
"2013","17-34","","","","",""
"2013","35-65","","","","",""
"2013","66 +","","","","",""
"2014","17-34","74.19","71.5","6437","73.77","74.61"
"2014","35-65","80.32","79.5","15368","80.05","80.59"
"2014","66 +","76.01","74.5","4908","75.6","76.42"
"2015","17-34","","","","",""
"2015","35-65","","","","",""
"2015","66 +","","","","",""
"2016","17-34","75.21","72.5","5449","74.74","75.68"
"2016","35-65","80.94","79.5","13658","80.64","81.24"
"2016","66 +","76.14","74.5","4665","75.71","76.57"
"2017","17-34","","","","",""
"2017","35-65","","","","",""
"2017","66 +","","","","",""
"2018","17-34","75.76","72.5","7397","75.36","76.16"
"2018","35-65","81.5","79.5","15869","81.22","81.78"
"2018","66 +","76.2","74.5","4949","75.76","76.64"
"2019","17-34","","","","",""
"2019","35-65","","","","",""
"2019","66 +","","","","",""
"2020","17-34","77.23","74.5","6197","76.78","77.68"
"2020","35-65","81.91","79.5","14289","81.61","82.21"
"2020","66 +","76.67","74.5","4889","76.22","77.12"
