"year","bildungsniveau","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2002","(Fach-)Abitur","Ostdeutschland","71.15","69.5","353","69.67","72.63"
"2002","(Fach-)Abitur","Westdeutschland","72.95","70.5","2084","72.28","73.62"
"2002","(noch) kein Abschluss","Ostdeutschland","65.42","63.5","171","63.59","67.25"
"2002","(noch) kein Abschluss","Westdeutschland","69.61","69.5","726","68.68","70.54"
"2002","AkademikerIn","Ostdeutschland","74.83","73.5","1316","74.05","75.61"
"2002","AkademikerIn","Westdeutschland","76.15","74.5","3219","75.65","76.65"
"2002","Hauptschule","Ostdeutschland","75.97","74.5","1495","75.24","76.7"
"2002","Hauptschule","Westdeutschland","75.56","74.5","7343","75.22","75.9"
"2002","Realschule","Ostdeutschland","75.25","74.5","2015","74.6","75.9"
"2002","Realschule","Westdeutschland","73.37","70.5","3919","72.88","73.86"
"2003","(Fach-)Abitur","Ostdeutschland","","","","",""
"2003","(Fach-)Abitur","Westdeutschland","","","","",""
"2003","(noch) kein Abschluss","Ostdeutschland","","","","",""
"2003","(noch) kein Abschluss","Westdeutschland","","","","",""
"2003","AkademikerIn","Ostdeutschland","","","","",""
"2003","AkademikerIn","Westdeutschland","","","","",""
"2003","Hauptschule","Ostdeutschland","","","","",""
"2003","Hauptschule","Westdeutschland","","","","",""
"2003","Realschule","Ostdeutschland","","","","",""
"2003","Realschule","Westdeutschland","","","","",""
"2004","(Fach-)Abitur","Ostdeutschland","70.04","68.5","390","68.72","71.36"
"2004","(Fach-)Abitur","Westdeutschland","73.89","71.5","1983","73.21","74.57"
"2004","(noch) kein Abschluss","Ostdeutschland","63.86","61.5","186","62.19","65.53"
"2004","(noch) kein Abschluss","Westdeutschland","69.86","69.5","712","68.86","70.86"
"2004","AkademikerIn","Ostdeutschland","75.58","74.5","1270","74.76","76.4"
"2004","AkademikerIn","Westdeutschland","76.31","74.5","2997","75.78","76.84"
"2004","Hauptschule","Ostdeutschland","76.44","74.5","1364","75.66","77.22"
"2004","Hauptschule","Westdeutschland","76.26","74.5","6607","75.89","76.63"
"2004","Realschule","Ostdeutschland","76.24","74.5","1911","75.55","76.93"
"2004","Realschule","Westdeutschland","74.59","71.5","3648","74.08","75.1"
"2005","(Fach-)Abitur","Ostdeutschland","","","","",""
"2005","(Fach-)Abitur","Westdeutschland","","","","",""
"2005","(noch) kein Abschluss","Ostdeutschland","","","","",""
"2005","(noch) kein Abschluss","Westdeutschland","","","","",""
"2005","AkademikerIn","Ostdeutschland","","","","",""
"2005","AkademikerIn","Westdeutschland","","","","",""
"2005","Hauptschule","Ostdeutschland","","","","",""
"2005","Hauptschule","Westdeutschland","","","","",""
"2005","Realschule","Ostdeutschland","","","","",""
"2005","Realschule","Westdeutschland","","","","",""
"2006","(Fach-)Abitur","Ostdeutschland","70.97","69.5","410","69.62","72.32"
"2006","(Fach-)Abitur","Westdeutschland","73.63","71.5","2026","72.95","74.31"
"2006","(noch) kein Abschluss","Ostdeutschland","69.29","67.5","98","66.86","71.72"
"2006","(noch) kein Abschluss","Westdeutschland","72.36","69.5","547","71.11","73.61"
"2006","AkademikerIn","Ostdeutschland","75.61","74.5","1323","74.82","76.4"
"2006","AkademikerIn","Westdeutschland","76.69","74.5","3231","76.17","77.21"
"2006","Hauptschule","Ostdeutschland","77.36","75.5","1380","76.54","78.18"
"2006","Hauptschule","Westdeutschland","77.19","75.5","6635","76.81","77.57"
"2006","Realschule","Ostdeutschland","77.21","75.5","1939","76.5","77.92"
"2006","Realschule","Westdeutschland","75.6","73.5","3750","75.07","76.13"
"2007","(Fach-)Abitur","Ostdeutschland","","","","",""
"2007","(Fach-)Abitur","Westdeutschland","","","","",""
"2007","(noch) kein Abschluss","Ostdeutschland","","","","",""
"2007","(noch) kein Abschluss","Westdeutschland","","","","",""
"2007","AkademikerIn","Ostdeutschland","","","","",""
"2007","AkademikerIn","Westdeutschland","","","","",""
"2007","Hauptschule","Ostdeutschland","","","","",""
"2007","Hauptschule","Westdeutschland","","","","",""
"2007","Realschule","Ostdeutschland","","","","",""
"2007","Realschule","Westdeutschland","","","","",""
"2008","(Fach-)Abitur","Ostdeutschland","74.27","71.5","360","72.83","75.71"
"2008","(Fach-)Abitur","Westdeutschland","74.69","72.5","1783","73.94","75.44"
"2008","(noch) kein Abschluss","Ostdeutschland","67.92","68.5","100","65.7","70.14"
"2008","(noch) kein Abschluss","Westdeutschland","72.53","71.5","440","71.15","73.91"
"2008","AkademikerIn","Ostdeutschland","75.73","74.5","1237","74.92","76.54"
"2008","AkademikerIn","Westdeutschland","77.33","75.5","2931","76.77","77.89"
"2008","Hauptschule","Ostdeutschland","78.01","76.5","1192","77.15","78.87"
"2008","Hauptschule","Westdeutschland","78.02","75.5","5554","77.6","78.44"
"2008","Realschule","Ostdeutschland","77.74","76.5","1733","76.99","78.49"
"2008","Realschule","Westdeutschland","76.48","74.5","3310","75.91","77.05"
"2009","(Fach-)Abitur","Ostdeutschland","","","","",""
"2009","(Fach-)Abitur","Westdeutschland","","","","",""
"2009","(noch) kein Abschluss","Ostdeutschland","","","","",""
"2009","(noch) kein Abschluss","Westdeutschland","","","","",""
"2009","AkademikerIn","Ostdeutschland","","","","",""
"2009","AkademikerIn","Westdeutschland","","","","",""
"2009","Hauptschule","Ostdeutschland","","","","",""
"2009","Hauptschule","Westdeutschland","","","","",""
"2009","Realschule","Ostdeutschland","","","","",""
"2009","Realschule","Westdeutschland","","","","",""
"2010","(Fach-)Abitur","Ostdeutschland","74.65","72.5","333","73.15","76.15"
"2010","(Fach-)Abitur","Westdeutschland","76.44","73.5","1543","75.57","77.31"
"2010","(noch) kein Abschluss","Ostdeutschland","73.83","73.5","44","69.4","78.26"
"2010","(noch) kein Abschluss","Westdeutschland","72.52","69.5","370","70.98","74.06"
"2010","AkademikerIn","Ostdeutschland","76.26","74.5","1118","75.42","77.1"
"2010","AkademikerIn","Westdeutschland","77.45","75.5","2696","76.86","78.04"
"2010","Hauptschule","Ostdeutschland","78.48","77.5","977","77.54","79.42"
"2010","Hauptschule","Westdeutschland","78.35","76.5","4558","77.87","78.83"
"2010","Realschule","Ostdeutschland","79.04","77.5","1524","78.21","79.87"
"2010","Realschule","Westdeutschland","77.57","74.5","2892","76.94","78.2"
"2011","(Fach-)Abitur","Ostdeutschland","","","","",""
"2011","(Fach-)Abitur","Westdeutschland","","","","",""
"2011","(noch) kein Abschluss","Ostdeutschland","","","","",""
"2011","(noch) kein Abschluss","Westdeutschland","","","","",""
"2011","AkademikerIn","Ostdeutschland","","","","",""
"2011","AkademikerIn","Westdeutschland","","","","",""
"2011","Hauptschule","Ostdeutschland","","","","",""
"2011","Hauptschule","Westdeutschland","","","","",""
"2011","Realschule","Ostdeutschland","","","","",""
"2011","Realschule","Westdeutschland","","","","",""
"2012","(Fach-)Abitur","Ostdeutschland","76.78","75.5","399","75.31","78.25"
"2012","(Fach-)Abitur","Westdeutschland","75.69","73.5","1993","74.95","76.43"
"2012","(noch) kein Abschluss","Ostdeutschland","72.66","69","67","68.59","76.73"
"2012","(noch) kein Abschluss","Westdeutschland","72.7","69.5","472","71.19","74.21"
"2012","AkademikerIn","Ostdeutschland","76.15","74.5","1252","75.29","77.01"
"2012","AkademikerIn","Westdeutschland","76.62","74.5","3353","76.1","77.14"
"2012","Hauptschule","Ostdeutschland","79.52","77.5","1202","78.59","80.45"
"2012","Hauptschule","Westdeutschland","78.7","76.5","5655","78.27","79.13"
"2012","Realschule","Ostdeutschland","79.72","77.5","1788","78.94","80.5"
"2012","Realschule","Westdeutschland","77.72","74.5","3584","77.16","78.28"
"2013","(Fach-)Abitur","Ostdeutschland","","","","",""
"2013","(Fach-)Abitur","Westdeutschland","","","","",""
"2013","(noch) kein Abschluss","Ostdeutschland","","","","",""
"2013","(noch) kein Abschluss","Westdeutschland","","","","",""
"2013","AkademikerIn","Ostdeutschland","","","","",""
"2013","AkademikerIn","Westdeutschland","","","","",""
"2013","Hauptschule","Ostdeutschland","","","","",""
"2013","Hauptschule","Westdeutschland","","","","",""
"2013","Realschule","Ostdeutschland","","","","",""
"2013","Realschule","Westdeutschland","","","","",""
"2014","(Fach-)Abitur","Ostdeutschland","76.16","74.5","515","74.77","77.55"
"2014","(Fach-)Abitur","Westdeutschland","76.23","73.5","3365","75.65","76.81"
"2014","(noch) kein Abschluss","Ostdeutschland","72.79","69.5","112","69.47","76.11"
"2014","(noch) kein Abschluss","Westdeutschland","74.98","72.5","873","73.82","76.14"
"2014","AkademikerIn","Ostdeutschland","75.78","74.5","1430","74.98","76.58"
"2014","AkademikerIn","Westdeutschland","76.8","74.5","4735","76.35","77.25"
"2014","Hauptschule","Ostdeutschland","80","79.5","1247","79.08","80.92"
"2014","Hauptschule","Westdeutschland","79.3","77.5","6870","78.88","79.72"
"2014","Realschule","Ostdeutschland","79.83","77.5","2082","79.09","80.57"
"2014","Realschule","Westdeutschland","78","74.5","4682","77.5","78.5"
"2015","(Fach-)Abitur","Ostdeutschland","","","","",""
"2015","(Fach-)Abitur","Westdeutschland","","","","",""
"2015","(noch) kein Abschluss","Ostdeutschland","","","","",""
"2015","(noch) kein Abschluss","Westdeutschland","","","","",""
"2015","AkademikerIn","Ostdeutschland","","","","",""
"2015","AkademikerIn","Westdeutschland","","","","",""
"2015","Hauptschule","Ostdeutschland","","","","",""
"2015","Hauptschule","Westdeutschland","","","","",""
"2015","Realschule","Ostdeutschland","","","","",""
"2015","Realschule","Westdeutschland","","","","",""
