"year","migback","sex","mean","median","n","lower_confidence","upper_confidence"
"2002","direkter Migrationshintergrund","maennlich","79.62","79.5","1359","78.96","80.28"
"2002","direkter Migrationshintergrund","weiblich","67.47","65.5","1425","66.8","68.14"
"2002","indirekter Migrationshintergrund","maennlich","76.52","75.5","365","75.17","77.87"
"2002","indirekter Migrationshintergrund","weiblich","63.18","59.5","402","61.9","64.46"
"2002","kein Migrationshintergrund","maennlich","82.44","79.5","9361","82.17","82.71"
"2002","kein Migrationshintergrund","weiblich","67.9","65.5","9919","67.65","68.15"
"2003","direkter Migrationshintergrund","maennlich","","","","",""
"2003","direkter Migrationshintergrund","weiblich","","","","",""
"2003","indirekter Migrationshintergrund","maennlich","","","","",""
"2003","indirekter Migrationshintergrund","weiblich","","","","",""
"2003","kein Migrationshintergrund","maennlich","","","","",""
"2003","kein Migrationshintergrund","weiblich","","","","",""
"2004","direkter Migrationshintergrund","maennlich","80.32","79.5","1207","79.61","81.03"
"2004","direkter Migrationshintergrund","weiblich","68.32","66.5","1302","67.59","69.05"
"2004","indirekter Migrationshintergrund","maennlich","76.96","76.5","378","75.75","78.17"
"2004","indirekter Migrationshintergrund","weiblich","65.42","62.5","408","64.22","66.62"
"2004","kein Migrationshintergrund","maennlich","82.98","80.5","8732","82.69","83.27"
"2004","kein Migrationshintergrund","weiblich","68.58","66.5","9350","68.32","68.84"
"2005","direkter Migrationshintergrund","maennlich","","","","",""
"2005","direkter Migrationshintergrund","weiblich","","","","",""
"2005","indirekter Migrationshintergrund","maennlich","","","","",""
"2005","indirekter Migrationshintergrund","weiblich","","","","",""
"2005","kein Migrationshintergrund","maennlich","","","","",""
"2005","kein Migrationshintergrund","weiblich","","","","",""
"2006","direkter Migrationshintergrund","maennlich","81.55","79.5","1098","80.77","82.33"
"2006","direkter Migrationshintergrund","weiblich","68.52","66.5","1270","67.79","69.25"
"2006","indirekter Migrationshintergrund","maennlich","79.7","78.5","387","78.23","81.17"
"2006","indirekter Migrationshintergrund","weiblich","66.31","63.5","424","64.97","67.65"
"2006","kein Migrationshintergrund","maennlich","83.96","81.5","8934","83.67","84.25"
"2006","kein Migrationshintergrund","weiblich","69.21","66.5","9648","68.94","69.48"
"2007","direkter Migrationshintergrund","maennlich","","","","",""
"2007","direkter Migrationshintergrund","weiblich","","","","",""
"2007","indirekter Migrationshintergrund","maennlich","","","","",""
"2007","indirekter Migrationshintergrund","weiblich","","","","",""
"2007","kein Migrationshintergrund","maennlich","","","","",""
"2007","kein Migrationshintergrund","weiblich","","","","",""
"2008","direkter Migrationshintergrund","maennlich","82.61","79.5","879","81.71","83.51"
"2008","direkter Migrationshintergrund","weiblich","68.71","66.5","1014","67.88","69.54"
"2008","indirekter Migrationshintergrund","maennlich","79.38","78.5","367","78.03","80.73"
"2008","indirekter Migrationshintergrund","weiblich","67.14","64.5","395","65.71","68.57"
"2008","kein Migrationshintergrund","maennlich","84.98","82.5","7922","84.66","85.3"
"2008","kein Migrationshintergrund","weiblich","69.67","67.5","8537","69.38","69.96"
"2009","direkter Migrationshintergrund","maennlich","","","","",""
"2009","direkter Migrationshintergrund","weiblich","","","","",""
"2009","indirekter Migrationshintergrund","maennlich","","","","",""
"2009","indirekter Migrationshintergrund","weiblich","","","","",""
"2009","kein Migrationshintergrund","maennlich","","","","",""
"2009","kein Migrationshintergrund","weiblich","","","","",""
"2010","direkter Migrationshintergrund","maennlich","82.64","79.5","662","81.59","83.69"
