year,migback,regtyp,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1985,No migration background,Urban regions,,,,,,,,,,,,
1985,No migration background,Rural regions,,,,,,,,,,,,
1985,Direct migration background,Urban regions,,,,,,,,,,,,
1985,Direct migration background,Rural regions,,,,,,,,,,,,
1985,Indirect migration background,Urban regions,,,,,,,,,,,,
1985,Indirect migration background,Rural regions,,,,,,,,,,,,
1986,No migration background,Urban regions,,,,,,,,,,,,
1986,No migration background,Rural regions,,,,,,,,,,,,
1986,Direct migration background,Urban regions,,,,,,,,,,,,
1986,Direct migration background,Rural regions,,,,,,,,,,,,
1986,Indirect migration background,Urban regions,,,,,,,,,,,,
1986,Indirect migration background,Rural regions,,,,,,,,,,,,
1987,No migration background,Urban regions,,,,,,,,,,,,
1987,No migration background,Rural regions,,,,,,,,,,,,
1987,Direct migration background,Urban regions,,,,,,,,,,,,
1987,Direct migration background,Rural regions,,,,,,,,,,,,
1987,Indirect migration background,Urban regions,,,,,,,,,,,,
1987,Indirect migration background,Rural regions,,,,,,,,,,,,
1988,No migration background,Urban regions,,,,,,,,,,,,
1988,No migration background,Rural regions,,,,,,,,,,,,
1988,Direct migration background,Urban regions,,,,,,,,,,,,
1988,Direct migration background,Rural regions,,,,,,,,,,,,
1988,Indirect migration background,Urban regions,,,,,,,,,,,,
1988,Indirect migration background,Rural regions,,,,,,,,,,,,
1989,No migration background,Urban regions,,,,,,,,,,,,
1989,No migration background,Rural regions,,,,,,,,,,,,
1989,Direct migration background,Urban regions,,,,,,,,,,,,
1989,Direct migration background,Rural regions,,,,,,,,,,,,
1989,Indirect migration background,Urban regions,,,,,,,,,,,,
1989,Indirect migration background,Rural regions,,,,,,,,,,,,
1990,No migration background,Urban regions,,,,,,,,,,,,
1990,No migration background,Rural regions,,,,,,,,,,,,
1990,Direct migration background,Urban regions,,,,,,,,,,,,
1990,Direct migration background,Rural regions,,,,,,,,,,,,
1990,Indirect migration background,Urban regions,,,,,,,,,,,,
1990,Indirect migration background,Rural regions,,,,,,,,,,,,
1991,No migration background,Urban regions,,,,,,,,,,,,
1991,No migration background,Rural regions,,,,,,,,,,,,
1991,Direct migration background,Urban regions,,,,,,,,,,,,
1991,Direct migration background,Rural regions,,,,,,,,,,,,
1991,Indirect migration background,Urban regions,,,,,,,,,,,,
1991,Indirect migration background,Rural regions,,,,,,,,,,,,
1992,No migration background,Urban regions,,,,,,,,,,,,
1992,No migration background,Rural regions,,,,,,,,,,,,
1992,Direct migration background,Urban regions,,,,,,,,,,,,
1992,Direct migration background,Rural regions,,,,,,,,,,,,
1992,Indirect migration background,Urban regions,,,,,,,,,,,,
1992,Indirect migration background,Rural regions,,,,,,,,,,,,
1993,No migration background,Urban regions,,,,,,,,,,,,
1993,No migration background,Rural regions,,,,,,,,,,,,
1993,Direct migration background,Urban regions,,,,,,,,,,,,
1993,Direct migration background,Rural regions,,,,,,,,,,,,
1993,Indirect migration background,Urban regions,,,,,,,,,,,,
1993,Indirect migration background,Rural regions,,,,,,,,,,,,
1994,No migration background,Urban regions,,,,,,,,,,,,
1994,No migration background,Rural regions,,,,,,,,,,,,
1994,Direct migration background,Urban regions,,,,,,,,,,,,
1994,Direct migration background,Rural regions,,,,,,,,,,,,
1994,Indirect migration background,Urban regions,,,,,,,,,,,,
1994,Indirect migration background,Rural regions,,,,,,,,,,,,
1995,No migration background,Urban regions,,,,,,,,,,,,
1995,No migration background,Rural regions,,,,,,,,,,,,
1995,Direct migration background,Urban regions,,,,,,,,,,,,
1995,Direct migration background,Rural regions,,,,,,,,,,,,
1995,Indirect migration background,Urban regions,,,,,,,,,,,,
1995,Indirect migration background,Rural regions,,,,,,,,,,,,
1996,No migration background,Urban regions,,,,,,,,,,,,
1996,No migration background,Rural regions,,,,,,,,,,,,
1996,Direct migration background,Urban regions,,,,,,,,,,,,
1996,Direct migration background,Rural regions,,,,,,,,,,,,
1996,Indirect migration background,Urban regions,,,,,,,,,,,,
1996,Indirect migration background,Rural regions,,,,,,,,,,,,
1997,No migration background,Urban regions,,,,,,,,,,,,
1997,No migration background,Rural regions,,,,,,,,,,,,
1997,Direct migration background,Urban regions,,,,,,,,,,,,
1997,Direct migration background,Rural regions,,,,,,,,,,,,
1997,Indirect migration background,Urban regions,,,,,,,,,,,,
1997,Indirect migration background,Rural regions,,,,,,,,,,,,
1998,No migration background,Urban regions,,,,,,,,,,,,
1998,No migration background,Rural regions,,,,,,,,,,,,
1998,Direct migration background,Urban regions,,,,,,,,,,,,
1998,Direct migration background,Rural regions,,,,,,,,,,,,
1998,Indirect migration background,Urban regions,,,,,,,,,,,,
1998,Indirect migration background,Rural regions,,,,,,,,,,,,
1999,No migration background,Urban regions,,,,,,,,,,,,
1999,No migration background,Rural regions,,,,,,,,,,,,
1999,Direct migration background,Urban regions,,,,,,,,,,,,
1999,Direct migration background,Rural regions,,,,,,,,,,,,
1999,Indirect migration background,Urban regions,,,,,,,,,,,,
1999,Indirect migration background,Rural regions,,,,,,,,,,,,
2000,No migration background,Urban regions,,,,,,,,,,,,
2000,No migration background,Rural regions,,,,,,,,,,,,
2000,Direct migration background,Urban regions,,,,,,,,,,,,
2000,Direct migration background,Rural regions,,,,,,,,,,,,
2000,Indirect migration background,Urban regions,,,,,,,,,,,,
2000,Indirect migration background,Rural regions,,,,,,,,,,,,
2001,No migration background,Urban regions,,,,,,,,,,,,
2001,No migration background,Rural regions,,,,,,,,,,,,
2001,Direct migration background,Urban regions,,,,,,,,,,,,
2001,Direct migration background,Rural regions,,,,,,,,,,,,
2001,Indirect migration background,Urban regions,,,,,,,,,,,,
2001,Indirect migration background,Rural regions,,,,,,,,,,,,
2002,No migration background,Urban regions,74.87141322982372,74.7404644113015,75.00236204834593,64.0,74.0,84.0,35.0,114.0,74.0,73.0,75.0,12192.0
2002,No migration background,Rural regions,75.20571787948928,75.04119028528822,75.37024547369035,65.0,75.0,84.0,36.5,112.5,75.0,75.0,76.0,7092.0
2002,Direct migration background,Urban regions,73.31321264927506,73.0373375545399,73.58908774401021,63.0,73.0,82.0,39.0,110.5,73.0,72.0,74.0,2296.0
2002,Direct migration background,Rural regions,73.8306025147582,73.22418042833492,74.43702460118148,63.0,73.0,83.0,40.0,113.0,73.0,71.0,76.0,488.0
2002,Indirect migration background,Urban regions,70.15929371334839,69.62557327603474,70.69301415066204,60.0,70.0,80.0,36.0,110.0,70.0,70.0,73.0,664.0
2002,Indirect migration background,Rural regions,67.41587700029471,66.25883072225612,68.5729232783333,60.0,67.08738032283183,77.22550461013161,45.0,103.06376152532903,67.0,64.0,69.0,99.0
2003,No migration background,Urban regions,,,,,,,,,,,,
2003,No migration background,Rural regions,,,,,,,,,,,,
2003,Direct migration background,Urban regions,,,,,,,,,,,,
2003,Direct migration background,Rural regions,,,,,,,,,,,,
2003,Indirect migration background,Urban regions,,,,,,,,,,,,
2003,Indirect migration background,Rural regions,,,,,,,,,,,,
2004,No migration background,Urban regions,75.4362461723626,75.29832064613063,75.57417169859457,65.0,74.0,85.0,35.0,115.0,74.0,73.0,74.0,11462.0
2004,No migration background,Rural regions,75.95069848744625,75.77220016104316,76.12919681384933,65.0,75.0,85.0,37.0,115.0,75.0,75.0,75.0,6627.0
2004,Direct migration background,Urban regions,74.1505257761665,73.85229532913218,74.44875622320083,64.0,74.0,82.0,37.0,109.0,74.0,73.0,75.0,2068.0
2004,Direct migration background,Rural regions,74.27046818584022,73.58964235746771,74.95129401421272,63.0,74.0,85.0,38.0,118.0,74.0,72.0,78.0,441.0
2004,Indirect migration background,Urban regions,71.06409041556336,70.55857951147796,71.56960131964875,60.0,70.0,80.0,39.0,110.0,70.0,68.0,73.0,665.0
2004,Indirect migration background,Rural regions,72.93063466875665,71.81311200047422,74.04815733703909,64.0,73.80147834526609,80.0,42.0,104.0,74.0,71.0,78.0,114.0
2005,No migration background,Urban regions,,,,,,,,,,,,
2005,No migration background,Rural regions,,,,,,,,,,,,
2005,Direct migration background,Urban regions,,,,,,,,,,,,
2005,Direct migration background,Rural regions,,,,,,,,,,,,
2005,Indirect migration background,Urban regions,,,,,,,,,,,,
2005,Indirect migration background,Rural regions,,,,,,,,,,,,
2006,No migration background,Urban regions,76.05200139027212,75.91128375088834,76.1927190296559,65.0,75.0,85.0,35.0,115.0,75.0,75.0,76.0,11677.0
2006,No migration background,Rural regions,77.1350095859437,76.95493250682641,77.315086665061,65.0,75.33478665361432,85.0,37.0,115.0,75.0,74.0,75.0,6911.0
2006,Direct migration background,Urban regions,74.73200550701465,74.4240417526516,75.03996926137769,65.0,75.0,84.0,42.0,112.5,75.0,75.0,77.0,1940.0
2006,Direct migration background,Rural regions,74.42282537691555,73.69522474275576,75.15042601107535,63.0,72.9663178441269,84.17660080378712,35.0,115.94150200946781,73.0,71.0,76.0,428.0
2006,Indirect migration background,Urban regions,73.00106193663049,72.39966513296977,73.60245874029121,61.0,70.0,82.0,39.0,113.5,70.0,66.0,70.0,684.0
2006,Indirect migration background,Rural regions,73.76199669163175,72.4659628765248,75.0580305067387,63.0,74.9898761977223,84.6188072795824,40.0,115.0,75.0,70.0,85.0,121.0
2007,No migration background,Urban regions,,,,,,,,,,,,
2007,No migration background,Rural regions,,,,,,,,,,,,
2007,Direct migration background,Urban regions,,,,,,,,,,,,
2007,Direct migration background,Rural regions,,,,,,,,,,,,
2007,Indirect migration background,Urban regions,,,,,,,,,,,,
2007,Indirect migration background,Rural regions,,,,,,,,,,,,
2008,No migration background,Urban regions,76.81599512338826,76.65842824155123,76.97356200522529,65.0,75.0,85.0,36.0,115.0,75.0,75.0,75.0,10334.0
2008,No migration background,Rural regions,77.83152143362437,77.6356761813215,78.02736668592725,66.0,76.0,87.0,35.0,118.5,76.0,74.0,76.0,6129.0
2008,Direct migration background,Urban regions,75.26969593429368,74.90698041946965,75.63241144911771,65.0,75.0,84.0,40.0,112.5,75.0,75.0,76.0,1543.0
2008,Direct migration background,Rural regions,75.85518349593434,74.97611557087878,76.7342514209899,64.0,75.0,85.0,35.0,116.5,75.0,73.975,80.0,350.0
2008,Indirect migration background,Urban regions,73.53611045765875,72.96760942229139,74.10461149302611,62.0,72.0,84.0,40.0,117.0,72.0,69.0,74.0,645.0
2008,Indirect migration background,Rural regions,73.29074868975286,71.98543040030633,74.59606697919939,61.120175778547626,72.0,84.0,45.0,117.0,72.0,64.0,75.025,113.0
2009,No migration background,Urban regions,,,,,,,,,,,,
2009,No migration background,Rural regions,,,,,,,,,,,,
2009,Direct migration background,Urban regions,,,,,,,,,,,,
2009,Direct migration background,Rural regions,,,,,,,,,,,,
2009,Indirect migration background,Urban regions,,,,,,,,,,,,
2009,Indirect migration background,Rural regions,,,,,,,,,,,,
2010,No migration background,Urban regions,77.43888424472533,77.26204849038773,77.61571999906293,65.0,75.0,86.0,36.0,117.5,75.0,75.0,75.0,9066.0
2010,No migration background,Rural regions,78.5096228060807,78.29755640007703,78.72168921208437,67.0,78.0,89.0,37.0,122.0,78.0,78.0,79.0,5305.0
2010,Direct migration background,Urban regions,75.86909697980356,75.4142683238568,76.32392563575031,65.0,75.0,85.0,40.0,115.0,75.0,74.0,76.0,1179.0
2010,Direct migration background,Rural regions,75.23016772160476,74.26565485417716,76.19468058903236,63.0,73.24363715436606,85.0,35.0,118.0,73.0,68.0,76.0,279.0
2010,Indirect migration background,Urban regions,75.16307894787967,74.49574711549188,75.83041078026746,62.0,72.0,86.724576466732,39.0,123.81144116683001,72.0,66.0,74.0,547.0
2010,Indirect migration background,Rural regions,76.70867297391918,75.21951140989152,78.19783453794683,65.0,79.95373171261338,85.0,46.0,115.0,80.0,77.0,89.0,101.0
2011,No migration background,Urban regions,,,,,,,,,,,,
2011,No migration background,Rural regions,,,,,,,,,,,,
2011,Direct migration background,Urban regions,,,,,,,,,,,,
2011,Direct migration background,Rural regions,,,,,,,,,,,,
