"year","bildungsniveau","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2002","(Fach-)Abitur","maennlich","81.87","79.5","1142","67","73","89","98","124","81.09","82.65","48","180","80","81"
"2002","(Fach-)Abitur","weiblich","64.27","61.5","1295","52","56","70","80","100","63.63","64.91","40","170","62","63"
"2002","(noch) kein Abschluss","maennlich","73.61","71.5","423","60","65","80","89","115","72.49","74.73","39","120","70","72"
"2002","(noch) kein Abschluss","weiblich","64.24","61.5","474","50","55","70","80","98","63.17","65.31","36","125","60","63"
"2002","AkademikerIn","maennlich","82.53","80.5","2594","69","75","90","98","115","82.07","82.99","50","150","81","82"
"2002","AkademikerIn","weiblich","66.35","64.5","1941","53","58","72","82","105","65.83","66.87","40","124","63","65"
"2002","Hauptschule","maennlich","82.1","79.5","4279","67","73","90","100","121","81.7","82.5","34","180","80","81"
"2002","Hauptschule","weiblich","69.66","68.5","4559","55","60","77","85","105","69.28","70.04","35","140","68","70"
"2002","Realschule","maennlich","82.56","79.5","2549","66","73","90","100","130","82.02","83.1","44","180","80","82"
"2002","Realschule","weiblich","66.99","64.5","3385","53","59","75","83","103","66.56","67.42","36","172","64","65"
"2003","(Fach-)Abitur","maennlich","","","","","","","","","","","","","",""
"2003","(Fach-)Abitur","weiblich","","","","","","","","","","","","","",""
"2003","(noch) kein Abschluss","maennlich","","","","","","","","","","","","","",""
"2003","(noch) kein Abschluss","weiblich","","","","","","","","","","","","","",""
"2003","AkademikerIn","maennlich","","","","","","","","","","","","","",""
"2003","AkademikerIn","weiblich","","","","","","","","","","","","","",""
"2003","Hauptschule","maennlich","","","","","","","","","","","","","",""
"2003","Hauptschule","weiblich","","","","","","","","","","","","","",""
"2003","Realschule","maennlich","","","","","","","","","","","","","",""
"2003","Realschule","weiblich","","","","","","","","","","","","","",""
"2004","(Fach-)Abitur","maennlich","81.97","79.5","1081","68","73","89","98","122","81.17","82.77","45","200","80","80"
"2004","(Fach-)Abitur","weiblich","65.57","63.5","1292","52","58","70","80","110","64.91","66.23","40","172","63","64"
"2004","(noch) kein Abschluss","maennlich","73.42","71.5","421","58","65","80","90","110","72.18","74.66","37","120","70","72"
"2004","(noch) kein Abschluss","weiblich","64.43","61.5","477","50","55","73","83","95","63.35","65.51","35","110","60","61"
"2004","AkademikerIn","maennlich","82.59","80.5","2410","68","74","90","99","117","82.08","83.1","49","210","81","83"
"2004","AkademikerIn","weiblich","67.15","64.5","1857","53","58","74","85","110","66.6","67.7","38","138","64","65"
"2004","Hauptschule","maennlich","82.94","80.5","3866","67","74","90","100","125","82.5","83.38","40","163","81","82"
"2004","Hauptschule","weiblich","70.15","68.5","4105","55","60","78","88","108","69.74","70.56","32","200","68","70"
"2004","Realschule","maennlich","83.42","81.5","2380","67","74","90","100","130","82.85","83.99","45","185","82","83"
"2004","Realschule","weiblich","68.25","64.5","3179","53","59","75","85","115","67.8","68.7","37","200","65","66"
"2005","(Fach-)Abitur","maennlich","","","","","","","","","","","","","",""
"2005","(Fach-)Abitur","weiblich","","","","","","","","","","","","","",""
"2005","(noch) kein Abschluss","maennlich","","","","","","","","","","","","","",""
"2005","(noch) kein Abschluss","weiblich","","","","","","","","","","","","","",""
"2005","AkademikerIn","maennlich","","","","","","","","","","","","","",""
"2005","AkademikerIn","weiblich","","","","","","","","","","","","","",""
"2005","Hauptschule","maennlich","","","","","","","","","","","","","",""
"2005","Hauptschule","weiblich","","","","","","","","","","","","","",""
"2005","Realschule","maennlich","","","","","","","","","","","","","",""
"2005","Realschule","weiblich","","","","","","","","","","","","","",""
"2006","(Fach-)Abitur","maennlich","82.19","79.5","1057","67","73","90","100","125","81.36","83.02","53","155","80","81"
"2006","(Fach-)Abitur","weiblich","65.62","63.5","1379","52","57","72","80","110","64.97","66.27","42","167","63","65"
"2006","(noch) kein Abschluss","maennlich","77.71","74.5","302","62","67","85","95","155","76.04","79.38","49","175","72","75"
"2006","(noch) kein Abschluss","weiblich","66.38","64.5","343","50","58","75","85","100","65.1","67.66","35","110","61","65"
"2006","AkademikerIn","maennlich","83.52","81.5","2545","70","75","90","100","125","83.03","84.01","50","195","82","83"
"2006","AkademikerIn","weiblich","67.04","64.5","2009","53","58","74","84","110","66.51","67.57","38","138","65","65"
"2006","Hauptschule","maennlich","83.85","81.5","3891","68","75","91","101","128","83.39","84.31","40","190","82","83"
"2006","Hauptschule","weiblich","70.99","69.5","4124","55","60","80","90","115","70.56","71.42","34","200","69","70"
"2006","Realschule","maennlich","84.74","81.5","2407","68","75","93","104","130","84.15","85.33","45","200","82","83"
"2006","Realschule","weiblich","69.05","66.5","3282","54","60","76","87","113","68.58","69.52","33","200","65","67"
