"year","alter_gr","sex","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","maennlich","6.11","6","807","5.92","6.3"
"1984","16-34 Jahre alt","weiblich","","","","",""
"1984","35-65 Jahre alt","maennlich","","","","",""
"1984","35-65 Jahre alt","weiblich","7.34","8","3016","7.26","7.42"
"1984","66 und Ã¤lter","maennlich","","","","",""
"1984","66 und Ã¤lter","weiblich","7.35","8","716","7.17","7.53"
"1985","16-34 Jahre alt","maennlich","6.27","6","566","6.07","6.47"
"1985","16-34 Jahre alt","weiblich","","","","",""
"1985","35-65 Jahre alt","maennlich","6.36","6","774","6.18","6.54"
"1985","35-65 Jahre alt","weiblich","","","","",""
"1985","66 und Ã¤lter","maennlich","","","","",""
"1985","66 und Ã¤lter","weiblich","7.25","8","605","7.07","7.43"
"1986","16-34 Jahre alt","maennlich","6.11","6","655","5.93","6.29"
"1986","16-34 Jahre alt","weiblich","","","","",""
"1986","35-65 Jahre alt","maennlich","6.39","7","836","6.23","6.55"
"1986","35-65 Jahre alt","weiblich","","","","",""
"1986","66 und Ã¤lter","maennlich","","","","",""
"1986","66 und Ã¤lter","weiblich","7.47","8","562","7.29","7.65"
"1987","16-34 Jahre alt","maennlich","6.26","6","660","6.1","6.42"
"1987","16-34 Jahre alt","weiblich","","","","",""
"1987","35-65 Jahre alt","maennlich","6.48","7","832","6.32","6.64"
"1987","35-65 Jahre alt","weiblich","","","","",""
"1987","66 und Ã¤lter","maennlich","","","","",""
"1987","66 und Ã¤lter","weiblich","7.49","8","586","7.32","7.66"
"1988","16-34 Jahre alt","maennlich","6.36","7","625","6.19","6.53"
"1988","16-34 Jahre alt","weiblich","","","","",""
"1988","35-65 Jahre alt","maennlich","6.34","6","812","6.19","6.49"
"1988","35-65 Jahre alt","weiblich","","","","",""
"1988","66 und Ã¤lter","maennlich","","","","",""
"1988","66 und Ã¤lter","weiblich","7.19","8","572","7.01","7.37"
"1989","16-34 Jahre alt","maennlich","6.15","6","633","5.97","6.33"
"1989","16-34 Jahre alt","weiblich","","","","",""
"1989","35-65 Jahre alt","maennlich","6.42","7","870","6.27","6.57"
"1989","35-65 Jahre alt","weiblich","","","","",""
"1989","66 und Ã¤lter","maennlich","","","","",""
"1989","66 und Ã¤lter","weiblich","7.16","7","569","6.99","7.33"
"1990","16-34 Jahre alt","maennlich","6.38","6","786","6.22","6.54"
"1990","16-34 Jahre alt","weiblich","","","","",""
"1990","35-65 Jahre alt","maennlich","","","","",""
"1990","35-65 Jahre alt","weiblich","","","","",""
"1990","66 und Ã¤lter","maennlich","","","","",""
"1990","66 und Ã¤lter","weiblich","7.06","7","596","6.88","7.24"
"1991","16-34 Jahre alt","maennlich","","","","",""
"1991","16-34 Jahre alt","weiblich","","","","",""
"1991","35-65 Jahre alt","maennlich","","","","",""
"1991","35-65 Jahre alt","weiblich","","","","",""
"1991","66 und Ã¤lter","maennlich","","","","",""
"1991","66 und Ã¤lter","weiblich","","","","",""
"1992","16-34 Jahre alt","maennlich","","","","",""
"1992","16-34 Jahre alt","weiblich","","","","",""
"1992","35-65 Jahre alt","maennlich","","","","",""
"1992","35-65 Jahre alt","weiblich","","","","",""
"1992","66 und Ã¤lter","maennlich","","","","",""
"1992","66 und Ã¤lter","weiblich","","","","",""
"1993","16-34 Jahre alt","maennlich","","","","",""
"1993","16-34 Jahre alt","weiblich","","","","",""
"1993","35-65 Jahre alt","maennlich","","","","",""
"1993","35-65 Jahre alt","weiblich","6.56","7","3003","6.49","6.63"
"1993","66 und Ã¤lter","maennlich","","","","",""
"1993","66 und Ã¤lter","weiblich","6.61","7","837","6.45","6.77"
"1994","16-34 Jahre alt","maennlich","","","","",""
"1994","16-34 Jahre alt","weiblich","","","","",""
"1994","35-65 Jahre alt","maennlich","","","","",""
"1994","35-65 Jahre alt","weiblich","","","","",""
"1994","66 und Ã¤lter","maennlich","","","","",""
"1994","66 und Ã¤lter","weiblich","6.61","7","861","6.46","6.76"
"1995","16-34 Jahre alt","maennlich","","","","",""
"1995","16-34 Jahre alt","weiblich","","","","",""
"1995","35-65 Jahre alt","maennlich","","","","",""
"1995","35-65 Jahre alt","weiblich","6.57","7","3095","6.5","6.64"
"1995","66 und Ã¤lter","maennlich","6.29","6","316","6.04","6.54"
"1995","66 und Ã¤lter","weiblich","6.58","7","868","6.43","6.73"
"1996","16-34 Jahre alt","maennlich","","","","",""
"1996","16-34 Jahre alt","weiblich","","","","",""
"1996","35-65 Jahre alt","maennlich","","","","",""
"1996","35-65 Jahre alt","weiblich","6.55","7","3068","6.48","6.62"
"1996","66 und Ã¤lter","maennlich","6.38","6","337","6.14","6.62"
"1996","66 und Ã¤lter","weiblich","6.54","7","865","6.39","6.69"
"1997","16-34 Jahre alt","maennlich","","","","",""
"1997","16-34 Jahre alt","weiblich","","","","",""
"1997","35-65 Jahre alt","maennlich","","","","",""
"1997","35-65 Jahre alt","weiblich","6.49","7","3007","6.42","6.56"
"1997","66 und Ã¤lter","maennlich","6.3","6","348","6.06","6.54"
"1997","66 und Ã¤lter","weiblich","6.54","7","856","6.39","6.69"
"1998","16-34 Jahre alt","maennlich","","","","",""
"1998","16-34 Jahre alt","weiblich","","","","",""
"1998","35-65 Jahre alt","maennlich","","","","",""
"1998","35-65 Jahre alt","weiblich","6.65","7","3435","6.58","6.72"
"1998","66 und Ã¤lter","maennlich","6.39","7","401","6.18","6.6"
"1998","66 und Ã¤lter","weiblich","6.54","7","993","6.4","6.68"
"1999","16-34 Jahre alt","maennlich","","","","",""
"1999","16-34 Jahre alt","weiblich","","","","",""
"1999","35-65 Jahre alt","maennlich","","","","",""
"1999","35-65 Jahre alt","weiblich","6.58","7","3325","6.51","6.65"
"1999","66 und Ã¤lter","maennlich","6.44","7","414","6.23","6.65"
"1999","66 und Ã¤lter","weiblich","6.62","7","970","6.48","6.76"
"2000","16-34 Jahre alt","maennlich","","","","",""
"2000","16-34 Jahre alt","weiblich","","","","",""
"2000","35-65 Jahre alt","maennlich","6.4","7","3616","6.33","6.47"
"2000","35-65 Jahre alt","weiblich","6.75","7","6200","6.7","6.8"
"2000","66 und Ã¤lter","maennlich","6.44","7","882","6.29","6.59"
"2000","66 und Ã¤lter","weiblich","","","","",""
"2001","16-34 Jahre alt","maennlich","","","","",""
"2001","16-34 Jahre alt","weiblich","","","","",""
"2001","35-65 Jahre alt","maennlich","6.47","7","3409","6.4","6.54"
"2001","35-65 Jahre alt","weiblich","6.73","7","5716","6.68","6.78"
"2001","66 und Ã¤lter","maennlich","6.65","7","864","6.5","6.8"
"2001","66 und Ã¤lter","weiblich","","","","",""
"2002","16-34 Jahre alt","maennlich","","","","",""
"2002","16-34 Jahre alt","weiblich","","","","",""
"2002","35-65 Jahre alt","maennlich","6.37","7","3669","6.3","6.44"
"2002","35-65 Jahre alt","weiblich","6.66","7","6119","6.61","6.71"
"2002","66 und Ã¤lter","maennlich","6.49","7","944","6.35","6.63"
"2002","66 und Ã¤lter","weiblich","","","","",""
"2003","16-34 Jahre alt","maennlich","","","","",""
"2003","16-34 Jahre alt","weiblich","","","","",""
"2003","35-65 Jahre alt","maennlich","6.4","7","3723","6.33","6.47"
"2003","35-65 Jahre alt","weiblich","6.58","7","5858","6.53","6.63"
"2003","66 und Ã¤lter","maennlich","","","","",""
"2003","66 und Ã¤lter","weiblich","","","","",""
"2004","16-34 Jahre alt","maennlich","","","","",""
"2004","16-34 Jahre alt","weiblich","","","","",""
"2004","35-65 Jahre alt","maennlich","6.41","7","3603","6.34","6.48"
"2004","35-65 Jahre alt","weiblich","6.6","7","5742","6.55","6.65"
"2004","66 und Ã¤lter","maennlich","","","","",""
"2004","66 und Ã¤lter","weiblich","","","","",""
"2005","16-34 Jahre alt","maennlich","","","","",""
"2005","16-34 Jahre alt","weiblich","","","","",""
"2005","35-65 Jahre alt","maennlich","6.42","7","3443","6.35","6.49"
"2005","35-65 Jahre alt","weiblich","6.57","7","5428","6.52","6.62"
"2005","66 und Ã¤lter","maennlich","","","","",""
"2005","66 und Ã¤lter","weiblich","","","","",""
"2006","16-34 Jahre alt","maennlich","","","","",""
"2006","16-34 Jahre alt","weiblich","","","","",""
"2006","35-65 Jahre alt","maennlich","6.46","7","3761","6.39","6.53"
"2006","35-65 Jahre alt","weiblich","6.56","7","5863","6.51","6.61"
"2006","66 und Ã¤lter","maennlich","","","","",""
