year,migback,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,No migration background,Urban regions,3448,6.930705383421785,6.894682409058787,6.966728357784782,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0
1985,No migration background,Rural regions,1109,7.086091157060567,7.019779593541415,7.152402720579719,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0
1985,Direct migration background,Urban regions,1460,6.900464596456153,6.843483791851526,6.957445401060781,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0
1985,Direct migration background,Rural regions,239,7.246737685887511,7.109158217460699,7.3843171543143225,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0
1985,Indirect migration background,Urban regions,51,7.078639675440469,6.819146277335024,7.338133073545913,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
1985,Indirect migration background,Rural regions,,,,,,,,,,,,
1986,No migration background,Urban regions,3435,6.864255267515898,6.828637207363895,6.899873327667902,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1986,No migration background,Rural regions,1058,7.047381227044779,6.984575891022926,7.110186563066632,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0
1986,Direct migration background,Urban regions,1443,6.75803061685168,6.701367478707307,6.8146937549960525,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1986,Direct migration background,Rural regions,237,7.419740626188861,7.303537459919935,7.535943792457786,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1986,Indirect migration background,Urban regions,61,6.221490657374204,5.89597422087645,6.547007093871958,5.0,5.0,8.0,0.5,10.0,5.0,2.0,5.0
1986,Indirect migration background,Rural regions,,,,,,,,,,,,
1987,No migration background,Urban regions,3415,6.9536680302378695,6.919451232858206,6.987884827617533,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1987,No migration background,Rural regions,1064,7.050846348074635,6.989074930039394,7.112617766109875,6.0,7.0,9.0,1.5,10.0,7.0,6.0,7.0
1987,Direct migration background,Urban regions,1414,6.9076262457146145,6.8543019356100485,6.96095055581918,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
