year,regtyp,ple0020,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Yes,0.00386,31,11719,0.00274,0.00499
2009,Urban regions,No,0.99614,11688,11719,0.99501,0.99726
2009,Rural regions,No,0.99733,6282,6282,0.99606,0.99861
2011,Urban regions,Yes,0.00362,37,13392,0.00260,0.00463
2011,Urban regions,No,0.99638,13355,13392,0.99537,0.99740
2011,Rural regions,No,0.99697,7332,7332,0.99571,0.99822
2013,Urban regions,Yes,0.00362,37,12074,0.00255,0.00469
2013,Urban regions,No,0.99638,12037,12074,0.99531,0.99745
2013,Rural regions,No,0.99648,6771,6771,0.99507,0.99789
2015,Urban regions,Yes,0.00367,42,16200,0.00274,0.00460
2015,Urban regions,No,0.99633,16158,16200,0.99540,0.99726
2015,Rural regions,No,0.99589,8817,8817,0.99456,0.99723
2017,Urban regions,Yes,0.00380,44,17180,0.00288,0.00471
2017,Urban regions,No,0.99620,17136,17180,0.99529,0.99712
2017,Rural regions,No,0.99617,9350,9350,0.99492,0.99742
2019,No answer / don't know,No,0.99542,552,552,0.98978,1.00106
2019,Urban regions,Yes,0.00338,50,16391,0.00249,0.00427
2019,Urban regions,No,0.99662,16341,16391,0.99573,0.99751
2019,Rural regions,No,0.99598,8751,8751,0.99465,0.99730
2021,Urban regions,No,0.99823,12990,12990,0.99751,0.99896
2021,Rural regions,No,0.99570,6129,6129,0.99406,0.99734
