year,migback,regtyp,ple0020,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Urban regions,No,0.99650,9760,9760,0.99533,0.99767
2009,No migration background,Rural regions,No,0.99745,5849,5849,0.99616,0.99875
2009,Direct migration background,Urban regions,No,0.99249,1336,1336,0.98786,0.99712
2009,Direct migration background,Rural regions,No,0.99489,316,316,0.98702,1.00276
2011,No migration background,Urban regions,Yes,0.00322,31,11186,0.00217,0.00427
2011,No migration background,Urban regions,No,0.99678,11155,11186,0.99573,0.99783
2011,No migration background,Rural regions,No,0.99692,6729,6729,0.99559,0.99824
2011,Direct migration background,Urban regions,No,0.99285,1543,1543,0.98864,0.99705
2011,Direct migration background,Rural regions,No,0.99670,464,464,0.99148,1.00192
2013,No migration background,Urban regions,Yes,0.00295,31,10189,0.00190,0.00401
2013,No migration background,Urban regions,No,0.99705,10158,10189,0.99599,0.99810
2013,No migration background,Rural regions,No,0.99677,6216,6216,0.99536,0.99818
2013,Direct migration background,Urban regions,No,0.99007,1317,1317,0.98472,0.99543
2013,Direct migration background,Rural regions,No,0.99061,419,419,0.98137,0.99986
2013,Indirect migration background,Urban regions,No,0.99846,562,562,0.99522,1.00170
2015,No migration background,Urban regions,Yes,0.00364,34,11612,0.00255,0.00474
2015,No migration background,Urban regions,No,0.99636,11578,11612,0.99526,0.99745
2015,No migration background,Rural regions,No,0.99540,7390,7390,0.99385,0.99694
2015,Direct migration background,Urban regions,No,0.99481,3328,3328,0.99236,0.99725
2015,Direct migration background,Rural regions,No,0.99974,1136,1136,0.99880,1.00068
2015,Indirect migration background,Urban regions,No,0.99980,1252,1252,0.99901,1.00059
2017,No migration background,Urban regions,Yes,0.00398,35,12289,0.00287,0.00509
2017,No migration background,Urban regions,No,0.99602,12254,12289,0.99491,0.99713
2017,No migration background,Rural regions,No,0.99573,7804,7804,0.99428,0.99717
2017,Direct migration background,Urban regions,No,0.99604,3546,3546,0.99397,0.99811
2017,Direct migration background,Rural regions,No,0.99909,1262,1262,0.99742,1.00075
2017,Indirect migration background,Urban regions,No,0.99866,1336,1336,0.99669,1.00062
2019,No migration background,No answer / don't know,No,0.99475,482,482,0.98829,1.00121
2019,No migration background,Urban regions,Yes,0.00375,40,12180,0.00266,0.00483
2019,No migration background,Urban regions,No,0.99625,12140,12180,0.99517,0.99734
2019,No migration background,Rural regions,No,0.99557,7432,7432,0.99406,0.99708
2019,Direct migration background,Urban regions,No,0.99704,2958,2958,0.99508,0.99900
2019,Direct migration background,Rural regions,No,0.99855,1029,1029,0.99623,1.00088
2019,Indirect migration background,Urban regions,No,0.99931,1243,1243,0.99784,1.00077
2019,Indirect migration background,Rural regions,No,0.99950,290,290,0.99693,1.00207
2021,No migration background,Urban regions,No,0.99794,8229,8229,0.99696,0.99892
2021,No migration background,Rural regions,No,0.99549,4793,4793,0.99360,0.99739
2021,Direct migration background,Urban regions,No,0.99884,4027,4027,0.99779,0.99989
2021,Direct migration background,Rural regions,No,0.99632,1144,1144,0.99280,0.99983
