year,pgisced97,regtyp,ple0020,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Pre-primary Level,Urban regions,No,0.59689,219,219,0.53178,0.66201
2009,Pre-primary Level,Rural regions,No,0.71692,94,94,0.62536,0.80848
2009,Primary Level,Urban regions,No,0.97774,122,122,0.95145,1.00402
2009,Primary Level,Rural regions,No,0.93168,41,41,0.85349,1.00987
2009,Lower Secondary Level,Urban regions,No,0.95895,1176,1176,0.94761,0.97030
2009,Lower Secondary Level,Rural regions,No,0.97326,593,593,0.96026,0.98625
2009,Upper Secondary Level,Urban regions,No,0.99766,5592,5592,0.99639,0.99892
2009,Upper Secondary Level,Rural regions,No,0.99831,3451,3451,0.99694,0.99968
2009,Post-secondary Non-tertiary Level,Rural regions,No,0.99434,258,258,0.98517,1.00351
2009,First Stage of Tertiary Education,Rural regions,No,0.99809,521,521,0.99434,1.00184
2009,Second Stage of Tertiary Education,Urban regions,No,0.99878,2824,2824,0.99749,1.00007
2011,Pre-primary Level,Urban regions,No,0.48892,231,231,0.42432,0.55352
2011,Pre-primary Level,Rural regions,No,0.40665,82,82,0.29968,0.51363
2011,Primary Level,Urban regions,No,0.83662,162,162,0.77951,0.89373
2011,Primary Level,Rural regions,No,0.81905,66,66,0.72546,0.91264
2011,Lower Secondary Level,Urban regions,No,0.88221,1393,1393,0.86527,0.89914
2011,Lower Secondary Level,Rural regions,No,0.88311,749,749,0.86009,0.90614
2011,Upper Secondary Level,Urban regions,No,0.92995,6389,6389,0.92369,0.93621
2011,Upper Secondary Level,Rural regions,No,0.91425,4079,4079,0.90566,0.92284
2011,Post-secondary Non-tertiary Level,Urban regions,No,0.87290,874,874,0.85081,0.89500
2011,Post-secondary Non-tertiary Level,Rural regions,No,0.87525,326,326,0.83933,0.91118
2011,First Stage of Tertiary Education,Urban regions,No,0.94704,864,864,0.93209,0.96198
2011,First Stage of Tertiary Education,Rural regions,No,0.92785,579,579,0.90675,0.94894
2011,Second Stage of Tertiary Education,Urban regions,No,0.90386,3225,3225,0.89368,0.91404
2011,Second Stage of Tertiary Education,Rural regions,No,0.92774,1355,1355,0.91395,0.94153
2013,Pre-primary Level,Urban regions,No,0.40996,183,183,0.33850,0.48141
2013,Pre-primary Level,Rural regions,No,0.30435,77,77,0.20090,0.40780
2013,Primary Level,Urban regions,No,0.54506,122,122,0.45633,0.63379
2013,Primary Level,Rural regions,No,0.69003,68,68,0.57928,0.80077
2013,Lower Secondary Level,Urban regions,No,0.72928,1195,1195,0.70407,0.75448
2013,Lower Secondary Level,Rural regions,No,0.80473,641,641,0.77402,0.83544
