year,ple0020,sex,proportion,n,lower_confidence,upper_confidence
2009,Yes,female,0.7291666666666666,21983,0.7232920835560812,0.735041249777252
2009,Yes,male,0.2708333333333333,21983,0.26495875022274795,0.2767079164439187
2009,No,female,0.5222593210907067,21983,0.5156561613672855,0.5288624808141279
2009,No,male,0.4777406789092933,21983,0.4711375191858721,0.48434383863271446
2011,Yes,female,0.6206896551724138,41903,0.6160437738667156,0.625335536478112
2011,Yes,male,0.3793103448275862,41903,0.374664463521888,0.3839562261332844
2011,No,female,0.5279187817258884,41903,0.5231388088669654,0.5326987545848113
2011,No,male,0.4720812182741117,41903,0.4673012454151888,0.4768611911330346
2013,Yes,female,0.7068965517241379,44486,0.7026666255452703,0.7111264779030055
2013,Yes,male,0.29310344827586204,44486,0.2888735220969944,0.2973333744547297
2013,No,female,0.5312101233517652,44486,0.5265728075077586,0.5358474391957718
2013,No,male,0.4687898766482348,44486,0.4641525608042281,0.47342719249224147
2015,Yes,female,0.5538461538461539,38036,0.5488504631141748,0.5588418445781329
2015,Yes,male,0.4461538461538462,38036,0.4411581554218672,0.45114953688582515
2015,No,female,0.5423640586209658,38036,0.5373572134045688,0.5473709038373629
2015,No,male,0.4576359413790342,38036,0.45262909616263713,0.46264278659543123
2017,Yes,female,0.5555555555555556,45410,0.5509851703124794,0.5601259407986318
2017,Yes,male,0.4444444444444444,45410,0.43987405920136824,0.4490148296875206
2017,No,female,0.5381333534697577,45410,0.5335478864296365,0.5427188205098789
2017,No,male,0.4618666465302424,45410,0.45728117949012126,0.46645211357036354
2019,Yes,male,0.5609756097560976,42417,0.556252778697672,0.5656984408145233
2019,Yes,female,0.43902439024390244,42417,0.4343015591854768,0.4437472213023281
2019,No,female,0.5228584802621313,42417,0.5181051085246305,0.5276118519996321
2019,No,male,0.4771415197378686,42417,0.4723881480003678,0.4818948914753694
2021,Yes,female,0.5227272727272727,27598,0.5168342494697888,0.5286202959847566
2021,Yes,male,0.4772727272727273,27598,0.4713797040152435,0.4831657505302111
2021,No,female,0.5149374771098205,27598,0.5090409896767063,0.5208339645429347
2021,No,male,0.4850625228901795,27598,0.4791660354570653,0.49095901032329364
