year,sampreg,ple0020,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.00345,35,13477,0.00246,0.00444
2009,West,No,0.99655,13442,13477,0.99556,0.99754
2009,East,No,0.99641,4528,4528,0.99466,0.99815
2011,West,Yes,0.00359,45,15840,0.00266,0.00452
2011,West,No,0.99641,15795,15840,0.99548,0.99734
2011,East,No,0.99731,4892,4892,0.99585,0.99876
2013,West,Yes,0.00339,39,14414,0.00244,0.00434
2013,West,No,0.99661,14375,14414,0.99566,0.99756
2013,East,No,0.99559,4433,4433,0.99364,0.99754
2015,West,Yes,0.00365,46,19787,0.00281,0.00449
2015,West,No,0.99635,19741,19787,0.99551,0.99719
2015,East,No,0.99545,5234,5234,0.99362,0.99727
2017,West,Yes,0.00329,46,20959,0.00251,0.00407
2017,West,No,0.99671,20913,20959,0.99593,0.99749
2017,East,No,0.99373,5573,5573,0.99165,0.99580
2019,West,Yes,0.00333,58,20104,0.00254,0.00413
2019,West,No,0.99667,20046,20104,0.99587,0.99746
2019,East,No,0.99508,5522,5522,0.99324,0.99693
2021,West,Yes,0.00258,35,15317,0.00177,0.00338
2021,West,No,0.99742,15282,15317,0.99662,0.99823
2021,East,No,0.99745,3838,3838,0.99586,0.99905
