year,pgisced97,quintil_oecd,ple0020,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,Pre-primary Level,1st Quintile,No,1.0,54,17615,1.0,1.0
2009,Pre-primary Level,2nd Quintile,No,1.0,42,17615,1.0,1.0
2009,Pre-primary Level,3rd Quintile,No,1.0,65,17615,1.0,1.0
2009,Pre-primary Level,4th Quintile,No,1.0,77,17615,1.0,1.0
2009,Pre-primary Level,5th Quintile,No,1.0,75,17615,1.0,1.0
2009,Primary Level,1st Quintile,No,1.0,99,17615,1.0,1.0
2009,Primary Level,2nd Quintile,No,1.0,40,17615,1.0,1.0
2009,Lower Secondary Level,1st Quintile,No,1.0,588,17615,1.0,1.0
2009,Lower Secondary Level,2nd Quintile,No,1.0,463,17615,1.0,1.0
2009,Lower Secondary Level,3rd Quintile,No,1.0,361,17615,1.0,1.0
2009,Lower Secondary Level,4th Quintile,No,1.0,234,17615,1.0,1.0
2009,Lower Secondary Level,5th Quintile,No,1.0,121,17615,1.0,1.0
2009,Upper Secondary Level,1st Quintile,No,1.0,1567,17615,1.0,1.0
2009,Upper Secondary Level,2nd Quintile,No,1.0,1877,17615,1.0,1.0
2009,Upper Secondary Level,3rd Quintile,No,1.0,1880,17615,1.0,1.0
2009,Upper Secondary Level,4th Quintile,No,1.0,1978,17615,1.0,1.0
2009,Upper Secondary Level,5th Quintile,No,1.0,1736,17615,1.0,1.0
2009,Post-secondary Non-tertiary Level,1st Quintile,No,1.0,110,17615,1.0,1.0
2009,Post-secondary Non-tertiary Level,2nd Quintile,No,1.0,152,17615,1.0,1.0
2009,Post-secondary Non-tertiary Level,3rd Quintile,No,1.0,194,17615,1.0,1.0
2009,Post-secondary Non-tertiary Level,4th Quintile,No,1.0,236,17615,1.0,1.0
2009,Post-secondary Non-tertiary Level,5th Quintile,No,1.0,304,17615,1.0,1.0
2009,First Stage of Tertiary Education,1st Quintile,No,1.0,120,17615,1.0,1.0
2009,First Stage of Tertiary Education,2nd Quintile,No,1.0,204,17615,1.0,1.0
2009,First Stage of Tertiary Education,3rd Quintile,No,1.0,300,17615,1.0,1.0
2009,First Stage of Tertiary Education,4th Quintile,No,1.0,333,17615,1.0,1.0
2009,First Stage of Tertiary Education,5th Quintile,No,1.0,373,17615,1.0,1.0
2009,Second Stage of Tertiary Education,1st Quintile,No,1.0,213,17615,1.0,1.0
2009,Second Stage of Tertiary Education,2nd Quintile,No,1.0,315,17615,1.0,1.0
2009,Second Stage of Tertiary Education,3rd Quintile,No,1.0,571,17615,1.0,1.0
2009,Second Stage of Tertiary Education,4th Quintile,No,1.0,801,17615,1.0,1.0
2009,Second Stage of Tertiary Education,5th Quintile,No,1.0,2132,17615,1.0,1.0
2011,Pre-primary Level,1st Quintile,No,1.0,32,15252,1.0,1.0
2011,Pre-primary Level,3rd Quintile,No,1.0,38,15252,1.0,1.0
2011,Pre-primary Level,4th Quintile,No,1.0,65,15252,1.0,1.0
2011,Pre-primary Level,5th Quintile,No,1.0,60,15252,1.0,1.0
2011,Primary Level,1st Quintile,No,1.0,62,15252,1.0,1.0
2011,Lower Secondary Level,1st Quintile,No,1.0,471,15252,1.0,1.0
2011,Lower Secondary Level,2nd Quintile,No,1.0,372,15252,1.0,1.0
2011,Lower Secondary Level,3rd Quintile,No,1.0,287,15252,1.0,1.0
2011,Lower Secondary Level,4th Quintile,No,1.0,189,15252,1.0,1.0
2011,Lower Secondary Level,5th Quintile,No,1.0,104,15252,1.0,1.0
2011,Upper Secondary Level,1st Quintile,No,1.0,1386,15252,1.0,1.0
2011,Upper Secondary Level,2nd Quintile,No,1.0,1616,15252,1.0,1.0
2011,Upper Secondary Level,3rd Quintile,No,1.0,1735,15252,1.0,1.0
2011,Upper Secondary Level,4th Quintile,No,1.0,1624,15252,1.0,1.0
2011,Upper Secondary Level,5th Quintile,No,1.0,1435,15252,1.0,1.0
2011,Post-secondary Non-tertiary Level,1st Quintile,No,1.0,100,15252,1.0,1.0
2011,Post-secondary Non-tertiary Level,2nd Quintile,No,1.0,127,15252,1.0,1.0
2011,Post-secondary Non-tertiary Level,3rd Quintile,No,1.0,191,15252,1.0,1.0
2011,Post-secondary Non-tertiary Level,4th Quintile,No,1.0,216,15252,1.0,1.0
2011,Post-secondary Non-tertiary Level,5th Quintile,No,1.0,274,15252,1.0,1.0
2011,First Stage of Tertiary Education,1st Quintile,No,1.0,112,15252,1.0,1.0
2011,First Stage of Tertiary Education,2nd Quintile,No,1.0,191,15252,1.0,1.0
2011,First Stage of Tertiary Education,3rd Quintile,No,1.0,236,15252,1.0,1.0
2011,First Stage of Tertiary Education,4th Quintile,No,1.0,305,15252,1.0,1.0
2011,First Stage of Tertiary Education,5th Quintile,No,1.0,332,15252,1.0,1.0
2011,Second Stage of Tertiary Education,1st Quintile,No,1.0,206,15252,1.0,1.0
2011,Second Stage of Tertiary Education,2nd Quintile,No,1.0,323,15252,1.0,1.0
2011,Second Stage of Tertiary Education,3rd Quintile,No,1.0,502,15252,1.0,1.0
2011,Second Stage of Tertiary Education,4th Quintile,No,1.0,772,15252,1.0,1.0
2011,Second Stage of Tertiary Education,5th Quintile,No,1.0,1889,15252,1.0,1.0
2013,Pre-primary Level,1st Quintile,No,1.0,55,18494,1.0,1.0
2013,Pre-primary Level,2nd Quintile,No,1.0,45,18494,1.0,1.0
2013,Pre-primary Level,3rd Quintile,No,1.0,44,18494,1.0,1.0
2013,Pre-primary Level,4th Quintile,No,1.0,60,18494,1.0,1.0
2013,Pre-primary Level,5th Quintile,No,1.0,56,18494,1.0,1.0
2013,Primary Level,1st Quintile,No,1.0,115,18494,1.0,1.0
2013,Primary Level,2nd Quintile,No,1.0,35,18494,1.0,1.0
2013,Lower Secondary Level,1st Quintile,No,1.0,616,18494,1.0,1.0
2013,Lower Secondary Level,2nd Quintile,No,1.0,497,18494,1.0,1.0
2013,Lower Secondary Level,3rd Quintile,No,1.0,347,18494,1.0,1.0
2013,Lower Secondary Level,4th Quintile,No,1.0,247,18494,1.0,1.0
2013,Lower Secondary Level,5th Quintile,No,1.0,126,18494,1.0,1.0
2013,Upper Secondary Level,1st Quintile,No,1.0,1691,18494,1.0,1.0
2013,Upper Secondary Level,2nd Quintile,No,1.0,1996,18494,1.0,1.0
2013,Upper Secondary Level,3rd Quintile,No,1.0,2049,18494,1.0,1.0
2013,Upper Secondary Level,4th Quintile,No,1.0,2005,18494,1.0,1.0
2013,Upper Secondary Level,5th Quintile,No,1.0,1635,18494,1.0,1.0
2013,Post-secondary Non-tertiary Level,1st Quintile,No,1.0,134,18494,1.0,1.0
2013,Post-secondary Non-tertiary Level,2nd Quintile,No,1.0,177,18494,1.0,1.0
2013,Post-secondary Non-tertiary Level,3rd Quintile,No,1.0,222,18494,1.0,1.0
2013,Post-secondary Non-tertiary Level,4th Quintile,No,1.0,245,18494,1.0,1.0
2013,Post-secondary Non-tertiary Level,5th Quintile,No,1.0,319,18494,1.0,1.0
2013,First Stage of Tertiary Education,1st Quintile,No,1.0,107,18494,1.0,1.0
2013,First Stage of Tertiary Education,2nd Quintile,No,1.0,212,18494,1.0,1.0
2013,First Stage of Tertiary Education,3rd Quintile,No,1.0,277,18494,1.0,1.0
2013,First Stage of Tertiary Education,4th Quintile,No,1.0,347,18494,1.0,1.0
2013,First Stage of Tertiary Education,5th Quintile,No,1.0,375,18494,1.0,1.0
2013,Second Stage of Tertiary Education,1st Quintile,No,1.0,264,18494,1.0,1.0
2013,Second Stage of Tertiary Education,2nd Quintile,No,1.0,420,18494,1.0,1.0
2013,Second Stage of Tertiary Education,3rd Quintile,No,1.0,578,18494,1.0,1.0
2013,Second Stage of Tertiary Education,4th Quintile,No,1.0,971,18494,1.0,1.0
2013,Second Stage of Tertiary Education,5th Quintile,No,1.0,2227,18494,1.0,1.0
2015,Pre-primary Level,1st Quintile,No,1.0,104,24333,1.0,1.0
2015,Pre-primary Level,2nd Quintile,No,1.0,79,24333,1.0,1.0
2015,Pre-primary Level,3rd Quintile,No,1.0,61,24333,1.0,1.0
2015,Pre-primary Level,4th Quintile,No,1.0,54,24333,1.0,1.0
2015,Pre-primary Level,5th Quintile,No,1.0,51,24333,1.0,1.0
2015,Primary Level,1st Quintile,No,1.0,263,24333,1.0,1.0
2015,Primary Level,2nd Quintile,No,1.0,80,24333,1.0,1.0
2015,Primary Level,3rd Quintile,No,1.0,36,24333,1.0,1.0
2015,Lower Secondary Level,1st Quintile,No,1.0,1060,24333,1.0,1.0
2015,Lower Secondary Level,2nd Quintile,No,1.0,742,24333,1.0,1.0
2015,Lower Secondary Level,3rd Quintile,No,1.0,463,24333,1.0,1.0
2015,Lower Secondary Level,4th Quintile,No,1.0,266,24333,1.0,1.0
2015,Lower Secondary Level,5th Quintile,No,1.0,122,24333,1.0,1.0
2015,Upper Secondary Level,1st Quintile,No,1.0,2409,24333,1.0,1.0
2015,Upper Secondary Level,2nd Quintile,No,1.0,2907,24333,1.0,1.0
2015,Upper Secondary Level,3rd Quintile,No,1.0,2482,24333,1.0,1.0
2015,Upper Secondary Level,4th Quintile,No,1.0,2237,24333,1.0,1.0
2015,Upper Secondary Level,5th Quintile,No,1.0,1580,24333,1.0,1.0
2015,Post-secondary Non-tertiary Level,1st Quintile,No,1.0,337,24333,1.0,1.0
2015,Post-secondary Non-tertiary Level,2nd Quintile,No,1.0,408,24333,1.0,1.0
2015,Post-secondary Non-tertiary Level,3rd Quintile,No,1.0,446,24333,1.0,1.0
2015,Post-secondary Non-tertiary Level,4th Quintile,No,1.0,398,24333,1.0,1.0
