year,migback,pgisced97,ple0020,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Primary Level,No,0.95398,64,64,0.90223,1.00572
2009,No migration background,Lower Secondary Level,No,0.98614,1267,1267,0.97970,0.99258
2009,No migration background,Upper Secondary Level,No,0.99781,8141,8141,0.99679,0.99882
2009,No migration background,Post-secondary Non-tertiary Level,No,0.99823,789,789,0.99529,1.00116
2009,No migration background,First Stage of Tertiary Education,No,0.99925,1204,1204,0.99770,1.00080
2009,No migration background,Second Stage of Tertiary Education,No,0.99894,3653,3653,0.99789,1.00000
2009,Direct migration background,Primary Level,No,0.97063,90,90,0.93555,1.00571
2009,Direct migration background,Lower Secondary Level,No,0.98030,358,358,0.96589,0.99472
2009,Direct migration background,Upper Secondary Level,No,0.99871,614,614,0.99587,1.00155
2011,No migration background,No answer / don't know,No,0.99665,209,209,0.98879,1.00450
2011,No migration background,Primary Level,No,0.97748,116,116,0.95037,1.00460
2011,No migration background,Lower Secondary Level,No,0.98966,1596,1596,0.98470,0.99463
2011,No migration background,Upper Secondary Level,No,0.99716,9357,9357,0.99608,0.99824
2011,No migration background,First Stage of Tertiary Education,No,0.99951,1315,1315,0.99830,1.00071
2011,No migration background,Second Stage of Tertiary Education,No,0.99824,4103,4103,0.99695,0.99952
2011,Direct migration background,Lower Secondary Level,No,0.97405,413,413,0.95870,0.98940
2011,Direct migration background,Upper Secondary Level,No,0.99938,771,771,0.99762,1.00114
2011,Direct migration background,First Stage of Tertiary Education,No,0.99499,92,92,0.98048,1.00950
2011,Direct migration background,Second Stage of Tertiary Education,No,0.99746,369,369,0.99232,1.00260
2013,No migration background,Primary Level,No,0.98648,111,111,0.96490,1.00806
2013,No migration background,Lower Secondary Level,No,0.98954,1374,1374,0.98416,0.99492
2013,No migration background,Upper Secondary Level,No,0.99750,8424,8424,0.99644,0.99857
2013,No migration background,First Stage of Tertiary Education,No,0.99572,1215,1215,0.99205,0.99939
2013,No migration background,Second Stage of Tertiary Education,No,0.99858,3985,3985,0.99741,0.99975
2013,Direct migration background,Primary Level,No,0.95748,68,68,0.90916,1.00579
2013,Direct migration background,Lower Secondary Level,No,0.98494,346,346,0.97208,0.99779
2013,Direct migration background,Upper Secondary Level,No,0.99142,656,656,0.98435,0.99848
2013,Direct migration background,First Stage of Tertiary Education,No,0.99356,71,71,0.97482,1.01230
2013,Direct migration background,Second Stage of Tertiary Education,No,0.99492,366,366,0.98762,1.00221
2013,Indirect migration background,Upper Secondary Level,No,0.99731,299,299,0.99143,1.00319
2015,No migration background,Lower Secondary Level,No,0.98620,1573,1573,0.98043,0.99197
2015,No migration background,Upper Secondary Level,No,0.99619,9428,9428,0.99495,0.99744
2015,No migration background,First Stage of Tertiary Education,No,0.99740,1354,1354,0.99469,1.00011
2015,No migration background,Second Stage of Tertiary Education,No,0.99743,4622,4622,0.99598,0.99889
2015,Direct migration background,Primary Level,No,0.97264,216,216,0.95084,0.99445
2015,Direct migration background,Lower Secondary Level,No,0.99016,782,782,0.98324,0.99709
2015,Direct migration background,Upper Secondary Level,No,0.99785,1566,1566,0.99555,1.00014
2015,Indirect migration background,Upper Secondary Level,No,0.99959,624,624,0.99801,1.00118
2017,No migration background,Primary Level,No,0.99088,164,164,0.97628,1.00547
2017,No migration background,Lower Secondary Level,No,0.98871,1675,1675,0.98365,0.99377
2017,No migration background,Upper Secondary Level,Yes,0.00506,32,9760,0.00366,0.00647
2017,No migration background,Upper Secondary Level,No,0.99494,9728,9760,0.99353,0.99634
2017,No migration background,First Stage of Tertiary Education,No,0.99822,1369,1369,0.99599,1.00046
2017,No migration background,Second Stage of Tertiary Education,No,0.99874,5032,5032,0.99775,0.99972
2017,Direct migration background,Primary Level,No,0.97058,249,249,0.94954,0.99161
2017,Direct migration background,Lower Secondary Level,No,0.99969,784,784,0.99847,1.00092
2017,Direct migration background,Upper Secondary Level,No,0.99623,1623,1623,0.99325,0.99921
2017,Direct migration background,Second Stage of Tertiary Education,No,0.99915,1221,1221,0.99751,1.00079
2017,Indirect migration background,Pre-primary Level,No,0.99873,90,90,0.99134,1.00612
2017,Indirect migration background,Lower Secondary Level,No,0.99284,273,273,0.98283,1.00286
2019,No migration background,No answer / don't know,No,0.99806,350,350,0.99344,1.00268
2019,No migration background,Primary Level,No,0.97708,146,146,0.95272,1.00144
2019,No migration background,Lower Secondary Level,No,0.99486,1573,1573,0.99132,0.99839
2019,No migration background,Upper Secondary Level,Yes,0.00406,33,9201,0.00276,0.00536
2019,No migration background,Upper Secondary Level,No,0.99594,9168,9201,0.99464,0.99724
2019,No migration background,Post-secondary Non-tertiary Level,No,0.99902,1506,1506,0.99744,1.00060
2019,No migration background,First Stage of Tertiary Education,No,0.99399,1504,1504,0.99008,0.99789
2019,No migration background,Second Stage of Tertiary Education,No,0.99651,5603,5603,0.99496,0.99805
2019,Direct migration background,Primary Level,No,0.99532,205,205,0.98595,1.00469
2019,Direct migration background,Lower Secondary Level,No,0.98974,609,609,0.98173,0.99775
2019,Direct migration background,Upper Secondary Level,No,0.99859,1313,1313,0.99657,1.00062
2019,Direct migration background,Post-secondary Non-tertiary Level,No,0.99934,533,533,0.99715,1.00152
2019,Direct migration background,Second Stage of Tertiary Education,No,0.99983,1114,1114,0.99905,1.00060
2019,Indirect migration background,First Stage of Tertiary Education,No,0.99733,60,60,0.98417,1.01049
2019,Indirect migration background,Second Stage of Tertiary Education,No,0.99699,286,286,0.99064,1.00335
2021,No migration background,No answer / don't know,No,0.99985,311,311,0.99850,1.00121
2021,No migration background,Primary Level,No,0.99894,85,85,0.99197,1.00591
2021,No migration background,Lower Secondary Level,No,0.98675,875,875,0.97917,0.99433
2021,No migration background,Upper Secondary Level,No,0.99777,5667,5667,0.99655,0.99900
2021,No migration background,First Stage of Tertiary Education,No,0.99745,893,893,0.99414,1.00076
2021,No migration background,Second Stage of Tertiary Education,No,0.99731,4046,4046,0.99571,0.99890
2021,Direct migration background,No answer / don't know,No,0.99762,444,444,0.99307,1.00216
2021,Direct migration background,Primary Level,No,0.99580,819,819,0.99137,1.00023
2021,Direct migration background,Lower Secondary Level,No,0.99822,743,743,0.99519,1.00125
2021,Direct migration background,Upper Secondary Level,No,0.99714,1234,1234,0.99416,1.00012
2021,Direct migration background,Post-secondary Non-tertiary Level,No,0.99872,449,449,0.99542,1.00203
