,Unnamed: 0,year,bula_h,migback,ple0020,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,Schleswig-Holstein,No migration background,No,1.0,455,17815,0.92447,1.07908
1,1,2009,Schleswig-Holstein,Direct migration background,No,1.0,45,17815,0.78874,1.21491
2,2,2009,Hamburg,No migration background,No,1.0,246,17815,0.88834,1.11407
3,3,2009,Lower Saxony,No migration background,No,1.0,1452,17815,0.95953,1.0484
4,4,2009,Lower Saxony,Direct migration background,No,1.0,132,17815,0.84864,1.15899
5,5,2009,Lower Saxony,Indirect migration background,No,1.0,44,17815,0.71935,1.35554
6,6,2009,Bremen,No migration background,No,1.0,114,17815,0.84195,1.20125
7,7,2009,North Rhine-Westphalia,No migration background,No,1.0,2982,17815,0.96375,1.03331
8,8,2009,North Rhine-Westphalia,Direct migration background,No,1.0,445,17815,0.9192,1.07994
9,9,2009,North Rhine-Westphalia,Indirect migration background,No,1.0,194,17815,0.87016,1.12623
10,10,2009,Hesse,No migration background,No,1.0,994,17815,0.94844,1.05349
11,11,2009,Hesse,Direct migration background,No,1.0,157,17815,0.89136,1.11822
12,12,2009,Hesse,Indirect migration background,No,1.0,61,17815,0.80982,1.21576
13,13,2009,"Rhineland-Palatinate, Saarland",No migration background,No,1.0,831,17815,0.94544,1.05357
14,14,2009,"Rhineland-Palatinate, Saarland",Direct migration background,No,1.0,132,17815,0.8694,1.12912
15,15,2009,"Rhineland-Palatinate, Saarland",Indirect migration background,No,1.0,58,17815,0.79879,1.26376
16,16,2009,Baden-Wuerttemberg,No migration background,No,1.0,1596,17815,0.95811,1.05279
17,17,2009,Baden-Wuerttemberg,Direct migration background,No,1.0,347,17815,0.89365,1.09088
18,18,2009,Baden-Wuerttemberg,Indirect migration background,No,1.0,155,17815,0.85456,1.1665
19,19,2009,Bavaria,No migration background,No,1.0,2223,17815,0.96864,1.04172
20,20,2009,Bavaria,Direct migration background,No,1.0,260,17815,0.89844,1.08594
21,21,2009,Bavaria,Indirect migration background,No,1.0,123,17815,0.80892,1.18413
22,22,2009,Berlin,No migration background,No,1.0,611,17815,0.92118,1.06988
