year,age_gr,sex,ple0020,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,30-45 y.,male,No,0.99920,2204,2204,0.99802,1.00038
2009,30-45 y.,female,No,0.99976,2469,2469,0.99914,1.00037
2009,46-65 y.,male,No,0.99769,3013,3013,0.99597,0.99940
2009,46-65 y.,female,No,0.99709,3306,3306,0.99525,0.99893
2009,66 and older,male,No,0.99681,1970,1970,0.99431,0.99930
2009,66 and older,female,No,0.98388,2153,2153,0.97855,0.98920
2011,30-45 y.,male,No,0.99908,2192,2192,0.99781,1.00035
2011,46-65 y.,male,No,0.99864,3671,3671,0.99744,0.99983
2011,46-65 y.,female,No,0.99923,4097,4097,0.99838,1.00008
2011,66 and older,male,No,0.99280,2441,2441,0.98944,0.99615
2011,66 and older,female,Yes,0.01417,34,2663,0.00968,0.01866
2011,66 and older,female,No,0.98583,2629,2663,0.98134,0.99032
2013,17-29 y.,female,No,0.99876,1303,1303,0.99685,1.00067
2013,30-45 y.,female,No,0.99877,2255,2255,0.99732,1.00022
2013,46-65 y.,male,No,0.99872,3395,3395,0.99751,0.99992
2013,46-65 y.,female,No,0.99764,3913,3913,0.99612,0.99916
2013,66 and older,male,No,0.99393,2373,2373,0.99081,0.99706
2013,66 and older,female,No,0.98786,2520,2520,0.98358,0.99214
2015,17-29 y.,male,No,0.99996,1886,1886,0.99967,1.00025
2015,17-29 y.,female,No,0.99989,2035,2035,0.99942,1.00035
2015,30-45 y.,male,No,0.99804,3048,3048,0.99647,0.99961
2015,30-45 y.,female,No,0.99903,4302,4302,0.99810,0.99996
2015,46-65 y.,male,No,0.99731,4133,4133,0.99574,0.99889
2015,46-65 y.,female,No,0.99877,4735,4735,0.99777,0.99977
2015,66 and older,male,No,0.99272,2363,2363,0.98929,0.99615
2015,66 and older,female,No,0.98619,2473,2473,0.98159,0.99079
2017,17-29 y.,male,No,0.99901,2135,2135,0.99768,1.00035
2017,17-29 y.,female,No,0.99917,2220,2220,0.99797,1.00037
2017,30-45 y.,male,No,0.99997,3050,3050,0.99976,1.00017
2017,30-45 y.,female,No,0.99845,4205,4205,0.99726,0.99964
2017,46-65 y.,male,No,0.99908,4614,4614,0.99820,0.99995
2017,46-65 y.,female,No,0.99876,5347,5347,0.99782,0.99971
2017,66 and older,male,No,0.98941,2434,2434,0.98534,0.99348
2017,66 and older,female,No,0.98571,2481,2481,0.98103,0.99038
2019,17-29 y.,male,No,0.99820,1865,1865,0.99628,1.00013
2019,17-29 y.,female,No,0.99947,1971,1971,0.99846,1.00049
2019,30-45 y.,male,No,0.99863,2696,2696,0.99724,1.00003
2019,30-45 y.,female,No,0.99996,3583,3583,0.99977,1.00016
2019,46-65 y.,male,No,0.99900,5081,5081,0.99814,0.99987
2019,46-65 y.,female,No,0.99845,5322,5322,0.99740,0.99951
2019,66 and older,male,No,0.98851,2591,2591,0.98440,0.99261
2019,66 and older,female,No,0.98882,2529,2529,0.98473,0.99292
2021,30-45 y.,male,No,0.99971,2438,2438,0.99904,1.00039
2021,30-45 y.,female,No,0.99986,2759,2759,0.99942,1.00030
2021,46-65 y.,male,No,0.99731,3427,3427,0.99558,0.99905
2021,46-65 y.,female,No,0.99865,3775,3775,0.99748,0.99982
2021,66 and older,male,No,0.99556,1778,1778,0.99247,0.99865
2021,66 and older,female,No,0.99041,1760,1760,0.98585,0.99496
