"ple0020","year","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Ja","2009","48","0.00344744029167501","0.00259159891177549","0.00430328167157454"
"Nein","2009","17970","0.996552559708325","0.995696718328425","0.997408401088224"
"Ja","2010","","","",""
"Nein","2010","","","",""
"Ja","2011","58","0.00341344414913084","0.00261976442774622","0.00420712387051545"
"Nein","2011","20687","0.996586555850869","0.995792876129485","0.997380235572254"
"Ja","2012","","","",""
"Nein","2012","","","",""
"Ja","2013","58","0.00359276511021767","0.00273899484674623","0.00444653537368911"
"Nein","2013","18808","0.996407234889782","0.995553464626311","0.997261005153254"
"Ja","2014","","","",""
"Nein","2014","","","",""
"Ja","2015","65","0.00376893759694734","0.0030099748811845","0.00452790031271018"
"Nein","2015","24975","0.996231062403053","0.99547209968729","0.996990025118815"
"Ja","2016","","","",""
"Nein","2016","","","",""
"Ja","2017","63","0.00374054095415868","0.00300623433464335","0.00447484757367401"
"Nein","2017","26486","0.996259459045841","0.995525152426326","0.996993765665357"
"Ja","2018","","","",""
"Nein","2018","","","",""
"Ja","2019","85","0.00364184377911739","0.00290720965365762","0.00437647790457717"
"Nein","2019","25743","0.996358156220883","0.995623522095423","0.997092790346342"
