"ple0020","year","quintil_oecd","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","1 Einkommensschwächstes Quintil","männlich","4","","",""
"Ja","2009","1 Einkommensschwächstes Quintil","weiblich","9","","",""
"Ja","2009","2","männlich","2","","",""
"Ja","2009","2","weiblich","10","","",""
"Ja","2009","3","männlich","2","","",""
"Ja","2009","3","weiblich","7","","",""
"Ja","2009","4","männlich","1","","",""
"Ja","2009","4","weiblich","7","","",""
"Ja","2009","5 Einkommensstärkstes Quintil","männlich","4","","",""
"Ja","2009","5 Einkommensstärkstes Quintil","weiblich","2","","",""
"Nein","2009","1 Einkommensschwächstes Quintil","männlich","1309","0.994205559958253","0.990100121385563","0.998310998530944"
"Nein","2009","1 Einkommensschwächstes Quintil","weiblich","1661","0.992833676512723","0.988788138283346","0.996879214742101"
"Nein","2009","2","männlich","1670","0.999492981301313","0.998413955531165","1.00057200707146"
"Nein","2009","2","weiblich","1990","0.993420714020276","0.989877567754785","0.996963860285768"
"Nein","2009","3","männlich","1591","0.999393255619408","0.998184018996737","1.00060249224208"
"Nein","2009","3","weiblich","1777","0.996073377071261","0.993171320117435","0.998975434025086"
"Nein","2009","4","männlich","1966","0.99951674832685","0.998545505929872","1.00048799072383"
"Nein","2009","4","weiblich","1967","0.994477925208181","0.991208862640353","0.997746987776009"
"Nein","2009","5 Einkommensstärkstes Quintil","männlich","2049","0.998520154759862","0.996857354116034","1.00018295540369"
"Nein","2009","5 Einkommensstärkstes Quintil","weiblich","1990","0.998614839462899","0.996981590140318","1.00024808878548"
"Ja","2010","1 Einkommensschwächstes Quintil","männlich","","","",""
"Ja","2010","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Ja","2010","2","männlich","","","",""
"Ja","2010","2","weiblich","","","",""
"Ja","2010","3","männlich","","","",""
"Ja","2010","3","weiblich","","","",""
"Ja","2010","4","männlich","","","",""
"Ja","2010","4","weiblich","","","",""
"Ja","2010","5 Einkommensstärkstes Quintil","männlich","","","",""
"Ja","2010","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Nein","2010","1 Einkommensschwächstes Quintil","männlich","","","",""
"Nein","2010","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Nein","2010","2","männlich","","","",""
"Nein","2010","2","weiblich","","","",""
"Nein","2010","3","männlich","","","",""
"Nein","2010","3","weiblich","","","",""
"Nein","2010","4","männlich","","","",""
"Nein","2010","4","weiblich","","","",""
"Nein","2010","5 Einkommensstärkstes Quintil","männlich","","","",""
"Nein","2010","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Ja","2011","1 Einkommensschwächstes Quintil","männlich","1","","",""
"Ja","2011","1 Einkommensschwächstes Quintil","weiblich","8","","",""
"Ja","2011","2","männlich","6","","",""
"Ja","2011","2","weiblich","7","","",""
"Ja","2011","3","männlich","8","","",""
"Ja","2011","3","weiblich","10","","",""
"Ja","2011","4","männlich","3","","",""
"Ja","2011","4","weiblich","8","","",""
"Ja","2011","5 Einkommensstärkstes Quintil","männlich","4","","",""
"Ja","2011","5 Einkommensstärkstes Quintil","weiblich","3","","",""
"Nein","2011","1 Einkommensschwächstes Quintil","männlich","1441","0.999356813054391","0.998048250886321","1.00066537522246"
"Nein","2011","1 Einkommensschwächstes Quintil","weiblich","1857","0.991129250828034","0.986873717762061","0.995384783894008"
"Nein","2011","2","männlich","1812","0.995356768376107","0.992231763402481","0.998481773349733"
"Nein","2011","2","weiblich","2220","0.996160539351669","0.993591990914664","0.998729087788674"
"Nein","2011","3","männlich","1713","0.994908211916626","0.991545541340324","0.998270882492929"
"Nein","2011","3","weiblich","1949","0.993920500214025","0.990478264383342","0.997362736044708"
"Nein","2011","4","männlich","2264","0.999231635248417","0.998091020099465","1.00037225039737"
