year,ple0020,migback,sex,proportion,n,lower_confidence,upper_confidence
2009,Yes,No migration background,female,0.5833333333333334,21983,0.5768160685249671,0.5898505981416996
2009,Yes,No migration background,male,0.2708333333333333,21983,0.26495875022274795,0.2767079164439187
2009,Yes,Direct migration background,female,0.14583333333333334,21983,0.14116768176592454,0.15049898490074215
2009,No,No migration background,female,0.4521424596549805,21983,0.4455630934556846,0.4587218258542764
2009,No,No migration background,male,0.4166388425153033,21983,0.41012163989042316,0.42315604514018346
2009,No,Direct migration background,female,0.04963828603227602,21983,0.04676707280480109,0.05250949925975095
2009,No,Direct migration background,male,0.042292710072342796,21983,0.03963221936956195,0.044953200775123645
2009,No,Indirect migration background,female,0.020478575403450196,21983,0.018606301293075604,0.022350849513824787
2009,No,Indirect migration background,male,0.01880912632164719,21983,0.017013261459986675,0.020604991183307705
2011,Yes,No migration background,female,0.5,41903,0.49521255809135634,0.5047874419086437
2011,Yes,No migration background,male,0.3448275862068966,41903,0.3402765287816177,0.34937864363217547
2011,Yes,Direct migration background,female,0.1206896551724138,41903,0.11757048099090643,0.12380882935392117
2011,Yes,Direct migration background,male,0.034482758620689655,41903,0.032735671626698,0.03622984561468131
2011,No,No migration background,female,0.4539037950205463,41903,0.44913674181621094,0.45867084822488163
2011,No,No migration background,male,0.4109741358472323,41903,0.40626319185592613,0.4156850798385385
2011,No,Direct migration background,female,0.05395213923132705,41903,0.051788950551390024,0.05611532791126408
2011,No,Direct migration background,male,0.04297800338409476,41903,0.04103614483799705,0.04491986193019246
2011,No,Indirect migration background,female,0.020062847474014985,41903,0.018720302291994076,0.021405392656035895
2011,No,Indirect migration background,male,0.018129079042784626,41903,0.016851615298602247,0.019406542786967004
2013,Yes,No migration background,female,0.5689655172413793,44486,0.5643635515847094,0.5735674828980493
2013,Yes,No migration background,male,0.25862068965517243,44486,0.2545516093929504,0.26268976991739446
2013,Yes,Direct migration background,female,0.13793103448275862,44486,0.13472663690555176,0.14113543205996548
2013,Yes,Direct migration background,male,0.034482758620689655,44486,0.032787150802476205,0.036178366438903105
2013,No,No migration background,female,0.4599638451722671,44486,0.455332387932876,0.46459530241165825
2013,No,No migration background,male,0.4113675031901319,44486,0.406794710632363,0.41594029574790076
2013,No,Direct migration background,female,0.05194598043385793,44486,0.04988375134583814,0.05400820952187772
2013,No,Direct migration background,male,0.039504466184602294,44486,0.037694313676772714,0.04131461869243187
2013,No,Indirect migration background,female,0.019300297745640155,44486,0.01802181633176717,0.02057877915951314
2013,No,Indirect migration background,male,0.01791790727350064,44486,0.01668519440103971,0.01915062014596157
2015,Yes,No migration background,female,0.46153846153846156,38036,0.45652843593991005,0.4665484871370131
2015,Yes,No migration background,male,0.38461538461538464,38036,0.3797261002682842,0.3895046689624851
2015,Yes,Direct migration background,female,0.07692307692307693,38036,0.0742451055961131,0.07960104825004076
2015,Yes,Direct migration background,male,0.06153846153846154,38036,0.059123333229625846,0.06395358984729724
2015,Yes,Indirect migration background,female,0.015384615384615385,38036,0.014147713411411649,0.016621517357819124
2015,No,No migration background,female,0.41146792664370946,38036,0.4065224094744796,0.4164134438129393
2015,No,No migration background,male,0.3496436293745495,38036,0.3448512944611666,0.35443596428793245
2015,No,Direct migration background,female,0.09734123488427965,38036,0.09436224602162631,0.10032022374693299
2015,No,Direct migration background,male,0.07908224553535677,38036,0.07637012759696542,0.08179436347374812
2015,No,Indirect migration background,female,0.033554897092976696,38036,0.03174511951816838,0.035364674667785014
2015,No,Indirect migration background,male,0.028910066469127894,38036,0.02722617955023886,0.030593953388016928
2017,Yes,No migration background,female,0.4444444444444444,45410,0.43987405920136824,0.4490148296875206
2017,Yes,No migration background,male,0.3968253968253968,45410,0.3923255101820828,0.4013252834687108
2017,Yes,Direct migration background,female,0.07936507936507936,45410,0.07687886386381815,0.08185129486634057
2017,Yes,Direct migration background,male,0.047619047619047616,45410,0.04566031108630068,0.049577784151794556
2017,Yes,Indirect migration background,female,0.031746031746031744,45410,0.030133457623401964,0.033358605868661524
2017,No,No migration background,female,0.40553499962244205,45410,0.4010189611144776,0.4100510381304065
2017,No,No migration background,male,0.353545269198822,45410,0.3491481129862483,0.3579424254113957
2017,No,Direct migration background,female,0.09967530015857434,45410,0.09691996978991349,0.1024306305272352
2017,No,Direct migration background,male,0.07951370535377181,45410,0.07702536387055317,0.08200204683699044
2017,No,Indirect migration background,female,0.032923053688741225,45410,0.031281856022438555,0.034564251355043894
2017,No,Indirect migration background,male,0.02880767197764857,45410,0.02726920909243343,0.030346134862863708
2019,Yes,No migration background,male,0.5121951219512195,42417,0.5074381905867238,0.5169520533157153
2019,Yes,No migration background,female,0.32926829268292684,42417,0.32479594589899274,0.33374063946686094
2019,Yes,Direct migration background,female,0.08536585365853659,42417,0.08270664818470828,0.0880250591323649
2019,Yes,Direct migration background,male,0.04878048780487805,42417,0.04673050819492789,0.05083046741482821
2019,Yes,Indirect migration background,female,0.024390243902439025,42417,0.02292222301227616,0.02585826479260189
2019,No,No migration background,female,0.40540645966609457,42417,0.40073404345238894,0.4100788758798002
2019,No,No migration background,male,0.378920268372601,42417,0.37430354669902816,0.38353699004617386
2019,No,Direct migration background,female,0.08488063660477453,42417,0.08222829606547982,0.08753297714406924
2019,No,Direct migration background,male,0.06927757840536745,42417,0.06686104649583133,0.07169411031490358
2019,No,Indirect migration background,female,0.03257138399126229,42417,0.03088205720735093,0.03426071077517365
2019,No,Indirect migration background,male,0.028943672959900142,42417,0.0273482158669476,0.030539130052852685
2021,Yes,No migration background,male,0.38636363636363635,27598,0.38061888902674146,0.39210838370053125
2021,Yes,No migration background,female,0.3181818181818182,27598,0.3126865456591425,0.32367709070449385
2021,Yes,Direct migration background,female,0.20454545454545456,27598,0.19978640894009886,0.20930450015081026
2021,Yes,Direct migration background,male,0.09090909090909091,27598,0.08751733507227695,0.09430084674590487
2021,No,No migration background,female,0.3605922670433736,27598,0.3549270779178901,0.36625745616885713
2021,No,No migration background,male,0.32328781457646627,27598,0.3177694049793117,0.3288062241736208
2021,No,Direct migration background,male,0.13901532988018625,27598,0.13493358061773236,0.14309707914264014
2021,No,Direct migration background,female,0.12818500497043897,27598,0.12424090380718811,0.13212910613368983
2021,No,Indirect migration background,female,0.026160205096007954,27598,0.024277069480346598,0.02804334071166931
2021,No,Indirect migration background,male,0.02275937843352692,27598,0.020999842176220907,0.024518914690832932
