"ple0020","year","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","kein Migrationshintergrund","41","0.00316658837187514","0.00228635461545154","0.00404682212829874"
"Ja","2009","direkter Migrationshintergrund","7","0.00677381529581204","0.00282682868247359","0.0107208019091505"
"Ja","2009","indirekter Migrationshintergrund","","","",""
"Ja","2009","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2009","kein Migrationshintergrund","15609","","",""
"Nein","2009","direkter Migrationshintergrund","1652","","",""
"Nein","2009","indirekter Migrationshintergrund","709","1","1","1"
"Nein","2009","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2010","kein Migrationshintergrund","","","",""
"Ja","2010","direkter Migrationshintergrund","","","",""
"Ja","2010","indirekter Migrationshintergrund","","","",""
"Ja","2010","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2010","kein Migrationshintergrund","","","",""
"Nein","2010","direkter Migrationshintergrund","","","",""
"Nein","2010","indirekter Migrationshintergrund","","","",""
"Nein","2010","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2011","kein Migrationshintergrund","49","0.00317771237100016","0.00235409168959109","0.00400133305240923"
"Ja","2011","direkter Migrationshintergrund","9","0.00611058790213939","0.00270790800132222","0.00951326780295656"
"Ja","2011","indirekter Migrationshintergrund","","","",""
"Ja","2011","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2011","kein Migrationshintergrund","17889","","",""
"Nein","2011","direkter Migrationshintergrund","2006","","",""
"Nein","2011","indirekter Migrationshintergrund","792","1","1","1"
"Nein","2011","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2012","kein Migrationshintergrund","","","",""
"Ja","2012","direkter Migrationshintergrund","","","",""
"Ja","2012","indirekter Migrationshintergrund","","","",""
"Ja","2012","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2012","kein Migrationshintergrund","","","",""
"Nein","2012","direkter Migrationshintergrund","","","",""
"Nein","2012","indirekter Migrationshintergrund","","","",""
"Nein","2012","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2013","kein Migrationshintergrund","48","0.00306168391744959","0.00221769974159653","0.00390566809330266"
"Ja","2013","direkter Migrationshintergrund","10","","",""
"Ja","2013","indirekter Migrationshintergrund","","","",""
"Ja","2013","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2013","kein Migrationshintergrund","16413","","",""
"Nein","2013","direkter Migrationshintergrund","1683","","",""
"Nein","2013","indirekter Migrationshintergrund","712","1","1","1"
"Nein","2013","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2014","kein Migrationshintergrund","","","",""
"Ja","2014","direkter Migrationshintergrund","","","",""
"Ja","2014","indirekter Migrationshintergrund","","","",""
