"year","migback","mean","median","n","lower_confidence","upper_confidence"
"2005","direkter Migrationshintergrund","3.27","2.5","2342","3.2","3.34"
"2005","indirekter Migrationshintergrund","3.64","3.5","821","3.52","3.76"
"2005","kein Migrationshintergrund","3.24","2.5","17382","3.21","3.27"
"2006","direkter Migrationshintergrund","","","","",""
"2006","indirekter Migrationshintergrund","","","","",""
"2006","kein Migrationshintergrund","","","","",""
"2007","direkter Migrationshintergrund","","","","",""
"2007","indirekter Migrationshintergrund","","","","",""
"2007","kein Migrationshintergrund","","","","",""
"2008","direkter Migrationshintergrund","","","","",""
"2008","indirekter Migrationshintergrund","","","","",""
"2008","kein Migrationshintergrund","","","","",""
"2009","direkter Migrationshintergrund","","","","",""
"2009","indirekter Migrationshintergrund","","","","",""
"2009","kein Migrationshintergrund","","","","",""
"2010","direkter Migrationshintergrund","3.27","2.5","1450","3.18","3.36"
"2010","indirekter Migrationshintergrund","3.49","2.5","649","3.35","3.63"
"2010","kein Migrationshintergrund","3.14","2.5","14456","3.11","3.17"
"2011","direkter Migrationshintergrund","","","","",""
"2011","indirekter Migrationshintergrund","","","","",""
"2011","kein Migrationshintergrund","","","","",""
"2012","direkter Migrationshintergrund","","","","",""
"2012","indirekter Migrationshintergrund","","","","",""
"2012","kein Migrationshintergrund","","","","",""
"2013","direkter Migrationshintergrund","","","","",""
"2013","indirekter Migrationshintergrund","","","","",""
"2013","kein Migrationshintergrund","","","","",""
"2014","direkter Migrationshintergrund","","","","",""
"2014","indirekter Migrationshintergrund","","","","",""
"2014","kein Migrationshintergrund","","","","",""
"2015","direkter Migrationshintergrund","2.82","1.5","5723","2.77","2.87"
"2015","indirekter Migrationshintergrund","2.98","2.5","1675","2.89","3.07"
"2015","kein Migrationshintergrund","2.93","2.5","19155","2.91","2.95"
"2016","direkter Migrationshintergrund","2.19","1","2920","2.13","2.25"
"2016","indirekter Migrationshintergrund","","","","",""
"2016","kein Migrationshintergrund","","","","",""
"2017","direkter Migrationshintergrund","1.84","1","1821","1.77","1.91"
"2017","indirekter Migrationshintergrund","","","","",""
"2017","kein Migrationshintergrund","","","","",""
"2018","direkter Migrationshintergrund","2.16","1","373","1.96","2.36"
"2018","indirekter Migrationshintergrund","","","","",""
"2018","kein Migrationshintergrund","","","","",""
"2019","direkter Migrationshintergrund","2.33","1","255","2.1","2.56"
"2019","indirekter Migrationshintergrund","","","","",""
"2019","kein Migrationshintergrund","","","","",""
"2020","direkter Migrationshintergrund","2.85","1.5","9068","2.81","2.89"
"2020","indirekter Migrationshintergrund","3.07","2.5","1674","2.99","3.15"
"2020","kein Migrationshintergrund","2.86","1.5","18618","2.84","2.88"
