"year","bildungsniveau","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2005","(Fach-)Abitur","maennlich","3.43","2.5","1021","1","2","4","6","7","3.33","3.53","1","7","3","4"
"2005","(Fach-)Abitur","weiblich","3.03","2.5","1262","1","2","4","5","7","2.94","3.12","1","7","3","3"
"2005","(noch) kein Abschluss","maennlich","3.79","3.5","416","1","2","5","7","7","3.62","3.96","1","7","4","4"
"2005","(noch) kein Abschluss","weiblich","3.33","2.5","474","1","2","5","6","7","3.16","3.5","1","7","3","4"
"2005","AkademikerIn","maennlich","3.06","2.5","2299","1","2","4","5","7","3","3.12","1","7","3","3"
"2005","AkademikerIn","weiblich","2.75","1.5","1848","1","2","4","5","7","2.68","2.82","1","7","2","2"
"2005","Hauptschule","maennlich","3.53","3.5","3632","1","2","5","6","7","3.47","3.59","1","7","3","4"
"2005","Hauptschule","weiblich","3.17","2.5","3872","1","2","4","6","7","3.11","3.23","1","7","3","3"
"2005","Realschule","maennlich","3.48","2.5","2279","1","2","5","6","7","3.41","3.55","1","7","3","4"
"2005","Realschule","weiblich","3.12","2.5","3076","1","2","4","6","7","3.06","3.18","1","7","3","3"
"2006","(Fach-)Abitur","maennlich","","","","","","","","","","","","","",""
"2006","(Fach-)Abitur","weiblich","","","","","","","","","","","","","",""
"2006","(noch) kein Abschluss","maennlich","","","","","","","","","","","","","",""
"2006","(noch) kein Abschluss","weiblich","","","","","","","","","","","","","",""
"2006","AkademikerIn","maennlich","","","","","","","","","","","","","",""
"2006","AkademikerIn","weiblich","","","","","","","","","","","","","",""
"2006","Hauptschule","maennlich","","","","","","","","","","","","","",""
"2006","Hauptschule","weiblich","","","","","","","","","","","","","",""
"2006","Realschule","maennlich","","","","","","","","","","","","","",""
"2006","Realschule","weiblich","","","","","","","","","","","","","",""
"2007","(Fach-)Abitur","maennlich","","","","","","","","","","","","","",""
"2007","(Fach-)Abitur","weiblich","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","maennlich","","","","","","","","","","","","","",""
