"year","age_gr","migback","mean","median","n","lower_confidence","upper_confidence"
"2005","17-34","direkter Migrationshintergrund","3.66","3.5","523","3.51","3.81"
"2005","17-34","indirekter Migrationshintergrund","3.71","3.5","654","3.57","3.85"
"2005","17-34","kein Migrationshintergrund","3.62","3.5","4099","3.57","3.67"
"2005","35-65","direkter Migrationshintergrund","3.2","2.5","1460","3.11","3.29"
"2005","35-65","indirekter Migrationshintergrund","3.37","2.5","155","3.1","3.64"
"2005","35-65","kein Migrationshintergrund","3.21","2.5","9941","3.18","3.24"
"2005","66 +","direkter Migrationshintergrund","2.89","2.5","359","2.7","3.08"
"2005","66 +","indirekter Migrationshintergrund","","","","",""
"2005","66 +","kein Migrationshintergrund","2.95","2.5","3342","2.89","3.01"
"2006","17-34","direkter Migrationshintergrund","","","","",""
"2006","17-34","indirekter Migrationshintergrund","","","","",""
"2006","17-34","kein Migrationshintergrund","","","","",""
"2006","35-65","direkter Migrationshintergrund","","","","",""
"2006","35-65","indirekter Migrationshintergrund","","","","",""
"2006","35-65","kein Migrationshintergrund","","","","",""
"2006","66 +","direkter Migrationshintergrund","","","","",""
"2006","66 +","indirekter Migrationshintergrund","","","","",""
"2006","66 +","kein Migrationshintergrund","","","","",""
"2007","17-34","direkter Migrationshintergrund","","","","",""
"2007","17-34","indirekter Migrationshintergrund","","","","",""
"2007","17-34","kein Migrationshintergrund","","","","",""
"2007","35-65","direkter Migrationshintergrund","","","","",""
"2007","35-65","indirekter Migrationshintergrund","","","","",""
"2007","35-65","kein Migrationshintergrund","","","","",""
"2007","66 +","direkter Migrationshintergrund","","","","",""
"2007","66 +","indirekter Migrationshintergrund","","","","",""
"2007","66 +","kein Migrationshintergrund","","","","",""
"2008","17-34","direkter Migrationshintergrund","","","","",""
"2008","17-34","indirekter Migrationshintergrund","","","","",""
"2008","17-34","kein Migrationshintergrund","","","","",""
"2008","35-65","direkter Migrationshintergrund","","","","",""
"2008","35-65","indirekter Migrationshintergrund","","","","",""
"2008","35-65","kein Migrationshintergrund","","","","",""
"2008","66 +","direkter Migrationshintergrund","","","","",""
"2008","66 +","indirekter Migrationshintergrund","","","","",""
"2008","66 +","kein Migrationshintergrund","","","","",""
"2009","17-34","direkter Migrationshintergrund","","","","",""
"2009","17-34","indirekter Migrationshintergrund","","","","",""
"2009","17-34","kein Migrationshintergrund","","","","",""
"2009","35-65","direkter Migrationshintergrund","","","","",""
"2009","35-65","indirekter Migrationshintergrund","","","","",""
"2009","35-65","kein Migrationshintergrund","","","","",""
"2009","66 +","direkter Migrationshintergrund","","","","",""
"2009","66 +","indirekter Migrationshintergrund","","","","",""
"2009","66 +","kein Migrationshintergrund","","","","",""
"2010","17-34","direkter Migrationshintergrund","3.34","2.5","236","3.11","3.57"
"2010","17-34","indirekter Migrationshintergrund","3.56","2.5","439","3.39","3.73"
"2010","17-34","kein Migrationshintergrund","3.49","2.5","2862","3.43","3.55"
"2010","35-65","direkter Migrationshintergrund","3.33","2.5","908","3.22","3.44"
"2010","35-65","indirekter Migrationshintergrund","3.18","2.5","204","2.94","3.42"
"2010","35-65","kein Migrationshintergrund","3.12","2.5","7929","3.08","3.16"
"2010","66 +","direkter Migrationshintergrund","3.03","2.5","306","2.83","3.23"
"2010","66 +","indirekter Migrationshintergrund","","","","",""
"2010","66 +","kein Migrationshintergrund","2.94","2.5","3665","2.88","3"
"2011","17-34","direkter Migrationshintergrund","","","","",""
"2011","17-34","indirekter Migrationshintergrund","","","","",""
"2011","17-34","kein Migrationshintergrund","","","","",""
"2011","35-65","direkter Migrationshintergrund","","","","",""
"2011","35-65","indirekter Migrationshintergrund","","","","",""
"2011","35-65","kein Migrationshintergrund","","","","",""
"2011","66 +","direkter Migrationshintergrund","","","","",""
"2011","66 +","indirekter Migrationshintergrund","","","","",""
"2011","66 +","kein Migrationshintergrund","","","","",""
"2012","17-34","direkter Migrationshintergrund","","","","",""
"2012","17-34","indirekter Migrationshintergrund","","","","",""
