"year","migback","sex","mean","median","n","lower_confidence","upper_confidence"
"2005","direkter Migrationshintergrund","maennlich","3.41","2.5","1107","3.3","3.52"
"2005","direkter Migrationshintergrund","weiblich","3.14","2.5","1235","3.04","3.24"
"2005","indirekter Migrationshintergrund","maennlich","3.85","3.5","397","3.67","4.03"
"2005","indirekter Migrationshintergrund","weiblich","3.43","2.5","424","3.26","3.6"
"2005","kein Migrationshintergrund","maennlich","3.42","2.5","8329","3.38","3.46"
"2005","kein Migrationshintergrund","weiblich","3.08","2.5","9053","3.04","3.12"
"2006","direkter Migrationshintergrund","maennlich","","","","",""
"2006","direkter Migrationshintergrund","weiblich","","","","",""
"2006","indirekter Migrationshintergrund","maennlich","","","","",""
"2006","indirekter Migrationshintergrund","weiblich","","","","",""
"2006","kein Migrationshintergrund","maennlich","","","","",""
"2006","kein Migrationshintergrund","weiblich","","","","",""
"2007","direkter Migrationshintergrund","maennlich","","","","",""
"2007","direkter Migrationshintergrund","weiblich","","","","",""
"2007","indirekter Migrationshintergrund","maennlich","","","","",""
"2007","indirekter Migrationshintergrund","weiblich","","","","",""
"2007","kein Migrationshintergrund","maennlich","","","","",""
"2007","kein Migrationshintergrund","weiblich","","","","",""
"2008","direkter Migrationshintergrund","maennlich","","","","",""
"2008","direkter Migrationshintergrund","weiblich","","","","",""
"2008","indirekter Migrationshintergrund","maennlich","","","","",""
"2008","indirekter Migrationshintergrund","weiblich","","","","",""
"2008","kein Migrationshintergrund","maennlich","","","","",""
"2008","kein Migrationshintergrund","weiblich","","","","",""
"2009","direkter Migrationshintergrund","maennlich","","","","",""
"2009","direkter Migrationshintergrund","weiblich","","","","",""
"2009","indirekter Migrationshintergrund","maennlich","","","","",""
"2009","indirekter Migrationshintergrund","weiblich","","","","",""
"2009","kein Migrationshintergrund","maennlich","","","","",""
"2009","kein Migrationshintergrund","weiblich","","","","",""
"2010","direkter Migrationshintergrund","maennlich","3.43","2.5","655","3.29","3.57"
"2010","direkter Migrationshintergrund","weiblich","3.13","2.5","795","3.01","3.25"
"2010","indirekter Migrationshintergrund","maennlich","3.67","3.5","310","3.47","3.87"
"2010","indirekter Migrationshintergrund","weiblich","3.28","2.5","339","3.09","3.47"
"2010","kein Migrationshintergrund","maennlich","3.33","2.5","6923","3.29","3.37"
"2010","kein Migrationshintergrund","weiblich","2.96","2.5","7533","2.92","3"
"2011","direkter Migrationshintergrund","maennlich","","","","",""
"2011","direkter Migrationshintergrund","weiblich","","","","",""
"2011","indirekter Migrationshintergrund","maennlich","","","","",""
"2011","indirekter Migrationshintergrund","weiblich","","","","",""
"2011","kein Migrationshintergrund","maennlich","","","","",""
"2011","kein Migrationshintergrund","weiblich","","","","",""
"2012","direkter Migrationshintergrund","maennlich","","","","",""
"2012","direkter Migrationshintergrund","weiblich","","","","",""
"2012","indirekter Migrationshintergrund","maennlich","","","","",""
"2012","indirekter Migrationshintergrund","weiblich","","","","",""
"2012","kein Migrationshintergrund","maennlich","","","","",""
"2012","kein Migrationshintergrund","weiblich","","","","",""
"2013","direkter Migrationshintergrund","maennlich","","","","",""
"2013","direkter Migrationshintergrund","weiblich","","","","",""
"2013","indirekter Migrationshintergrund","maennlich","","","","",""
"2013","indirekter Migrationshintergrund","weiblich","","","","",""
"2013","kein Migrationshintergrund","maennlich","","","","",""
"2013","kein Migrationshintergrund","weiblich","","","","",""
"2014","direkter Migrationshintergrund","maennlich","","","","",""
"2014","direkter Migrationshintergrund","weiblich","","","","",""
"2014","indirekter Migrationshintergrund","maennlich","","","","",""
"2014","indirekter Migrationshintergrund","weiblich","","","","",""
"2014","kein Migrationshintergrund","maennlich","","","","",""
"2014","kein Migrationshintergrund","weiblich","","","","",""
"2015","direkter Migrationshintergrund","maennlich","2.98","2.5","2633","2.91","3.05"
"2015","direkter Migrationshintergrund","weiblich","2.67","1.5","3090","2.61","2.73"
"2015","indirekter Migrationshintergrund","maennlich","3.12","2.5","763","2.99","3.25"
"2015","indirekter Migrationshintergrund","weiblich","2.83","1.5","912","2.71","2.95"
"2015","kein Migrationshintergrund","maennlich","3.16","2.5","8814","3.13","3.19"
"2015","kein Migrationshintergrund","weiblich","2.7","1.5","10341","2.67","2.73"
"2016","direkter Migrationshintergrund","maennlich","2.41","1.5","1716","2.33","2.49"
"2016","direkter Migrationshintergrund","weiblich","1.87","1","1204","1.78","1.96"
"2016","indirekter Migrationshintergrund","maennlich","","","","",""
"2016","indirekter Migrationshintergrund","weiblich","","","","",""
"2016","kein Migrationshintergrund","maennlich","","","","",""
"2016","kein Migrationshintergrund","weiblich","","","","",""
"2017","direkter Migrationshintergrund","maennlich","1.89","1","953","1.79","1.99"
"2017","direkter Migrationshintergrund","weiblich","1.77","1","868","1.66","1.88"
"2017","indirekter Migrationshintergrund","maennlich","","","","",""
"2017","indirekter Migrationshintergrund","weiblich","","","","",""
"2017","kein Migrationshintergrund","maennlich","","","","",""
"2017","kein Migrationshintergrund","weiblich","","","","",""
"2018","direkter Migrationshintergrund","maennlich","2.41","1","174","2.1","2.72"
"2018","direkter Migrationshintergrund","weiblich","2.01","1","199","1.75","2.27"
"2018","indirekter Migrationshintergrund","maennlich","","","","",""
"2018","indirekter Migrationshintergrund","weiblich","","","","",""
"2018","kein Migrationshintergrund","maennlich","","","","",""
"2018","kein Migrationshintergrund","weiblich","","","","",""
"2019","direkter Migrationshintergrund","maennlich","2.3","1","125","1.95","2.65"
"2019","direkter Migrationshintergrund","weiblich","2.35","1.5","130","2.03","2.67"
"2019","indirekter Migrationshintergrund","maennlich","","","","",""
"2019","indirekter Migrationshintergrund","weiblich","","","","",""
"2019","kein Migrationshintergrund","maennlich","","","","",""
"2019","kein Migrationshintergrund","weiblich","","","","",""
"2020","direkter Migrationshintergrund","maennlich","2.95","2.5","4970","2.9","3"
"2020","direkter Migrationshintergrund","weiblich","2.76","1.5","4098","2.71","2.81"
"2020","indirekter Migrationshintergrund","maennlich","3.3","2.5","784","3.18","3.42"
