"year","bildungsniveau","regtyp","mean","median","n","lower_confidence","upper_confidence"
"2005","(Fach-)Abitur","Laendlicher Raum","3.24","2.5","551","3.1","3.38"
"2005","(Fach-)Abitur","Staedtischer Raum","3.22","2.5","1732","3.14","3.3"
"2005","(noch) kein Abschluss","Laendlicher Raum","3.39","2.5","256","3.17","3.61"
"2005","(noch) kein Abschluss","Staedtischer Raum","3.61","2.5","634","3.47","3.75"
"2005","AkademikerIn","Laendlicher Raum","3","2.5","1217","2.91","3.09"
"2005","AkademikerIn","Staedtischer Raum","2.89","2.5","2930","2.84","2.94"
"2005","Hauptschule","Laendlicher Raum","3.41","2.5","2605","3.34","3.48"
"2005","Hauptschule","Staedtischer Raum","3.31","2.5","4899","3.26","3.36"
"2005","Realschule","Laendlicher Raum","3.4","2.5","2177","3.33","3.47"
"2005","Realschule","Staedtischer Raum","3.21","2.5","3178","3.15","3.27"
"2006","(Fach-)Abitur","Laendlicher Raum","","","","",""
"2006","(Fach-)Abitur","Staedtischer Raum","","","","",""
"2006","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"2006","(noch) kein Abschluss","Staedtischer Raum","","","","",""
"2006","AkademikerIn","Laendlicher Raum","","","","",""
"2006","AkademikerIn","Staedtischer Raum","","","","",""
"2006","Hauptschule","Laendlicher Raum","","","","",""
"2006","Hauptschule","Staedtischer Raum","","","","",""
"2006","Realschule","Laendlicher Raum","","","","",""
"2006","Realschule","Staedtischer Raum","","","","",""
"2007","(Fach-)Abitur","Laendlicher Raum","","","","",""
"2007","(Fach-)Abitur","Staedtischer Raum","","","","",""
"2007","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"2007","(noch) kein Abschluss","Staedtischer Raum","","","","",""
"2007","AkademikerIn","Laendlicher Raum","","","","",""
"2007","AkademikerIn","Staedtischer Raum","","","","",""
"2007","Hauptschule","Laendlicher Raum","","","","",""
"2007","Hauptschule","Staedtischer Raum","","","","",""
"2007","Realschule","Laendlicher Raum","","","","",""
"2007","Realschule","Staedtischer Raum","","","","",""
"2008","(Fach-)Abitur","Laendlicher Raum","","","","",""
"2008","(Fach-)Abitur","Staedtischer Raum","","","","",""
"2008","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"2008","(noch) kein Abschluss","Staedtischer Raum","","","","",""
"2008","AkademikerIn","Laendlicher Raum","","","","",""
"2008","AkademikerIn","Staedtischer Raum","","","","",""
"2008","Hauptschule","Laendlicher Raum","","","","",""
"2008","Hauptschule","Staedtischer Raum","","","","",""
"2008","Realschule","Laendlicher Raum","","","","",""
"2008","Realschule","Staedtischer Raum","","","","",""
"2009","(Fach-)Abitur","Laendlicher Raum","","","","",""
"2009","(Fach-)Abitur","Staedtischer Raum","","","","",""
"2009","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"2009","(noch) kein Abschluss","Staedtischer Raum","","","","",""
"2009","AkademikerIn","Laendlicher Raum","","","","",""
"2009","AkademikerIn","Staedtischer Raum","","","","",""
"2009","Hauptschule","Laendlicher Raum","","","","",""
"2009","Hauptschule","Staedtischer Raum","","","","",""
"2009","Realschule","Laendlicher Raum","","","","",""
"2009","Realschule","Staedtischer Raum","","","","",""
"2010","(Fach-)Abitur","Laendlicher Raum","3.26","2.5","486","3.12","3.4"
"2010","(Fach-)Abitur","Staedtischer Raum","3.12","2.5","1403","3.04","3.2"
"2010","(noch) kein Abschluss","Laendlicher Raum","3.23","2.5","106","2.88","3.58"
"2010","(noch) kein Abschluss","Staedtischer Raum","3.27","2.5","303","3.07","3.47"
"2010","AkademikerIn","Laendlicher Raum","2.93","2.5","1123","2.84","3.02"
"2010","AkademikerIn","Staedtischer Raum","2.79","2.5","2697","2.73","2.85"
"2010","Hauptschule","Laendlicher Raum","3.49","2.5","2023","3.41","3.57"
"2010","Hauptschule","Staedtischer Raum","3.22","2.5","3544","3.16","3.28"
"2010","Realschule","Laendlicher Raum","3.26","2.5","1871","3.18","3.34"
"2010","Realschule","Staedtischer Raum","3.14","2.5","2583","3.08","3.2"
"2011","(Fach-)Abitur","Laendlicher Raum","","","","",""
"2011","(Fach-)Abitur","Staedtischer Raum","","","","",""
"2011","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"2011","(noch) kein Abschluss","Staedtischer Raum","","","","",""
"2011","AkademikerIn","Laendlicher Raum","","","","",""
"2011","AkademikerIn","Staedtischer Raum","","","","",""
"2011","Hauptschule","Laendlicher Raum","","","","",""
"2011","Hauptschule","Staedtischer Raum","","","","",""
"2011","Realschule","Laendlicher Raum","","","","",""
"2011","Realschule","Staedtischer Raum","","","","",""
"2012","(Fach-)Abitur","Laendlicher Raum","","","","",""
"2012","(Fach-)Abitur","Staedtischer Raum","","","","",""
"2012","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"2012","(noch) kein Abschluss","Staedtischer Raum","","","","",""
"2012","AkademikerIn","Laendlicher Raum","","","","",""
"2012","AkademikerIn","Staedtischer Raum","","","","",""
"2012","Hauptschule","Laendlicher Raum","","","","",""
"2012","Hauptschule","Staedtischer Raum","","","","",""
"2012","Realschule","Laendlicher Raum","","","","",""
"2012","Realschule","Staedtischer Raum","","","","",""
"2013","(Fach-)Abitur","Laendlicher Raum","","","","",""
"2013","(Fach-)Abitur","Staedtischer Raum","","","","",""
"2013","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"2013","(noch) kein Abschluss","Staedtischer Raum","","","","",""
"2013","AkademikerIn","Laendlicher Raum","","","","",""
"2013","AkademikerIn","Staedtischer Raum","","","","",""
"2013","Hauptschule","Laendlicher Raum","","","","",""
"2013","Hauptschule","Staedtischer Raum","","","","",""
"2013","Realschule","Laendlicher Raum","","","","",""
"2013","Realschule","Staedtischer Raum","","","","",""
"2014","(Fach-)Abitur","Laendlicher Raum","","","","",""
"2014","(Fach-)Abitur","Staedtischer Raum","","","","",""
"2014","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"2014","(noch) kein Abschluss","Staedtischer Raum","","","","",""
"2014","AkademikerIn","Laendlicher Raum","","","","",""
"2014","AkademikerIn","Staedtischer Raum","","","","",""
"2014","Hauptschule","Laendlicher Raum","","","","",""
"2014","Hauptschule","Staedtischer Raum","","","","",""
"2014","Realschule","Laendlicher Raum","","","","",""
"2014","Realschule","Staedtischer Raum","","","","",""
"2015","(Fach-)Abitur","Laendlicher Raum","2.84","1.5","1096","2.74","2.94"
"2015","(Fach-)Abitur","Staedtischer Raum","2.81","1.5","3020","2.75","2.87"
"2015","(noch) kein Abschluss","Laendlicher Raum","3.21","2.5","291","3","3.42"
"2015","(noch) kein Abschluss","Staedtischer Raum","2.94","1.5","647","2.8","3.08"
"2015","AkademikerIn","Laendlicher Raum","2.57","1.5","1754","2.5","2.64"
"2015","AkademikerIn","Staedtischer Raum","2.61","1.5","4630","2.57","2.65"
"2015","Hauptschule","Laendlicher Raum","3.25","2.5","2972","3.18","3.32"
"2015","Hauptschule","Staedtischer Raum","3.04","2.5","4755","2.99","3.09"
"2015","Realschule","Laendlicher Raum","3.03","2.5","2850","2.97","3.09"
"2015","Realschule","Staedtischer Raum","2.92","2.5","3696","2.87","2.97"
"2016","(Fach-)Abitur","Laendlicher Raum","2.22","1.5","133","1.97","2.47"
"2016","(Fach-)Abitur","Staedtischer Raum","2.01","1.5","382","1.86","2.16"
"2016","(noch) kein Abschluss","Laendlicher Raum","2.36","1","313","2.17","2.55"
"2016","(noch) kein Abschluss","Staedtischer Raum","2.64","1","689","2.51","2.77"
"2016","AkademikerIn","Laendlicher Raum","2.04","1","172","1.78","2.3"
"2016","AkademikerIn","Staedtischer Raum","2.17","1.5","428","2.02","2.32"
"2016","Hauptschule","Laendlicher Raum","2.18","1","175","1.88","2.48"
"2016","Hauptschule","Staedtischer Raum","2.87","1.5","458","2.72","3.02"
"2016","Realschule","Laendlicher Raum","","","","",""
"2016","Realschule","Staedtischer Raum","","","","",""
"2017","(Fach-)Abitur","Laendlicher Raum","1.5","1","104","1.22","1.78"
"2017","(Fach-)Abitur","Staedtischer Raum","1.9","1","197","1.66","2.14"
"2017","(noch) kein Abschluss","Laendlicher Raum","1.57","1","235","1.36","1.78"
"2017","(noch) kein Abschluss","Staedtischer Raum","1.98","1","485","1.83","2.13"
"2017","AkademikerIn","Laendlicher Raum","1.73","1","86","1.45","2.01"
"2017","AkademikerIn","Staedtischer Raum","1.81","1","227","1.6","2.02"
"2017","Hauptschule","Laendlicher Raum","1.51","1","149","1.28","1.74"
"2017","Hauptschule","Staedtischer Raum","2.09","1","255","1.88","2.3"
"2017","Realschule","Laendlicher Raum","","","","",""
"2017","Realschule","Staedtischer Raum","","","","",""
"2018","(Fach-)Abitur","Laendlicher Raum","","","","",""
"2018","(Fach-)Abitur","Staedtischer Raum","1.42","1","33","0.75","2.09"
"2018","(noch) kein Abschluss","Laendlicher Raum","2.17","1","59","1.65","2.69"
"2018","(noch) kein Abschluss","Staedtischer Raum","1.93","1","89","1.54","2.32"
"2018","AkademikerIn","Laendlicher Raum","","","","",""
"2018","AkademikerIn","Staedtischer Raum","","","","",""
"2018","Hauptschule","Laendlicher Raum","3.15","1","34","2.3","4"
